,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,TAIL_NUM,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DEL15,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE
3446,2016,2,5,2,1,DL,N594NW,784,10397.0,ATL,13487.0,MSP,845,849.0,4.0,0.0,1019,1013.0,-6.0,0.0,0.0,0.0,154.0,144.0,907.0
3085,2016,2,4,24,7,DL,N624AG,496,12478.0,JFK,10397.0,ATL,830,828.0,-2.0,0.0,1114,1037.0,-37.0,0.0,0.0,0.0,164.0,129.0,760.0
343,2016,1,1,16,6,DL,N3731T,2536,13487.0,MSP,14747.0,SEA,2015,2010.0,-5.0,0.0,2200,2204.0,4.0,0.0,0.0,0.0,225.0,234.0,1399.0
646,2016,1,1,28,4,DL,N341NB,52,11433.0,DTW,13487.0,MSP,834,843.0,9.0,0.0,945,927.0,-18.0,0.0,0.0,0.0,131.0,104.0,528.0
1236,2016,1,2,16,2,DL,N3735D,1770,14747.0,SEA,13487.0,MSP,1530,1529.0,-1.0,0.0,2048,2026.0,-22.0,0.0,0.0,0.0,198.0,177.0,1399.0
4673,2016,2,6,11,6,DL,N935AT,2784,12478.0,JFK,11433.0,DTW,910,905.0,-5.0,0.0,1130,1057.0,-33.0,0.0,0.0,0.0,140.0,112.0,509.0
3993,2016,2,5,20,5,DL,N826DN,589,13487.0,MSP,14747.0,SEA,1130,1127.0,-3.0,0.0,1309,1258.0,-11.0,0.0,0.0,0.0,219.0,211.0,1399.0
1528,2016,1,2,28,7,DL,N672DL,1480,14747.0,SEA,12478.0,JFK,2339,2335.0,-4.0,0.0,755,729.0,-26.0,0.0,0.0,0.0,316.0,294.0,2422.0
3858,2016,2,5,16,1,DL,N723TW,486,12478.0,JFK,10397.0,ATL,610,605.0,-5.0,0.0,843,827.0,-16.0,0.0,0.0,0.0,153.0,142.0,760.0
273,2016,1,1,15,5,DL,N841DN,485,12478.0,JFK,14747.0,SEA,1615,1628.0,13.0,0.0,1945,1920.0,-25.0,0.0,0.0,0.0,390.0,352.0,2422.0
45,2016,1,1,3,7,DL,N930DL,2418,11433.0,DTW,10397.0,ATL,1205,1206.0,1.0,0.0,1411,1415.0,4.0,0.0,0.0,0.0,126.0,129.0,594.0
2567,2016,2,4,4,1,DL,N3769L,1991,13487.0,MSP,10397.0,ATL,520,514.0,-6.0,0.0,845,823.0,-22.0,0.0,0.0,0.0,145.0,129.0,907.0
4594,2016,2,6,9,4,DL,N583NW,1823,11433.0,DTW,14747.0,SEA,1950,1948.0,-2.0,0.0,2144,2142.0,-2.0,0.0,0.0,0.0,294.0,294.0,1927.0
1051,2016,1,2,9,2,DL,N550NW,2074,10397.0,ATL,13487.0,MSP,1739,1753.0,14.0,0.0,1928,1920.0,-8.0,0.0,0.0,0.0,169.0,147.0,907.0
3789,2016,2,5,14,6,DL,N954AT,845,10397.0,ATL,12478.0,JFK,1745,1746.0,1.0,0.0,2015,1959.0,-16.0,0.0,0.0,0.0,150.0,133.0,760.0
4126,2016,2,5,24,2,DL,N703TW,1473,14747.0,SEA,12478.0,JFK,1119,1116.0,-3.0,0.0,1955,1943.0,-12.0,0.0,0.0,0.0,336.0,327.0,2422.0
1702,2016,1,3,28,1,DL,N830DN,2330,14747.0,SEA,10397.0,ATL,845,842.0,-3.0,0.0,1631,1610.0,-21.0,0.0,0.0,0.0,286.0,268.0,2182.0
99,2016,1,1,6,3,DL,N585NW,2074,10397.0,ATL,13487.0,MSP,1735,1736.0,1.0,0.0,1924,1910.0,-14.0,0.0,0.0,0.0,169.0,154.0,907.0
4966,2016,2,6,20,1,DL,N1609,784,10397.0,ATL,13487.0,MSP,841,840.0,-1.0,0.0,1016,1007.0,-9.0,0.0,0.0,0.0,155.0,147.0,907.0
1494,2016,1,2,27,6,DL,N915DN,2180,10397.0,ATL,13487.0,MSP,1455,1452.0,-3.0,0.0,1645,1626.0,-19.0,0.0,0.0,0.0,170.0,154.0,907.0
335,2016,1,1,18,1,DL,N914DN,744,13487.0,MSP,10397.0,ATL,1005,1010.0,5.0,0.0,1334,1322.0,-12.0,0.0,0.0,0.0,149.0,132.0,907.0
854,2016,1,1,2,6,DL,N3741S,1473,14747.0,SEA,12478.0,JFK,1100,1056.0,-4.0,0.0,1914,1926.0,12.0,0.0,0.0,0.0,314.0,330.0,2422.0
3020,2016,2,4,21,4,DL,N966DL,888,13487.0,MSP,10397.0,ATL,1625,1623.0,-2.0,0.0,1959,1951.0,-8.0,0.0,0.0,0.0,154.0,148.0,907.0
1523,2016,1,2,28,7,DL,N833DN,1107,10397.0,ATL,14747.0,SEA,1918,1916.0,-2.0,0.0,2204,2145.0,-19.0,0.0,0.0,0.0,346.0,329.0,2182.0
40,2016,1,1,3,7,DL,N1609,2039,10397.0,ATL,14747.0,SEA,824,831.0,7.0,0.0,1059,1102.0,3.0,0.0,0.0,0.0,335.0,331.0,2182.0
2185,2016,1,3,20,7,DL,N320NB,2032,13487.0,MSP,12478.0,JFK,655,654.0,-1.0,0.0,1037,1044.0,7.0,0.0,0.0,0.0,162.0,170.0,1029.0
901,2016,1,2,4,4,DL,N6706Q,325,11433.0,DTW,10397.0,ATL,1454,1727.0,153.0,1.0,1706,1939.0,153.0,1.0,0.0,0.0,132.0,132.0,594.0
2854,2016,2,4,15,5,DL,N828DN,902,10397.0,ATL,11433.0,DTW,1455,1450.0,-5.0,0.0,1655,1629.0,-26.0,0.0,0.0,0.0,120.0,99.0,594.0
1147,2016,1,2,15,1,DL,N934DL,748,10397.0,ATL,11433.0,DTW,1055,1101.0,6.0,0.0,1255,1305.0,10.0,0.0,0.0,0.0,120.0,124.0,594.0
3730,2016,2,5,11,3,DL,N983DL,220,12478.0,JFK,10397.0,ATL,1925,1919.0,-6.0,0.0,2207,2131.0,-36.0,0.0,0.0,0.0,162.0,132.0,760.0
2577,2016,2,4,6,3,DL,N841DN,589,13487.0,MSP,14747.0,SEA,1120,1118.0,-2.0,0.0,1306,1251.0,-15.0,0.0,0.0,0.0,226.0,213.0,1399.0
758,2016,1,1,29,5,DL,N669DN,1094,10397.0,ATL,13487.0,MSP,1455,1508.0,13.0,0.0,1645,1651.0,6.0,0.0,0.0,0.0,170.0,163.0,907.0
3772,2016,2,5,12,4,DL,N982AT,2802,12478.0,JFK,13487.0,MSP,1120,1113.0,-7.0,0.0,1333,1303.0,-30.0,0.0,0.0,0.0,193.0,170.0,1029.0
3437,2016,2,5,1,7,DL,N805DN,1770,14747.0,SEA,13487.0,MSP,1510,1606.0,56.0,1.0,2038,2143.0,65.0,1.0,0.0,0.0,208.0,217.0,1399.0
1913,2016,1,3,10,4,DL,N825DN,902,10397.0,ATL,11433.0,DTW,1454,1501.0,7.0,0.0,1653,1637.0,-16.0,0.0,0.0,0.0,119.0,96.0,594.0
306,2016,1,1,16,6,DL,N910AT,1195,11433.0,DTW,12478.0,JFK,2000,2000.0,0.0,0.0,2157,2141.0,-16.0,0.0,0.0,0.0,117.0,101.0,509.0
4004,2016,2,5,21,6,DL,N3764D,588,14747.0,SEA,13487.0,MSP,1110,1108.0,-2.0,0.0,1641,1629.0,-12.0,0.0,0.0,0.0,211.0,201.0,1399.0
4424,2016,2,6,4,6,DL,N854DN,1770,14747.0,SEA,13487.0,MSP,1510,1505.0,-5.0,0.0,2036,2001.0,-35.0,0.0,0.0,0.0,206.0,176.0,1399.0
3929,2016,2,5,18,3,DL,N1608,17,10397.0,ATL,14747.0,SEA,1100,1054.0,-6.0,0.0,1319,1319.0,0.0,0.0,0.0,0.0,319.0,325.0,2182.0
1045,2016,1,2,9,2,DL,N3764D,589,13487.0,MSP,14747.0,SEA,910,906.0,-4.0,0.0,1100,1155.0,,,0.0,1.0,230.0,,1399.0
2726,2016,2,4,10,7,DL,N592NW,1630,13487.0,MSP,14747.0,SEA,920,915.0,-5.0,0.0,1117,1131.0,14.0,0.0,0.0,0.0,237.0,256.0,1399.0
1742,2016,1,3,4,5,DL,N987DL,1355,11433.0,DTW,10397.0,ATL,1205,1227.0,22.0,1.0,1415,1409.0,-6.0,0.0,0.0,0.0,130.0,102.0,594.0
3419,2016,2,4,3,7,DL,N912DE,425,12478.0,JFK,10397.0,ATL,1559,1650.0,51.0,1.0,1840,1916.0,36.0,1.0,0.0,0.0,161.0,146.0,760.0
2263,2016,1,3,23,3,DL,N343NB,2468,11433.0,DTW,13487.0,MSP,1350,1359.0,9.0,0.0,1443,1448.0,5.0,0.0,0.0,0.0,113.0,109.0,528.0
553,2016,1,1,23,6,DL,N849DN,2413,14747.0,SEA,12478.0,JFK,700,,,,1515,,,,1.0,0.0,315.0,,2422.0
2527,2016,1,3,16,3,DL,N982DL,2803,12478.0,JFK,10397.0,ATL,1721,1713.0,-8.0,0.0,2007,2008.0,1.0,0.0,0.0,0.0,166.0,175.0,760.0
4183,2016,2,5,27,5,DL,N553NW,1520,10397.0,ATL,13487.0,MSP,2216,2216.0,0.0,0.0,2351,2326.0,-25.0,0.0,0.0,0.0,155.0,130.0,907.0
2706,2016,2,4,9,6,DL,N978DL,1507,10397.0,ATL,13487.0,MSP,1050,1045.0,-5.0,0.0,1230,1238.0,8.0,0.0,0.0,0.0,160.0,173.0,907.0
17,2016,1,1,2,6,DL,N592NW,1823,11433.0,DTW,14747.0,SEA,1728,1724.0,-4.0,0.0,1929,1905.0,-24.0,0.0,0.0,0.0,301.0,281.0,1927.0
1126,2016,1,2,14,7,DL,N927DA,1122,13487.0,MSP,10397.0,ATL,720,719.0,-1.0,0.0,1056,1255.0,,,0.0,1.0,156.0,,907.0
188,2016,1,1,9,6,DL,N948DN,8,13487.0,MSP,10397.0,ATL,1732,1734.0,2.0,0.0,2103,2109.0,6.0,0.0,0.0,0.0,151.0,155.0,907.0
3031,2016,2,4,21,4,DL,N6707A,2366,10397.0,ATL,11433.0,DTW,725,723.0,-2.0,0.0,921,916.0,-5.0,0.0,0.0,0.0,116.0,113.0,594.0
2032,2016,1,3,14,1,DL,N672DL,1699,14747.0,SEA,12478.0,JFK,2339,2342.0,3.0,0.0,757,752.0,-5.0,0.0,0.0,0.0,318.0,310.0,2422.0
313,2016,1,1,17,7,DL,N3750D,1542,14747.0,SEA,12478.0,JFK,2305,2302.0,-3.0,0.0,721,647.0,-34.0,0.0,0.0,0.0,316.0,285.0,2422.0
494,2016,1,1,22,5,DL,N377DA,2508,14747.0,SEA,11433.0,DTW,940,934.0,-6.0,0.0,1655,1647.0,-8.0,0.0,0.0,0.0,255.0,253.0,1927.0
2933,2016,2,4,18,1,DL,N830DN,1363,11433.0,DTW,14747.0,SEA,1220,1218.0,-2.0,0.0,1425,1341.0,-44.0,0.0,0.0,0.0,305.0,263.0,1927.0
685,2016,1,1,28,4,DL,N934DN,888,13487.0,MSP,10397.0,ATL,1625,1629.0,4.0,0.0,1956,1946.0,-10.0,0.0,0.0,0.0,151.0,137.0,907.0
4234,2016,2,5,28,6,DL,N3749D,447,12478.0,JFK,10397.0,ATL,835,833.0,-2.0,0.0,1111,1043.0,-28.0,0.0,0.0,0.0,156.0,130.0,760.0
3818,2016,2,5,13,5,DL,N980AT,2802,12478.0,JFK,13487.0,MSP,1120,1116.0,-4.0,0.0,1333,1304.0,-29.0,0.0,0.0,0.0,193.0,168.0,1029.0
1929,2016,1,3,10,4,DL,N1608,1578,10397.0,ATL,14747.0,SEA,824,820.0,-4.0,0.0,1051,1041.0,-10.0,0.0,0.0,0.0,327.0,321.0,2182.0
2861,2016,2,4,15,5,DL,N920DN,1465,10397.0,ATL,11433.0,DTW,2057,2056.0,-1.0,0.0,2258,2243.0,-15.0,0.0,0.0,0.0,121.0,107.0,594.0
4519,2016,2,6,5,7,DL,N3760C,2350,10397.0,ATL,12478.0,JFK,805,804.0,-1.0,0.0,1017,1007.0,-10.0,0.0,0.0,0.0,132.0,123.0,760.0
4884,2016,2,6,17,5,DL,N538US,1291,14747.0,SEA,10397.0,ATL,840,840.0,0.0,0.0,1636,1622.0,-14.0,0.0,0.0,0.0,296.0,282.0,2182.0
4239,2016,2,5,28,6,DL,N930DN,899,11433.0,DTW,10397.0,ATL,1700,1656.0,-4.0,0.0,1902,1900.0,-2.0,0.0,0.0,0.0,122.0,124.0,594.0
1990,2016,1,3,12,6,DL,N910DE,946,10397.0,ATL,13487.0,MSP,2205,2200.0,-5.0,0.0,2343,2313.0,-30.0,0.0,0.0,0.0,158.0,133.0,907.0
2010,2016,1,3,13,7,DL,N384DA,485,12478.0,JFK,14747.0,SEA,1600,1555.0,-5.0,0.0,1921,1840.0,-41.0,0.0,0.0,0.0,381.0,345.0,2422.0
4434,2016,2,6,3,5,DL,N996AT,499,12478.0,JFK,10397.0,ATL,610,602.0,-8.0,0.0,844,811.0,-33.0,0.0,0.0,0.0,154.0,129.0,760.0
420,2016,1,1,13,3,DL,N3753,2221,13487.0,MSP,14747.0,SEA,1130,1128.0,-2.0,0.0,1322,1305.0,-17.0,0.0,0.0,0.0,232.0,217.0,1399.0
1796,2016,1,3,6,7,DL,N359NW,1649,11433.0,DTW,13487.0,MSP,1000,955.0,-5.0,0.0,1058,1037.0,-21.0,0.0,0.0,0.0,118.0,102.0,528.0
3649,2016,2,5,9,1,DL,N824NW,220,12478.0,JFK,10397.0,ATL,1925,1924.0,-1.0,0.0,2207,2134.0,-33.0,0.0,0.0,0.0,162.0,130.0,760.0
4655,2016,2,6,11,6,DL,N6716C,783,13487.0,MSP,10397.0,ATL,625,622.0,-3.0,0.0,945,932.0,-13.0,0.0,0.0,0.0,140.0,130.0,907.0
589,2016,1,1,25,1,DL,N389DA,588,14747.0,SEA,13487.0,MSP,1105,1106.0,1.0,0.0,1627,1624.0,-3.0,0.0,0.0,0.0,202.0,198.0,1399.0
4276,2016,2,5,30,1,DL,N809DN,486,12478.0,JFK,10397.0,ATL,610,608.0,-2.0,0.0,843,811.0,-32.0,0.0,0.0,0.0,153.0,123.0,760.0
1356,2016,1,2,21,7,DL,N370NB,1987,10397.0,ATL,12478.0,JFK,1510,1507.0,-3.0,0.0,1740,1715.0,-25.0,0.0,0.0,0.0,150.0,128.0,760.0
4168,2016,2,5,26,4,DL,N842DN,1542,14747.0,SEA,12478.0,JFK,2237,2236.0,-1.0,0.0,702,652.0,-10.0,0.0,0.0,0.0,325.0,316.0,2422.0
1034,2016,1,2,10,3,DL,N385DN,630,11433.0,DTW,10397.0,ATL,1740,1746.0,6.0,0.0,1954,1943.0,-11.0,0.0,0.0,0.0,134.0,117.0,594.0
316,2016,1,1,15,5,DL,N812DN,2134,14747.0,SEA,10397.0,ATL,1450,1507.0,17.0,1.0,2232,2236.0,4.0,0.0,0.0,0.0,282.0,269.0,2182.0
331,2016,1,1,18,1,DL,N920DL,427,12478.0,JFK,10397.0,ATL,1715,1715.0,0.0,0.0,2003,1948.0,-15.0,0.0,0.0,0.0,168.0,153.0,760.0
3074,2016,2,4,22,5,DL,N709TW,2413,14747.0,SEA,12478.0,JFK,1127,1136.0,9.0,0.0,1950,1950.0,0.0,0.0,0.0,0.0,323.0,314.0,2422.0
1697,2016,1,3,3,4,DL,N806DN,1107,10397.0,ATL,14747.0,SEA,1932,2003.0,31.0,1.0,2205,2257.0,52.0,1.0,0.0,0.0,333.0,354.0,2182.0
4323,2016,2,5,8,7,DL,N333NB,1734,13487.0,MSP,11433.0,DTW,1135,1132.0,-3.0,0.0,1417,1358.0,-19.0,0.0,0.0,0.0,102.0,86.0,528.0
3416,2016,2,4,2,6,DL,N143DA,2814,14747.0,SEA,10397.0,ATL,1442,1458.0,16.0,1.0,2227,2227.0,0.0,0.0,0.0,0.0,285.0,269.0,2182.0
3219,2016,2,4,27,3,DL,N315NB,1096,11433.0,DTW,13487.0,MSP,1200,1156.0,-4.0,0.0,1257,1233.0,-24.0,0.0,0.0,0.0,117.0,97.0,528.0
2539,2016,1,3,25,5,DL,N908DA,946,10397.0,ATL,13487.0,MSP,2205,2203.0,-2.0,0.0,2344,2322.0,-22.0,0.0,0.0,0.0,159.0,139.0,907.0
330,2016,1,1,18,1,DL,N3758Y,281,11433.0,DTW,14747.0,SEA,840,847.0,7.0,0.0,1100,1040.0,-20.0,0.0,0.0,0.0,320.0,293.0,1927.0
3639,2016,2,5,8,7,DL,N1612T,17,10397.0,ATL,14747.0,SEA,1100,1101.0,1.0,0.0,1319,1310.0,-9.0,0.0,0.0,0.0,319.0,309.0,2182.0
4431,2016,2,6,3,5,DL,N963DN,87,11433.0,DTW,13487.0,MSP,1725,1755.0,30.0,1.0,1825,1852.0,27.0,1.0,0.0,0.0,120.0,117.0,528.0
3685,2016,2,5,9,1,DL,N925DN,2074,10397.0,ATL,13487.0,MSP,1755,1821.0,26.0,1.0,1936,1954.0,18.0,1.0,0.0,0.0,161.0,153.0,907.0
32,2016,1,1,4,1,DL,N633DL,1587,11433.0,DTW,10397.0,ATL,1345,1350.0,5.0,0.0,1549,1532.0,-17.0,0.0,0.0,0.0,124.0,102.0,594.0
4366,2016,2,6,1,3,DL,N680DA,1385,10397.0,ATL,11433.0,DTW,1624,1621.0,-3.0,0.0,1824,1831.0,7.0,0.0,0.0,0.0,120.0,130.0,594.0
1907,2016,1,3,10,4,DL,N919DE,425,12478.0,JFK,10397.0,ATL,1559,1608.0,9.0,0.0,1840,1839.0,-1.0,0.0,0.0,0.0,161.0,151.0,760.0
3231,2016,2,4,28,4,DL,N914DN,2324,11433.0,DTW,10397.0,ATL,959,958.0,-1.0,0.0,1204,1143.0,-21.0,0.0,0.0,0.0,125.0,105.0,594.0
1321,2016,1,2,21,7,DL,N3753,1397,13487.0,MSP,14747.0,SEA,1415,1413.0,-2.0,0.0,1600,1541.0,-19.0,0.0,0.0,0.0,225.0,208.0,1399.0
2934,2016,2,4,18,1,DL,N954DL,1476,13487.0,MSP,11433.0,DTW,1405,1401.0,-4.0,0.0,1647,1655.0,8.0,0.0,0.0,0.0,102.0,114.0,528.0
2256,2016,1,3,22,2,DL,N380DA,2334,11433.0,DTW,14747.0,SEA,1215,1207.0,-8.0,0.0,1415,1356.0,-19.0,0.0,0.0,0.0,300.0,289.0,1927.0
3759,2016,2,5,12,4,DL,N855DN,1397,13487.0,MSP,14747.0,SEA,1445,1444.0,-1.0,0.0,1624,1616.0,-8.0,0.0,0.0,0.0,219.0,212.0,1399.0
2818,2016,2,4,13,3,DL,N845DN,86,13487.0,MSP,11433.0,DTW,1545,1543.0,-2.0,0.0,1824,1810.0,-14.0,0.0,0.0,0.0,99.0,87.0,528.0
1620,2016,1,2,2,2,DL,N341NB,423,12478.0,JFK,10397.0,ATL,1325,1318.0,-7.0,0.0,1600,1543.0,-17.0,0.0,0.0,0.0,155.0,145.0,760.0
3645,2016,2,5,8,7,DL,N910DE,664,13487.0,MSP,12478.0,JFK,1300,1254.0,-6.0,0.0,1648,1611.0,-37.0,0.0,0.0,0.0,168.0,137.0,1029.0
3458,2016,2,5,2,1,DL,N901DE,1893,11433.0,DTW,10397.0,ATL,836,834.0,-2.0,0.0,1034,1023.0,-11.0,0.0,0.0,0.0,118.0,109.0,594.0
1155,2016,1,2,13,6,DL,N721TW,1473,14747.0,SEA,12478.0,JFK,1120,1111.0,-9.0,0.0,1935,1935.0,0.0,0.0,0.0,0.0,315.0,324.0,2422.0
2872,2016,2,4,14,4,DL,N330NW,478,10397.0,ATL,12478.0,JFK,1745,1746.0,1.0,0.0,2015,2000.0,-15.0,0.0,0.0,0.0,150.0,134.0,760.0
1030,2016,1,2,10,3,DL,N319NB,420,12478.0,JFK,10397.0,ATL,820,820.0,0.0,0.0,1055,1032.0,-23.0,0.0,0.0,0.0,155.0,132.0,760.0
885,2016,1,2,4,4,DL,N942DN,888,13487.0,MSP,10397.0,ATL,1625,1623.0,-2.0,0.0,1956,1953.0,-3.0,0.0,0.0,0.0,151.0,150.0,907.0
221,2016,1,1,11,1,DL,N3752,1419,14747.0,SEA,13487.0,MSP,645,641.0,-4.0,0.0,1204,1151.0,-13.0,0.0,0.0,0.0,199.0,190.0,1399.0
3644,2016,2,5,8,7,DL,N837DN,589,13487.0,MSP,14747.0,SEA,1130,1126.0,-4.0,0.0,1309,1250.0,-19.0,0.0,0.0,0.0,219.0,204.0,1399.0
4661,2016,2,6,11,6,DL,N582NW,1187,13487.0,MSP,14747.0,SEA,1759,1759.0,0.0,0.0,1945,1948.0,3.0,0.0,0.0,0.0,226.0,229.0,1399.0
2295,2016,1,3,24,4,DL,N314NB,923,11433.0,DTW,13487.0,MSP,1730,1724.0,-6.0,0.0,1830,1757.0,-33.0,0.0,0.0,0.0,120.0,93.0,528.0
3369,2016,2,4,1,5,DL,N806DN,2610,10397.0,ATL,13487.0,MSP,736,804.0,28.0,1.0,914,924.0,10.0,0.0,0.0,0.0,158.0,140.0,907.0
3693,2016,2,5,9,1,DL,N929DN,1122,10397.0,ATL,13487.0,MSP,1205,1159.0,-6.0,0.0,1344,1327.0,-17.0,0.0,0.0,0.0,159.0,148.0,907.0
933,2016,1,2,6,6,DL,N932DN,888,13487.0,MSP,10397.0,ATL,1625,1623.0,-2.0,0.0,1955,1941.0,-14.0,0.0,0.0,0.0,150.0,138.0,907.0
1635,2016,1,2,2,2,DL,N581NW,1267,10397.0,ATL,11433.0,DTW,1735,1731.0,-4.0,0.0,1934,1939.0,5.0,0.0,0.0,0.0,119.0,128.0,594.0
4715,2016,2,6,13,1,DL,N686DA,2309,10397.0,ATL,14747.0,SEA,745,836.0,51.0,1.0,1004,1057.0,53.0,1.0,0.0,0.0,319.0,321.0,2182.0
2856,2016,2,4,15,5,DL,N827DN,991,10397.0,ATL,11433.0,DTW,1205,1203.0,-2.0,0.0,1407,1345.0,-22.0,0.0,0.0,0.0,122.0,102.0,594.0
1380,2016,1,2,23,2,DL,N917DN,1231,10397.0,ATL,11433.0,DTW,1343,1347.0,4.0,0.0,1545,1527.0,-18.0,0.0,0.0,0.0,122.0,100.0,594.0
3537,2016,2,5,5,4,DL,N955DN,2074,10397.0,ATL,13487.0,MSP,1755,1752.0,-3.0,0.0,1936,1933.0,-3.0,0.0,0.0,0.0,161.0,161.0,907.0
2815,2016,2,4,14,4,DL,N378DA,1991,13487.0,MSP,10397.0,ATL,520,517.0,-3.0,0.0,845,842.0,-3.0,0.0,0.0,0.0,145.0,145.0,907.0
3230,2016,2,4,28,4,DL,N381DN,281,11433.0,DTW,14747.0,SEA,855,851.0,-4.0,0.0,1104,1018.0,-46.0,0.0,0.0,0.0,309.0,267.0,1927.0
4692,2016,2,6,11,6,DL,N3744F,2328,13487.0,MSP,11433.0,DTW,845,850.0,5.0,0.0,1125,1121.0,-4.0,0.0,0.0,0.0,100.0,91.0,528.0
2321,2016,1,3,24,4,DL,N912DE,2795,12478.0,JFK,10397.0,ATL,1925,2051.0,86.0,1.0,2210,2331.0,81.0,1.0,0.0,0.0,165.0,160.0,760.0
4051,2016,2,5,20,5,DL,N3741S,2210,14747.0,SEA,11433.0,DTW,2245,2253.0,8.0,0.0,615,611.0,-4.0,0.0,0.0,0.0,270.0,258.0,1927.0
2959,2016,2,4,20,3,DL,N967DL,87,11433.0,DTW,13487.0,MSP,1725,1748.0,23.0,1.0,1827,1840.0,13.0,0.0,0.0,0.0,122.0,112.0,528.0
1081,2016,1,2,12,5,DL,N326NB,774,13487.0,MSP,11433.0,DTW,2000,1958.0,-2.0,0.0,2244,2235.0,-9.0,0.0,0.0,0.0,104.0,97.0,528.0
3585,2016,2,5,5,4,DL,N588NW,991,10397.0,ATL,11433.0,DTW,1200,1207.0,7.0,0.0,1400,1357.0,-3.0,0.0,0.0,0.0,120.0,110.0,594.0
4819,2016,2,6,15,3,DL,N6700,2066,11433.0,DTW,14747.0,SEA,1754,1752.0,-2.0,0.0,1949,1928.0,-21.0,0.0,0.0,0.0,295.0,276.0,1927.0
3402,2016,2,4,1,5,DL,N920DN,2065,13487.0,MSP,10397.0,ATL,1932,1955.0,23.0,1.0,2302,2307.0,5.0,0.0,0.0,0.0,150.0,132.0,907.0
4294,2016,2,5,30,1,DL,N697DL,888,13487.0,MSP,10397.0,ATL,1620,1619.0,-1.0,0.0,1953,1934.0,-19.0,0.0,0.0,0.0,153.0,135.0,907.0
4463,2016,2,6,4,6,DL,N956AT,2823,13487.0,MSP,12478.0,JFK,1300,1259.0,-1.0,0.0,1649,1705.0,16.0,1.0,0.0,0.0,169.0,186.0,1029.0
4815,2016,2,6,17,5,DL,N1610D,16,14747.0,SEA,10397.0,ATL,1045,1127.0,42.0,1.0,1844,1917.0,33.0,1.0,0.0,0.0,299.0,290.0,2182.0
1417,2016,1,2,23,2,DL,N128DL,888,10397.0,ATL,13487.0,MSP,1941,1941.0,0.0,0.0,2134,2109.0,-25.0,0.0,0.0,0.0,173.0,148.0,907.0
2360,2016,1,3,6,7,DL,N801DZ,955,11433.0,DTW,10397.0,ATL,1345,1353.0,8.0,0.0,1550,1536.0,-14.0,0.0,0.0,0.0,125.0,103.0,594.0
1721,2016,1,3,1,2,DL,N964DL,2312,13487.0,MSP,12478.0,JFK,1740,1731.0,-9.0,0.0,2130,2107.0,-23.0,0.0,0.0,0.0,170.0,156.0,1029.0
1953,2016,1,3,3,4,DL,N915DL,2336,10397.0,ATL,12478.0,JFK,1515,1525.0,10.0,0.0,1740,1739.0,-1.0,0.0,0.0,0.0,145.0,134.0,760.0
1140,2016,1,2,15,1,DL,N841DN,87,11433.0,DTW,13487.0,MSP,1543,1540.0,-3.0,0.0,1655,1652.0,-3.0,0.0,0.0,0.0,132.0,132.0,528.0
4992,2016,2,6,21,2,DL,N3743H,440,12478.0,JFK,10397.0,ATL,610,910.0,180.0,1.0,839,1211.0,212.0,1.0,0.0,0.0,149.0,181.0,760.0
662,2016,1,1,29,5,DL,N935DN,866,10397.0,ATL,13487.0,MSP,1350,1354.0,4.0,0.0,1540,1525.0,-15.0,0.0,0.0,0.0,170.0,151.0,907.0
772,2016,1,1,5,2,DL,N329NW,2393,10397.0,ATL,11433.0,DTW,1915,1915.0,0.0,0.0,2116,2105.0,-11.0,0.0,0.0,0.0,121.0,110.0,594.0
582,2016,1,1,25,1,DL,N906DA,1290,10397.0,ATL,11433.0,DTW,2210,2207.0,-3.0,0.0,5,2349.0,-16.0,0.0,0.0,0.0,115.0,102.0,594.0
4746,2016,2,6,13,1,DL,N546US,1650,11433.0,DTW,13487.0,MSP,700,655.0,-5.0,0.0,750,751.0,1.0,0.0,0.0,0.0,110.0,116.0,528.0
1848,2016,1,3,8,2,DL,N826DN,300,14747.0,SEA,10397.0,ATL,1205,1202.0,-3.0,0.0,1955,1948.0,-7.0,0.0,0.0,0.0,290.0,286.0,2182.0
4421,2016,2,6,4,6,DL,N384DA,1415,13487.0,MSP,14747.0,SEA,700,653.0,-7.0,0.0,837,824.0,-13.0,0.0,0.0,0.0,217.0,211.0,1399.0
1217,2016,1,2,17,3,DL,N594NW,784,10397.0,ATL,13487.0,MSP,830,844.0,14.0,0.0,1015,1023.0,8.0,0.0,0.0,0.0,165.0,159.0,907.0
1232,2016,1,2,17,3,DL,N3741S,1537,14747.0,SEA,11433.0,DTW,940,934.0,-6.0,0.0,1655,1626.0,-29.0,0.0,0.0,0.0,255.0,232.0,1927.0
3057,2016,2,4,16,6,DL,N381DN,2193,13487.0,MSP,14747.0,SEA,705,703.0,-2.0,0.0,852,826.0,-26.0,0.0,0.0,0.0,227.0,203.0,1399.0
