Origin Airport,Origin Airport Name,Origin City Name,Origin Country Name,Origin Region Name,Destination Airport,Destination Airport Name,Destination City Name,Destination Country Name,Destination Region Name,Marketing Airline,Operating Airline,Marketing Airline Name,Operating Airline Name,Code Share,Fleet,Manufacturer,Flight No,Effective Date,Discontinued Date,Departure Time,Arrival Time,Flight Duration (mins),Departure Terminal,Arrival Terminal,Restricted Code,Frequency,Schedule Type,DepCount,Operating Airline   Capacity,Operating Airline   ASM(Nautical)(Millions),Distance (N.Mil)
ORD,O'HARE INTERNATIONAL AIRPORT,CHICAGO,UNITED STATES,NORTH AMERICA,MSP,ST PAUL INTERNATIONAL AIRPORT,MINNEAPOLIS / ST PAUL,UNITED STATES,NORTH AMERICA,CO,NW,Cobaltair Ltd,NORTHWEST AIRLINES INC.,YES,72S,BOEING,5115,20010304,20010325,09:00,10:32,92,2,M,Y, ------7 ,AIR,1,,,292.0
CRP,CORPUS CHRISTI INTERNATIONAL AIRPORT,CORPUS CHRISTI,UNITED STATES,NORTH AMERICA,IAH,GEORGE BUSH INTERCONTINENTAL AIRPORT,HOUSTON,UNITED STATES,NORTH AMERICA,NW,CO,NORTHWEST AIRLINES INC.,Cobaltair Ltd,YES,735,BOEING,7888,20010301,20010325,07:15,08:14,59,,C,Y, ------7 ,AIR,1,,,176.0
IAH,GEORGE BUSH INTERCONTINENTAL AIRPORT,HOUSTON,UNITED STATES,NORTH AMERICA,COS,MUNICIPAL AIRPORT,COLORADO SPRINGS,UNITED STATES,NORTH AMERICA,CO,CO,Cobaltair Ltd,Cobaltair Ltd,NO,733,BOEING,770,20010301,20010330,09:35,10:56,141,C,, , 12345-7 ,AIR,6,744.0,0.53,710.0
CVG,NORTHERN KENTUCKY INTERNATIONAL AIRPORT,CINCINNATI,UNITED STATES,NORTH AMERICA,DAY,JAMES M. COX INTERNATIONAL AIRPORT,DAYTON,UNITED STATES,NORTH AMERICA,DL,OH,"Delta Air Lines, Inc.","PSA Airlines, Inc.  (US Airways Express)",NO,CRJ,Bombardier,5455,20001101,20001130,18:40,19:15,35,3,, ,1234567,AIR,7,350.0,0.02,49.0
MCT,MUSCAT INTERNATIONAL AIRPORT,MUSCAT,OMAN,GULF,GWD,GWADAR INTERNATIONAL AIRPORT,GWADAR,PAKISTAN,ASIA SUB-CONTINENT,PK,PK,Pakistan International Airlines,Pakistan International Airlines,NO,F27,FOKKER,194,20010301,20010331,12:15,14:50,95,,, , ---4-6- ,AIR,2,88.0,0.02,241.0
LPA,GRAN CANARIA AIRPORT,LAS PALMAS,SPAIN,WESTERN EUROPE,ACE,LANZAROTE AIRPORT,LANZAROTE,SPAIN,WESTERN EUROPE,NT,NT,Binter Canarias,Binter Canarias,NO,ATR,ATR,500,20001101,20001130,7:30,8:10,40,,, ,1234567,AIR,7,322.0,0.04,109.0
MEX,BENITO JUAREZ INTL AIRPORT,MEXICO CITY,MEXICO,NORTH AMERICA,CVM,PEDRO J. MENDEZ INTL AIRPORT,CIUDAD VICTORIA,MEXICO,NORTH AMERICA,MX,VW,COMPANIA MEXICANA DE AVIACION,"Transportes Aeromar, S.A de C.V",YES,ATR,ATR,4334,20001101,20001130,19:40,21:10,90,,, , 12345-7 ,AIR,6,,,265.0
JNB,O.R. TAMBO INTERNATIONAL AIRPORT,JOHANNESBURG,SOUTH AFRICA,SOUTHERN AFRICA,GRJ,GEORGE AIRPORT,GEORGE,SOUTH AFRICA,SOUTHERN AFRICA,DL,SA,"Delta Air Lines, Inc.",South African Airways,YES,73S,BOEING,7063,20010301,20010323,15:50,17:40,110,,,Q, ---45-7 ,AIR,3,,,564.0
ROC,GREATER ROCHESTER INTERNATIONAL AIRPORT,ROCHESTER,UNITED STATES,NORTH AMERICA,LGA,LAGUARDIA AIRPORT,NEW YORK,UNITED STATES,NORTH AMERICA,AA,MQ,American Airlines,Envoy Air Inc.,NO,SF3,Saab,4492,20001101,20001130,16:50,18:25,95,,M, , 12345-7 ,AIR,6,204.0,0.04,216.0
SDV,SDE-DOV AIRPORT,TEL AVIV YAFO BEN GURION,ISRAEL,MIDDLE EAST,RPN,BEN YA'AKOV AIRPORT,ROSH PINA,ISRAEL,MIDDLE EAST,IZ,IZ,Arkia - Israeli Airlines Ltd,Arkia - Israeli Airlines Ltd,NO,DH7,De Havilland Canada,702,20010305,20010314,15:00,15:30,30,,, , 123---- ,AIR,3,162.0,0.01,66.0
LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,EWR,NEWARK LIBERTY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,NORTH AMERICA,NW,CO,NORTHWEST AIRLINES INC.,Cobaltair Ltd,YES,738,BOEING,6144,20010301,20010324,21:30,05:36,306,6,C,O, -----6- ,AIR,1,,,2133.0
TAO,LIUTING INTERNATIONAL AIRPORT,QINGDAO,CHINA,FAR EAST ASIA,NGB,LISHE INTERNATIONAL AIRPORT,NINGBO,CHINA,FAR EAST ASIA,CJ,CJ,BA Cityflyer Limited,BA Cityflyer Limited,NO,M90,MCDONNELL-DOUGLAS,6275,20010301,20010331,11:30,12:40,70,,, , --3---- ,AIR,1,157.0,0.06,400.0
BCN,BARCELONA AIRPORT,BARCELONA,SPAIN,WESTERN EUROPE,CPH,KASTRUP AIRPORT,COPENHAGEN,DENMARK,WESTERN EUROPE,SK,JK,Scandinavian Airlines System,Aerolinea Del Caribe S.A. dba Aercaribe S.A.,YES,M80,MCDONNELL-DOUGLAS,3506,20010301,20010324,10:30,13:30,180,B,3, , 1234567 ,AIR,7,,,954.0
SIN,CHANGI AIRPORT,SINGAPORE,SINGAPORE,SOUTHEAST ASIA,PDG,MINANGKABAU AIRPORT,PADANG,INDONESIA,SOUTHEAST ASIA,MI,MI,Silkair (S) Pte. Ltd.,Silkair (S) Pte. Ltd.,NO,319,AIRBUS,266,20001101,20001130,13:10,13:20,70,2,, , 1------ ,AIR,1,118.0,0.03,258.0
MEX,BENITO JUAREZ INTL AIRPORT,MEXICO CITY,MEXICO,NORTH AMERICA,GDL,MIGUEL HIDALGO INTL AIRPORT,GUADALAJARA,MEXICO,NORTH AMERICA,AM,AM,Aeromexico Aerovias de Mexico S.A. de C.V.,Aeromexico Aerovias de Mexico S.A. de C.V.,NO,D9S,MCDONNELL-DOUGLAS,224,20001101,20001130,18:00,19:05,65,,, , 12--567 ,AIR,5,550.0,0.14,251.0
LED,PULKOVO AIRPORT,ST PETERSBURG,RUSSIA,EASTERN EUROPE,ARN,ARLANDA AIRPORT,STOCKHOLM,SWEDEN,WESTERN EUROPE,SK,SK,Scandinavian Airlines System,Scandinavian Airlines System,NO,M87,MCDONNELL-DOUGLAS,733,20001101,20001130,15:20,14:50,90,2,5, ,1234567,AIR,7,770.0,0.29,377.0
TPA,TAMPA INTERNATIONAL AIRPORT,TAMPA,UNITED STATES,NORTH AMERICA,DEN,DENVER INTERNATIONAL AIRPORT,DENVER,UNITED STATES,NORTH AMERICA,UA,UA,"United Airlines, Inc.","United Airlines, Inc.",NO,72S,BOEING,1599,20010301,20010331,17:30,19:13,223,,, , 1234567 ,AIR,7,1029.0,1.35,1316.0
PNS,PENSACOLA INTERNATIONAL AIRPORT,PENSACOLA,UNITED STATES,NORTH AMERICA,MEM,MEMPHIS INTERNATIONAL AIRPORT,MEMPHIS,UNITED STATES,NORTH AMERICA,NW,9E,NORTHWEST AIRLINES INC.,Endeavor Air,NO,CRJ,Bombardier,5955,20010302,20010331,14:30,16:00,90,,, , 1234567 ,AIR,6,300.0,0.09,313.0
CLT,DOUGLAS INTERNATIONAL AIRPORT,CHARLOTTE,UNITED STATES,NORTH AMERICA,LYH,LYNCHBURG REGIONAL AIRPORT-PRESTON-GLENN FIELD,LYNCHBURG,UNITED STATES,NORTH AMERICA,US,ED,US AIRWAYS INC.,AirExplore s.r.o.,NO,J31,BAe,5102,20001101,20001122,15:25,16:38,73,,, , 12345-7 ,AIR,6,114.0,0.02,156.0
RFP,UTUROA AIRPORT,RAIATEA,FRENCH POLYNESIA,PACIFIC,HUH,FARE AIRPORT,HUAHINE,FRENCH POLYNESIA,PACIFIC,VT,VT,Air Tahiti,Air Tahiti,NO,AT7,ATR,332,20001101,20001130,7:15,7:30,15,,, , ----5-- ,AIR,1,66.0,0.0,32.0
FAR,HECTOR INTERNATIONAL AIRPORT,FARGO,UNITED STATES,NORTH AMERICA,MSP,ST PAUL INTERNATIONAL AIRPORT,MINNEAPOLIS / ST PAUL,UNITED STATES,NORTH AMERICA,CO,NW,Cobaltair Ltd,NORTHWEST AIRLINES INC.,YES,320,AIRBUS,5509,20010303,20010331,14:50,15:44,54,,M,Y, -----6- ,AIR,1,,,197.0
MZG,MAGONG AIRPORT,MAKUNG,TAIWAN,FAR EAST ASIA,CMJ,QIMEI AIRPORT,CHI MEI,TAIWAN,FAR EAST ASIA,AE,AE,Mandarin Airlines Ltd.,Mandarin Airlines Ltd.,NO,D28,Dornier,7017,20010301,20010331,16:00,16:15,15,,, , 1234567 ,AIR,7,133.0,,
YWG,J.A. RICHARDSON INTL AIRPORT,WINNIPEG,CANADA,NORTH AMERICA,YBV,BERENS RIVER AIRPORT,BERENS RIVER,CANADA,NORTH AMERICA,UW,UW,Uni-Top Airlines Co Ltd,Uni-Top Airlines Co Ltd,NO,SWM,Fairchild,111,20001101,20001130,15:40,16:35,55,,, , ------7 ,AIR,1,18.0,0.0,146.0
FGI,FAGALI'I AIRPORT,APIA,WESTERN SAMOA,PACIFIC,PPG,PAGO PAGO INTERNATIONAL AIRPORT,PAGO PAGO,SAMOA - AMERICAN,PACIFIC,PH,PH,Phoenix Air Group Inc.,Phoenix Air Group Inc.,NO,DHT,De Havilland Canada,254,20010301,20010331,13:20,14:00,40,,, , --3-5-- ,AIR,2,38.0,0.0,64.0
BUD,LISZT FERENC INTERNATIONAL AIRPORT,BUDAPEST,HUNGARY,EASTERN EUROPE,WAW,FREDERIC CHOPIN AIRPORT,WARSAW,POLAND,EASTERN EUROPE,LO,LO,LOT  Polish Airlines,LOT  Polish Airlines,NO,ER4,EMBRAER,532,20010301,20010331,19:05,20:25,80,2B,1, , 1234567 ,AIR,7,336.0,0.1,294.0
LEX,BLUE GRASS AIRPORT,LEXINGTON,UNITED STATES,NORTH AMERICA,CVG,NORTHERN KENTUCKY INTERNATIONAL AIRPORT,CINCINNATI,UNITED STATES,NORTH AMERICA,DL,OH,"Delta Air Lines, Inc.","PSA Airlines, Inc.  (US Airways Express)",NO,CRJ,Bombardier,5782,20001101,20001130,17:10,17:50,40,,3, ,1234567,AIR,7,350.0,0.02,65.0
HKG,HONG KONG INTERNATIONAL AIRPORT,HONG KONG,HONG KONG - CHINA,FAR EAST ASIA,MNL,NINOY AQUINO INTERNATIONAL AIRPORT,MANILA,PHILIPPINES,SOUTHEAST ASIA,PR,PR,"Philippine Airlines, Inc.","Philippine Airlines, Inc.",NO,742,BOEING,319,20001101,20001126,13:00,15:00,120,,C2, , ------7 ,AIR,1,400.0,0.25,618.0
UIO,MARISCAL SUCRE INTL AIRPORT,QUITO,ECUADOR,SOUTH AMERICA,PTY,TOCUMEN INTERNATIONAL AIRPORT,PANAMA CITY,PANAMA,CENTRAL AMERICA,CO,CO,Cobaltair Ltd,Cobaltair Ltd,NO,73G,BOEING,1248,20010304,20010326,07:25,09:11,106,,, , 1-----7 ,AIR,2,248.0,0.14,569.0
BOM,MUMBAI AIRPORT,MUMBAI,INDIA,ASIA SUB-CONTINENT,DEL,INDIRA GANDHI INTERNATIONAL AIRPORT,DELHI,INDIA,ASIA SUB-CONTINENT,IC,IC,NACIL DBA INDIAN AIRLINES,NACIL DBA INDIAN AIRLINES,NO,320,AIRBUS,809,20010301,20010331,08:00,09:55,115,,, , 1234567 ,AIR,7,1015.0,0.63,621.0
YQX,GANDER INTERNATIONAL AIRPORT,GANDER,CANADA,NORTH AMERICA,YDF,DEER LAKE REGIONAL AIRPORT,DEER LAKE,CANADA,NORTH AMERICA,CP,QK,Compass Airlines LLC,Jazz Aviation LP,YES,DH1,De Havilland Canada,2837,20001101,20001130,19:30,20:20,50,,, , 12345-7 ,AIR,6,,,107.0
GDL,MIGUEL HIDALGO INTL AIRPORT,GUADALAJARA,MEXICO,NORTH AMERICA,MEX,BENITO JUAREZ INTL AIRPORT,MEXICO CITY,MEXICO,NORTH AMERICA,UA,MX,"United Airlines, Inc.",COMPANIA MEXICANA DE AVIACION,YES,100,FOKKER,4403,20001101,20001130,11:25,12:35,70,,,Q,1234567,AIR,7,,,251.0
ENA,KENAI MUNICIPAL AIRPORT,KENAI,UNITED STATES,NORTH AMERICA,ANC,TED STEVENS INTERNATIONAL AIRPORT,ANCHORAGE,UNITED STATES,NORTH AMERICA,AS,7H,Alaska Airlines,Corvus Airlines Inc. dba Ravn Alaska,NO,DH8,De Havilland Canada,4833,20010301,20010330,12:20,12:45,25,,, , 12-45-- ,AIR,4,148.0,0.01,52.0
AMS,SCHIPHOL AIRPORT,AMSTERDAM,NETHERLANDS,WESTERN EUROPE,IAD,DULLES INTERNATIONAL AIRPORT,WASHINGTON,UNITED STATES,NORTH AMERICA,UA,UA,"United Airlines, Inc.","United Airlines, Inc.",NO,777,BOEING,947,20001101,20001130,12:35,15:10,515,,, ,1234567,AIR,7,1806.0,6.08,3366.0
ADE,ADEN INTERNATIONAL AIRPORT,ADEN,YEMEN,MIDDLE EAST,DXB,DUBAI INTERNATIONAL AIRPORT,DUBAI,UNITED ARAB EMIRATES,GULF,IY,IY,Yemenia Yemen Airways,Yemenia Yemen Airways,NO,310,AIRBUS,800,20010301,20010331,10:45,14:45,180,,, , -----6- ,AIR,1,196.0,0.19,946.0
BSL,EUROAIRPORT SWISS,MULHOUSE/BASEL,SWITZERLAND,WESTERN EUROPE,CGN,COLOGNE/BONN AIRPORT,COLOGNE,GERMANY,WESTERN EUROPE,LX,LX,SWISS International Air Lines Ltd,SWISS International Air Lines Ltd,NO,SF3,Saab,534,20001101,20001130,12:35,14:05,90,,1, , 12345-7 ,AIR,6,198.0,0.04,198.0
CPH,KASTRUP AIRPORT,COPENHAGEN,DENMARK,WESTERN EUROPE,RIX,RIGA INTERNATIONAL AIRPORT,RIGA,LATVIA,EASTERN EUROPE,BT,BT,Air Baltic Corporation AS,Air Baltic Corporation AS,NO,AR7,Avro,114,20010301,20010324,14:55,17:25,90,3,, , 1234567 ,AIR,7,483.0,0.19,386.0
IAH,GEORGE BUSH INTERCONTINENTAL AIRPORT,HOUSTON,UNITED STATES,NORTH AMERICA,PHL,PHILADELPHIA INTERNATIONAL AIRPORT,PHILADELPHIA,UNITED STATES,NORTH AMERICA,HP,CO,Amapola Flyg AB,Cobaltair Ltd,YES,733,BOEING,1772,20001101,20001130,11:03,15:17,194,C,D,Y, 12345-7 ,AIR,6,,,1151.0
CLE,HOPKINS INTERNATIONAL AIRPORT,CLEVELAND,UNITED STATES,NORTH AMERICA,LAX,LOS ANGELES INTERNATIONAL AIRPORT,LOS ANGELES,UNITED STATES,NORTH AMERICA,NW,CO,NORTHWEST AIRLINES INC.,Cobaltair Ltd,YES,73G,BOEING,7905,20010301,20010330,16:10,18:12,302,,6,O, 12345-- ,AIR,5,,,1781.0
YGP,MICHEL-POULIOT AIRPORT,GASPE,CANADA,NORTH AMERICA,YGR,ILES DE LA MADELEINE AIRPORT,ILES DE LA MADELEINE,CANADA,NORTH AMERICA,AC,QK,Air Canada,Jazz Aviation LP,NO,DH1,De Havilland Canada,8720,20001104,20001130,21:50,23:40,50,,, , -----6- ,AIR,1,37.0,0.0,135.0
LGW,GATWICK AIRPORT,LONDON,UNITED KINGDOM,WESTERN EUROPE,JER,JERSEY AIRPORT,JERSEY,JERSEY,WESTERN EUROPE,JY,JY,"Intercaribbean Airways, Ltd.","Intercaribbean Airways, Ltd.",NO,146,BAe,947,20010301,20010331,16:20,17:15,55,S,, , 12345-7 ,AIR,6,510.0,0.07,140.0
MAN,MANCHESTER AIRPORT,MANCHESTER,UNITED KINGDOM,WESTERN EUROPE,BRU,BRUSSELS AIRPORT,BRUSSELS,BELGIUM,WESTERN EUROPE,BA,TH,British Airways p.l.c.,Raya Airways Sdn Bhd,NO,ER4,EMBRAER,1616,20001104,20001130,8:20,10:40,80,3,, , -----6- ,AIR,1,49.0,0.01,294.0
ZUH,SANZAO INTL AIRPORT,ZHUHAI,CHINA,FAR EAST ASIA,WUH,TIANHE INTL AIRPORT,WUHAN,CHINA,FAR EAST ASIA,WH,WH,WDL Aviation Gmbh & Co.KG,WDL Aviation Gmbh & Co.KG,NO,320,AIRBUS,2304,20001101,20001130,15:05,16:35,90,,, , --3---- ,AIR,1,158.0,0.08,529.0
HKG,HONG KONG INTERNATIONAL AIRPORT,HONG KONG,HONG KONG - CHINA,FAR EAST ASIA,TPE,TAIWAN TAOYUAN INTERNATIONAL AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,CI,CI,China Airlines Ltd.,China Airlines Ltd.,NO,744,BOEING,604,20001101,20001130,11:25,12:55,90,,1, , 12-4567 ,AIR,6,2466.0,1.07,433.0
CBB,JORGE WILSTERMANN INTL AIRPORT,COCHABAMBA,BOLIVIA,SOUTH AMERICA,LPB,EL ALTO INTL AIRPORT,LA PAZ,BOLIVIA,SOUTH AMERICA,LB,LB,Bul Air Ltd.,Bul Air Ltd.,NO,72S,BOEING,810,20001101,20001130,7:30,8:05,35,,, , ---4-6- ,AIR,2,210.0,0.03,129.0
SJO,JUAN SANTAMARIA INTERNATIONAL AIRPORT,SAN JOSE,COSTA RICA,CENTRAL AMERICA,GLF,GOLFITO AIRPORT,GOLFITO,COSTA RICA,CENTRAL AMERICA,LR,RZ,Avianca Costa Rica SA,Servicios Aereos Nacionales S.A.,YES,CNA,Cessna,1615,20001101,20001114,12:30,13:30,60,,, ,1234567,AIR,7,,,104.0
ATL,HARTSFIELD-JACKSON INTERNATIONAL AIRPORT,ATLANTA,UNITED STATES,NORTH AMERICA,MEM,MEMPHIS INTERNATIONAL AIRPORT,MEMPHIS,UNITED STATES,NORTH AMERICA,CO,NW,Cobaltair Ltd,NORTHWEST AIRLINES INC.,YES,D9S,MCDONNELL-DOUGLAS,5823,20010301,20010331,11:40,11:56,76,,,Y, 1234567 ,AIR,7,,,289.0
OSL,OSLO AIRPORT,OSLO,NORWAY,WESTERN EUROPE,WAW,FREDERIC CHOPIN AIRPORT,WARSAW,POLAND,EASTERN EUROPE,LO,LO,LOT  Polish Airlines,LOT  Polish Airlines,NO,ER4,EMBRAER,486,20010301,20010331,19:10,21:05,115,,1, , 12345-7 ,AIR,6,288.0,0.17,590.0
IAH,GEORGE BUSH INTERCONTINENTAL AIRPORT,HOUSTON,UNITED STATES,NORTH AMERICA,IAD,DULLES INTERNATIONAL AIRPORT,WASHINGTON,UNITED STATES,NORTH AMERICA,CO,CO,Cobaltair Ltd,Cobaltair Ltd,NO,735,BOEING,1436,20010301,20010330,13:00,16:56,176,C,, , 12345-7 ,AIR,6,684.0,0.71,1037.0
FRA,FRANKFURT INTERNATIONAL AIRPORT,FRANKFURT,GERMANY,WESTERN EUROPE,LEJ,LEIPZIG/HALLE AIRPORT,LEIPZIG/HALLE,GERMANY,WESTERN EUROPE,UA,LH,"United Airlines, Inc.",Deutsche Lufthansa AG,YES,733,BOEING,3730,20001105,20001130,9:15,10:10,55,1,,Q, ------7 ,AIR,1,,,167.0
PFO,PAPHOS INTERNATIONAL AIRPORT,PAPHOS,CYPRUS,EASTERN EUROPE,LCA,LARNACA AIRPORT,LARNACA,CYPRUS,EASTERN EUROPE,CY,CY,Charlie Airlines Limited,Charlie Airlines Limited,NO,312,AIRBUS,507,20001101,20001130,21:20,21:50,30,,,A, --3--6- ,AIR,2,482.0,0.03,60.0
DBO,CITY AIRPORT,DUBBO,AUSTRALIA,AUSTRALIA,SYD,KINGSFORD SMITH AIRPORT,SYDNEY,AUSTRALIA,AUSTRALIA,QF,QF,Qantas Airways Ltd.,Qantas Airways Ltd.,NO,DH8,De Havilland Canada,2049,20010301,20010309,14:10,15:15,65,,QF, , 1--45-- ,AIR,3,108.0,0.02,171.0
CLE,HOPKINS INTERNATIONAL AIRPORT,CLEVELAND,UNITED STATES,NORTH AMERICA,BNA,NASHVILLE INTERNATIONAL AIRPORT,NASHVILLE,UNITED STATES,NORTH AMERICA,CO,CO,Cobaltair Ltd,Cobaltair Ltd,NO,ERJ,EMBRAER,3897,20001101,20001130,8:50,9:38,108,,, ,1234567,AIR,7,350.0,0.14,393.0
BTR,METROPOLITAN - RYAN AIRPORT,BATON ROUGE,UNITED STATES,NORTH AMERICA,DFW,DALLAS/FT. WORTH INTERNATIONAL AIRPORT,DALLAS FORT WORTH,UNITED STATES,NORTH AMERICA,YX,MQ,"Republic Airline, Inc",Envoy Air Inc.,YES,SF3,Saab,3786,20010302,20010331,06:10,08:12,122,,A,Y, 123456- ,AIR,5,,,335.0
MCM,MONTE CARLO HELIPORT,MONTE CARLO,MONACO,WESTERN EUROPE,NCE,COTE D'AZUR AIRPORT,NICE,FRANCE,WESTERN EUROPE,EC,EC,EasyJet Europe Airline GmbH,EasyJet Europe Airline GmbH,NO,NDE,Eurocopter,141,20001101,20001130,15:00,15:06,6,,2, ,1234567,AIR,7,28.0,0.0,9.0
JMM,MALMO HARBOUR HELIPORT,MALMO,SWEDEN,WESTERN EUROPE,CPH,KASTRUP AIRPORT,COPENHAGEN,DENMARK,WESTERN EUROPE,SK,YQ,Scandinavian Airlines System,Link Conexion Aerea S.A de C.V,YES,S76,Sikorsky,9533,20001101,20001130,18:20,18:25,5,,3,Y, 12345-7 ,AIR,6,,,
LAS,MCCARRAN INTERNATIONAL AIRPORT,LAS VEGAS,UNITED STATES,NORTH AMERICA,PHX,SKY HARBOR INTERNATIONAL AIRPORT,PHOENIX,UNITED STATES,NORTH AMERICA,BA,HP,British Airways p.l.c.,Amapola Flyg AB,YES,757,BOEING,7540,20001101,20001122,18:18,20:25,67,M,4,O,1234567,AIR,7,,,224.0
HKT,PHUKET INTERNATIONAL AIRPORT,PHUKET,THAILAND,SOUTHEAST ASIA,VIE,VIENNA INTERNATIONAL AIRPORT,VIENNA,AUSTRIA,WESTERN EUROPE,NG,NG,LAUDA AIR LUFTFAHRT AG,LAUDA AIR LUFTFAHRT AG,NO,763,BOEING,12,20001104,20001130,11:00,17:35,755,,, , -----6- ,AIR,1,244.0,1.15,4722.0
KKH,KONGIGANAK AIRPORT,KONGIGANAK,UNITED STATES,NORTH AMERICA,WTL,TUNTUTULIAK AIRPORT,TUNTUTULIAK,UNITED STATES,NORTH AMERICA,5F,5F,Fly One S.R.L.,Fly One S.R.L.,NO,CNA,Cessna,10,20010301,20010331,10:30,10:45,15,,, , 1234567 ,AIR,7,56.0,0.0,22.0
TSA,SONGSHAN AIRPORT,TAIPEI,TAIWAN,FAR EAST ASIA,KHH,KAOHSIUNG INTERNATIONAL AIRPORT,KAOHSIUNG,TAIWAN,FAR EAST ASIA,EF,EF,Aerolinea del Caribe - Peru S.A.C.,Aerolinea del Caribe - Peru S.A.C.,NO,757,BOEING,109,20010301,20010331,08:35,09:25,50,,,W, 1234567 ,AIR,7,1449.0,0.23,161.0
DTW,METROPOLITAN WAYNE COUNTY AIRPORT,DETROIT,UNITED STATES,NORTH AMERICA,IND,INDIANAPOLIS INTERNATIONAL AIRPORT,INDIANAPOLIS,UNITED STATES,NORTH AMERICA,NW,NW,NORTHWEST AIRLINES INC.,NORTHWEST AIRLINES INC.,NO,320,AIRBUS,65,20010301,20010331,17:00,18:09,69,M,, , 123456- ,AIR,6,888.0,0.18,201.0
FDH,FRIEDRICHSHAFEN AIRPORT,FRIEDRICHSHAFEN,GERMANY,WESTERN EUROPE,LPA,GRAN CANARIA AIRPORT,LAS PALMAS,SPAIN,WESTERN EUROPE,DE,DE,Condor Flugdienst GmbH,Condor Flugdienst GmbH,NO,32S,AIRBUS,3434,20001101,20001130,8:50,12:20,270,,, , --3---- ,AIR,1,150.0,0.25,1666.0
YTS,VICTOR M. POWER AIRPORT,TIMMINS,CANADA,NORTH AMERICA,YYZ,LESTER B. PEARSON INTL AIRPORT,TORONTO,CANADA,NORTH AMERICA,AC,GX,Air Canada,"Guangxi Beibu Gulf Airlines Co., Ltd",NO,DH1,De Havilland Canada,1332,20010301,20010325,16:45,18:25,100,,1, , ------7 ,AIR,1,37.0,0.01,307.0
CPH,KASTRUP AIRPORT,COPENHAGEN,DENMARK,WESTERN EUROPE,XFR,MALMO SOUTH RAILWAY SERVICE,MALMO,SWEDEN,WESTERN EUROPE,SK,9B,Scandinavian Airlines System,AccesRail and Partner Railway,YES,TRN,Surface Equipment,6152,20010301,20010324,07:50,08:01,11,3,,Y, 1234567 ,TRAIN,7,,,11.0
JHB,SENAI INTERNATIONAL AIRPORT,JOHOR BAHRU,MALAYSIA,SOUTHEAST ASIA,PEN,PENANG INTERNATIONAL AIRPORT,PENANG,MALAYSIA,SOUTHEAST ASIA,MH,MH,Malaysia Airlines Berhad,Malaysia Airlines Berhad,NO,734,BOEING,1580,20010301,20010324,15:10,16:15,65,,, , 1234567 ,AIR,7,1008.0,0.3,299.0
CFS,COFFS HARBOUR AIRPORT,COFFS HARBOUR,AUSTRALIA,AUSTRALIA,GFN,CLARENCE VALLEY AIRPORT,GRAFTON,AUSTRALIA,AUSTRALIA,QF,QF,Qantas Airways Ltd.,Qantas Airways Ltd.,NO,DH8,De Havilland Canada,2114,20010301,20010324,15:10,15:30,20,,, , 1234567 ,AIR,7,252.0,0.01,34.0
SVG,SOLA AIRPORT,STAVANGER,NORWAY,WESTERN EUROPE,OSL,OSLO AIRPORT,OSLO,NORWAY,WESTERN EUROPE,BU,BU,Compagnie Africaine d'Aviation,Compagnie Africaine d'Aviation,NO,734,BOEING,6,20010301,20010303,07:25,08:15,50,,, , -----6- ,AIR,1,156.0,0.03,184.0
FLL,FT. LAUDERDALE INTERNATIONAL AIRPORT,FORT LAUDERDALE,UNITED STATES,NORTH AMERICA,JFK,JOHN F. KENNEDY INTERNATIONAL AIRPORT,NEW YORK,UNITED STATES,NORTH AMERICA,B6,B6,Jetblue Airways Corporation,Jetblue Airways Corporation,NO,320,AIRBUS,30,20010301,20010331,20:30,23:15,165,4,6, , 1234567 ,AIR,7,1050.0,0.98,934.0
YUL,PIERRE ELLIOTT TRUDEAU INTERNATIONAL AIRPORT,MONTREAL,CANADA,NORTH AMERICA,YYZ,LESTER B. PEARSON INTL AIRPORT,TORONTO,CANADA,NORTH AMERICA,QN,QN,Skytrans Regional PTY Ltd.,Skytrans Regional PTY Ltd.,NO,737,BOEING,956,20001103,20001130,14:00,15:10,70,,3, , ----5-- ,AIR,1,122.0,0.03,271.0
MKE,GENERAL MITCHELL INTERNATIONAL AIRPORT,MILWAUKEE,UNITED STATES,NORTH AMERICA,LSE,LA CROSSE REGIONAL AIRPORT,LA CROSSE,UNITED STATES,NORTH AMERICA,YX,AL,"Republic Airline, Inc",Malta Air Ltd.,NO,BE1,Beech,1690,20010301,20010331,15:20,16:15,55,,, , -----6- ,AIR,1,19.0,0.0,154.0
BUF,BUFFALO NIAGARA INTERNATIONAL AIRPORT,BUFFALO,UNITED STATES,NORTH AMERICA,LGA,LAGUARDIA AIRPORT,NEW YORK,UNITED STATES,NORTH AMERICA,DL,OH,"Delta Air Lines, Inc.","PSA Airlines, Inc.  (US Airways Express)",NO,CRJ,Bombardier,6040,20001101,20001124,6:10,7:20,70,,DL, ,1234567,AIR,7,350.0,0.09,253.0
