,YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,TAIL_NUM,FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DEL15,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DEL15,CANCELLED
3079,2016,2,4,23,6,DL,N805NW,2798,JFK,DTW,1700,1656.0,-4.0,0.0,1914,1851.0,-23.0,0.0,0.0
1551,2016,1,2,29,1,DL,N692DL,1051,ATL,MSP,1045,1043.0,-2.0,0.0,1230,1212.0,-18.0,0.0,0.0
355,2016,1,1,17,7,DL,N16065,1145,ATL,DTW,1635,1645.0,10.0,0.0,1839,1836.0,-3.0,0.0,0.0
2567,2016,2,4,4,1,DL,N3769L,1991,MSP,ATL,520,514.0,-6.0,0.0,845,823.0,-22.0,0.0,0.0
2973,2016,2,4,19,2,DL,N807DN,2522,SEA,DTW,1402,1400.0,-2.0,0.0,2114,2115.0,1.0,0.0,0.0
564,2016,1,1,24,7,DL,N382DA,460,JFK,SEA,1825,,,,2151,,,,1.0
3440,2016,2,5,2,1,DL,N396DA,281,DTW,SEA,841,842.0,1.0,0.0,1040,1007.0,-33.0,0.0,0.0
1636,2016,1,2,1,1,DL,N675DL,1991,MSP,ATL,525,523.0,-2.0,0.0,857,856.0,-1.0,0.0,0.0
2359,2016,1,3,6,7,DL,N845DN,902,ATL,DTW,1454,1453.0,-1.0,0.0,1653,1650.0,-3.0,0.0,0.0
2936,2016,2,4,19,2,DL,N833DN,991,ATL,DTW,1205,1205.0,0.0,0.0,1407,1400.0,-7.0,0.0,0.0
1344,2016,1,2,21,7,DL,N557NW,629,ATL,DTW,915,909.0,-6.0,0.0,1112,1100.0,-12.0,0.0,0.0
1472,2016,1,2,26,5,DL,N973DL,2348,ATL,JFK,1935,1939.0,4.0,0.0,2202,2208.0,6.0,0.0,0.0
2637,2016,2,4,7,4,DL,N3761R,822,SEA,DTW,600,558.0,-2.0,0.0,1315,1252.0,-23.0,0.0,0.0
3825,2016,2,5,14,6,DL,N586NW,784,ATL,MSP,845,842.0,-3.0,0.0,1018,1013.0,-5.0,0.0,0.0
247,2016,1,1,14,4,DL,N3768,281,DTW,SEA,840,839.0,-1.0,0.0,1100,1115.0,15.0,1.0,0.0
859,2016,1,1,1,5,DL,N822DN,1247,ATL,MSP,1455,1455.0,0.0,0.0,1638,1632.0,-6.0,0.0,0.0
3533,2016,2,5,4,3,DL,N127DL,2308,SEA,MSP,1305,1305.0,0.0,0.0,1835,1822.0,-13.0,0.0,0.0
4629,2016,2,6,11,6,DL,N695DL,1542,SEA,JFK,2230,2237.0,7.0,0.0,646,653.0,7.0,0.0,0.0
386,2016,1,1,17,7,DL,N926AT,2054,JFK,ATL,1930,2119.0,109.0,1.0,2208,56.0,168.0,1.0,0.0
1454,2016,1,2,25,4,DL,N803NW,2604,SEA,MSP,1315,1316.0,1.0,0.0,1834,1830.0,-4.0,0.0,0.0
1131,2016,1,2,13,6,DL,N801DZ,485,JFK,SEA,1629,1645.0,16.0,1.0,2001,2027.0,26.0,1.0,0.0
4948,2016,2,6,19,7,DL,N927AT,2032,MSP,JFK,705,700.0,-5.0,0.0,1054,1037.0,-17.0,0.0,0.0
435,2016,1,1,12,2,DL,N946DN,945,DTW,ATL,1345,1347.0,2.0,0.0,1558,1534.0,-24.0,0.0,0.0
4992,2016,2,6,21,2,DL,N3743H,440,JFK,ATL,610,910.0,180.0,1.0,839,1211.0,212.0,1.0,0.0
3338,2016,2,4,23,6,DL,N592NW,1893,DTW,ATL,835,828.0,-7.0,0.0,1039,1013.0,-26.0,0.0,0.0
1150,2016,1,2,15,1,DL,N540US,991,ATL,DTW,1215,1219.0,4.0,0.0,1420,1409.0,-11.0,0.0,0.0
4567,2016,2,6,8,3,DL,N893AT,2804,DTW,MSP,1950,2002.0,12.0,0.0,2048,2056.0,8.0,0.0,0.0
3159,2016,2,4,26,2,DL,N853DN,440,JFK,SEA,1925,1916.0,-9.0,0.0,2250,2228.0,-22.0,0.0,0.0
4964,2016,2,6,21,2,DL,N6711M,2339,SEA,ATL,600,556.0,-4.0,0.0,1351,1314.0,-37.0,0.0,0.0
1312,2016,1,2,19,5,DL,N377NW,1734,MSP,DTW,1200,1157.0,-3.0,0.0,1445,1433.0,-12.0,0.0,0.0
2543,2016,2,4,3,7,DL,N831DN,902,ATL,DTW,1454,1457.0,3.0,0.0,1653,1648.0,-5.0,0.0,0.0
1411,2016,1,2,23,2,DL,N960DL,427,JFK,ATL,820,818.0,-2.0,0.0,1104,1115.0,11.0,0.0,0.0
1806,2016,1,3,5,6,DL,N848DN,2368,SEA,DTW,1351,1349.0,-2.0,0.0,2108,2054.0,-14.0,0.0,0.0
941,2016,1,2,4,4,DL,N964DN,1290,ATL,DTW,2210,2217.0,7.0,0.0,5,2354.0,-11.0,0.0,0.0
519,2016,1,1,23,6,DL,N355NW,1676,ATL,MSP,1205,1211.0,6.0,0.0,1351,1345.0,-6.0,0.0,0.0
4640,2016,2,6,10,5,DL,N958DN,748,ATL,DTW,1100,1059.0,-1.0,0.0,1301,1256.0,-5.0,0.0,0.0
2266,2016,1,3,23,3,DL,N928DL,2803,JFK,ATL,1721,1719.0,-2.0,0.0,2007,1930.0,-37.0,0.0,0.0
2582,2016,2,4,5,2,DL,N932DN,1122,ATL,MSP,1205,1205.0,0.0,0.0,1345,1349.0,4.0,0.0,0.0
496,2016,1,1,22,5,DL,N979AT,2817,JFK,DTW,909,901.0,-8.0,0.0,1120,1058.0,-22.0,0.0,0.0
2522,2016,1,3,16,3,DL,N839DN,2329,ATL,SEA,1309,1305.0,-4.0,0.0,1532,1525.0,-7.0,0.0,0.0
959,2016,1,2,5,5,DL,N983DL,976,ATL,JFK,1000,1000.0,0.0,0.0,1213,1225.0,12.0,0.0,0.0
2654,2016,2,4,7,4,DL,N1609,2581,ATL,SEA,955,952.0,-3.0,0.0,1231,1233.0,2.0,0.0,0.0
3458,2016,2,5,2,1,DL,N901DE,1893,DTW,ATL,836,834.0,-2.0,0.0,1034,1023.0,-11.0,0.0,0.0
2988,2016,2,4,20,3,DL,N704X,2413,SEA,JFK,1127,1121.0,-6.0,0.0,1950,1953.0,3.0,0.0,0.0
3537,2016,2,5,5,4,DL,N955DN,2074,ATL,MSP,1755,1752.0,-3.0,0.0,1936,1933.0,-3.0,0.0,0.0
411,2016,1,1,19,2,DL,N1603,2260,SEA,ATL,1055,1047.0,-8.0,0.0,1838,1824.0,-14.0,0.0,0.0
3219,2016,2,4,27,3,DL,N315NB,1096,DTW,MSP,1200,1156.0,-4.0,0.0,1257,1233.0,-24.0,0.0,0.0
3021,2016,2,4,21,4,DL,N590NW,946,DTW,MSP,1530,1530.0,0.0,0.0,1632,1610.0,-22.0,0.0,0.0
3695,2016,2,5,10,2,DL,N684DA,588,SEA,MSP,1110,1115.0,5.0,0.0,1642,1640.0,-2.0,0.0,0.0
484,2016,1,1,22,5,DL,N590NW,2074,ATL,MSP,1754,1755.0,1.0,0.0,1943,1921.0,-22.0,0.0,0.0
182,2016,1,1,10,7,DL,N587NW,440,JFK,ATL,610,609.0,-1.0,0.0,849,835.0,-14.0,0.0,0.0
1418,2016,1,2,24,3,DL,N942DN,1436,DTW,MSP,1725,1801.0,36.0,1.0,1837,1832.0,-5.0,0.0,0.0
153,2016,1,1,8,5,DL,N318NB,840,MSP,DTW,1951,1948.0,-3.0,0.0,2234,2236.0,2.0,0.0,0.0
480,2016,1,1,22,5,DL,N3760C,1770,SEA,MSP,1530,1530.0,0.0,0.0,2048,2035.0,-13.0,0.0,0.0
3830,2016,2,5,15,7,DL,N556NW,888,MSP,ATL,1620,1615.0,-5.0,0.0,1953,1922.0,-31.0,0.0,0.0
2790,2016,2,4,12,2,DL,N392DA,1465,ATL,DTW,2057,2101.0,4.0,0.0,2257,2302.0,5.0,0.0,0.0
3209,2016,2,4,28,4,DL,N3740C,629,ATL,DTW,905,903.0,-2.0,0.0,1101,1042.0,-19.0,0.0,0.0
3936,2016,2,5,18,3,DL,N959DL,1975,MSP,ATL,1130,1128.0,-2.0,0.0,1459,1442.0,-17.0,0.0,0.0
2279,2016,1,3,20,7,DL,N6709,888,ATL,MSP,1930,1926.0,-4.0,0.0,2113,2101.0,-12.0,0.0,0.0
4113,2016,2,5,23,1,DL,N857DZ,1306,SEA,JFK,738,731.0,-7.0,0.0,1614,1545.0,-29.0,0.0,0.0
61,2016,1,1,3,7,DL,N802DN,2829,ATL,DTW,2040,2040.0,0.0,0.0,2234,2229.0,-5.0,0.0,0.0
719,2016,1,1,30,6,DL,N703TW,1473,SEA,JFK,1150,1151.0,1.0,0.0,2008,1949.0,-19.0,0.0,0.0
3397,2016,2,4,3,7,DL,N545US,2263,DTW,SEA,1520,1521.0,1.0,0.0,1715,1717.0,2.0,0.0,0.0
815,2016,1,1,26,2,DL,N374DA,2508,SEA,DTW,940,945.0,5.0,0.0,1655,1701.0,6.0,0.0,0.0
1532,2016,1,2,27,6,DL,N365NB,1987,ATL,JFK,1515,1514.0,-1.0,0.0,1743,1730.0,-13.0,0.0,0.0
2719,2016,2,4,9,6,DL,N547US,1187,MSP,SEA,1737,1736.0,-1.0,0.0,1923,1919.0,-4.0,0.0,0.0
2144,2016,1,3,19,6,DL,N6709,1888,MSP,ATL,1515,1541.0,26.0,1.0,1839,1921.0,42.0,1.0,0.0
532,2016,1,1,22,5,DL,N811DZ,87,DTW,MSP,1540,1608.0,28.0,1.0,1648,1653.0,5.0,0.0,0.0
4260,2016,2,5,29,7,DL,N709TW,1473,SEA,JFK,1119,1117.0,-2.0,0.0,1954,1946.0,-8.0,0.0,0.0
3863,2016,2,5,15,7,DL,N837DN,1770,SEA,MSP,1510,1530.0,20.0,1.0,2038,2040.0,2.0,0.0,0.0
1416,2016,1,2,23,2,DL,N371NB,774,MSP,DTW,2000,1949.0,-11.0,0.0,2244,2232.0,-12.0,0.0,0.0
4055,2016,2,5,20,5,DL,N136DL,2784,ATL,SEA,940,1015.0,35.0,1.0,1201,1215.0,14.0,0.0,0.0
2222,2016,1,3,21,1,DL,N387DA,1566,SEA,JFK,740,740.0,0.0,0.0,1559,1537.0,-22.0,0.0,0.0
4954,2016,2,6,20,1,DL,N679DA,1164,DTW,MSP,829,830.0,1.0,0.0,926,916.0,-10.0,0.0,0.0
1601,2016,1,2,24,3,DL,N392DA,945,MSP,DTW,830,828.0,-2.0,0.0,1115,1134.0,19.0,1.0,0.0
4689,2016,2,6,11,6,DL,N955DN,2037,ATL,MSP,1631,1639.0,8.0,0.0,1818,1805.0,-13.0,0.0,0.0
2674,2016,2,4,9,6,DL,N536US,733,DTW,SEA,1520,1518.0,-2.0,0.0,1721,1702.0,-19.0,0.0,0.0
2824,2016,2,4,13,3,DL,N965DL,748,ATL,DTW,1050,1047.0,-3.0,0.0,1249,1234.0,-15.0,0.0,0.0
1811,2016,1,3,7,1,DL,N820NW,952,ATL,SEA,1515,1522.0,7.0,0.0,1738,1715.0,-23.0,0.0,0.0
4414,2016,2,6,27,1,DL,N812DN,630,DTW,ATL,1750,1754.0,4.0,0.0,1950,1942.0,-8.0,0.0,0.0
2232,2016,1,3,22,2,DL,N368NB,52,DTW,MSP,829,824.0,-5.0,0.0,928,918.0,-10.0,0.0,0.0
310,2016,1,1,16,6,DL,N808NW,1815,MSP,ATL,905,1006.0,61.0,1.0,1232,1315.0,43.0,1.0,0.0
2889,2016,2,4,17,7,DL,N340NW,428,JFK,ATL,1720,1732.0,12.0,0.0,2004,2000.0,-4.0,0.0,0.0
786,2016,1,1,11,1,DL,N3768,2287,ATL,MSP,2215,2213.0,-2.0,0.0,2357,2340.0,-17.0,0.0,0.0
3483,2016,2,5,3,2,DL,N333NW,2804,DTW,MSP,1950,1949.0,-1.0,0.0,2048,2027.0,-21.0,0.0,0.0
3625,2016,2,5,8,7,DL,N386DA,991,ATL,DTW,1200,1157.0,-3.0,0.0,1403,1344.0,-19.0,0.0,0.0
4364,2016,2,6,1,3,DL,N930DN,1267,ATL,DTW,1800,1801.0,1.0,0.0,2004,2016.0,12.0,0.0,0.0
1487,2016,1,2,27,6,DL,N814NW,1852,ATL,SEA,1050,1050.0,0.0,0.0,1323,1302.0,-21.0,0.0,0.0
4302,2016,2,5,30,1,DL,N713TW,1473,SEA,JFK,1119,1114.0,-5.0,0.0,1956,1929.0,-27.0,0.0,0.0
4698,2016,2,6,12,7,DL,N540US,2329,ATL,SEA,1405,1410.0,5.0,0.0,1625,1619.0,-6.0,0.0,0.0
4422,2016,2,6,4,6,DL,N584NW,1520,ATL,MSP,2216,2213.0,-3.0,0.0,2350,2349.0,-1.0,0.0,0.0
3638,2016,2,5,7,6,DL,N926DL,2804,DTW,MSP,1950,1949.0,-1.0,0.0,2047,2039.0,-8.0,0.0,0.0
336,2016,1,1,18,1,DL,N3753,789,SEA,MSP,1315,1314.0,-1.0,0.0,1837,1832.0,-5.0,0.0,0.0
1266,2016,1,2,15,1,DL,N672DL,1991,MSP,ATL,525,550.0,25.0,1.0,858,919.0,21.0,1.0,0.0
1270,2016,1,2,18,4,DL,N812NW,1852,ATL,SEA,1050,1055.0,5.0,0.0,1327,1334.0,7.0,0.0,0.0
1101,2016,1,2,12,5,DL,N901DA,86,MSP,DTW,1355,1353.0,-2.0,0.0,1640,1623.0,-17.0,0.0,0.0
3257,2016,2,4,30,6,DL,N315NB,1529,DTW,MSP,1000,1000.0,0.0,0.0,1055,1042.0,-13.0,0.0,0.0
134,2016,1,1,7,4,DL,N377DA,1145,ATL,DTW,1620,1631.0,11.0,0.0,1824,1813.0,-11.0,0.0,0.0
4323,2016,2,5,8,7,DL,N333NB,1734,MSP,DTW,1135,1132.0,-3.0,0.0,1417,1358.0,-19.0,0.0,0.0
2285,2016,1,3,22,2,DL,N635DL,1187,MSP,SEA,1745,1740.0,-5.0,0.0,1930,1919.0,-11.0,0.0,0.0
3569,2016,2,5,5,4,DL,N837DN,1650,DTW,MSP,720,715.0,-5.0,0.0,818,803.0,-15.0,0.0,0.0
1641,2016,1,2,1,1,DL,N3739P,2440,SEA,MSP,35,27.0,-8.0,0.0,550,530.0,-20.0,0.0,0.0
4108,2016,2,5,25,3,DL,N593NW,1107,ATL,SEA,1935,1934.0,-1.0,0.0,2159,2154.0,-5.0,0.0,0.0
3545,2016,2,5,1,7,DL,N711ZX,440,JFK,ATL,610,607.0,-3.0,0.0,843,853.0,10.0,0.0,0.0
1954,2016,1,3,12,6,DL,N978AT,984,ATL,JFK,2050,2046.0,-4.0,0.0,2319,2251.0,-28.0,0.0,0.0
4840,2016,2,6,16,4,DL,N924AT,87,DTW,MSP,1745,1753.0,8.0,0.0,1852,1840.0,-12.0,0.0,0.0
778,2016,1,1,6,3,DL,N365NB,478,ATL,JFK,1205,1214.0,9.0,0.0,1424,1417.0,-7.0,0.0,0.0
785,2016,1,1,11,1,DL,N381DN,2221,MSP,SEA,1130,1129.0,-1.0,0.0,1322,1310.0,-12.0,0.0,0.0
1855,2016,1,3,7,1,DL,N830DN,1619,ATL,SEA,940,947.0,7.0,0.0,1210,1148.0,-22.0,0.0,0.0
2242,2016,1,3,23,3,DL,N834DN,53,MSP,DTW,1545,1553.0,8.0,0.0,1823,1913.0,50.0,1.0,0.0
2531,2016,1,3,18,5,DL,N947DN,1919,ATL,MSP,2105,2110.0,5.0,0.0,2254,2240.0,-14.0,0.0,0.0
2873,2016,2,4,14,4,DL,N706TW,499,JFK,SEA,700,655.0,-5.0,0.0,1025,954.0,-31.0,0.0,0.0
1769,2016,1,3,3,4,DL,N805DN,2397,MSP,SEA,1115,1115.0,0.0,0.0,1256,1313.0,17.0,1.0,0.0
128,2016,1,1,7,4,DL,N931DN,744,MSP,ATL,1005,1010.0,5.0,0.0,1334,1349.0,15.0,1.0,0.0
4901,2016,2,6,17,5,DL,N583NW,2210,SEA,DTW,2359,2356.0,-3.0,0.0,714,703.0,-11.0,0.0,0.0
2250,2016,1,3,23,3,DL,N329NW,917,MSP,DTW,835,833.0,-2.0,0.0,1116,1104.0,-12.0,0.0,0.0
4405,2016,2,6,3,5,DL,N326NB,2339,DTW,MSP,830,825.0,-5.0,0.0,928,911.0,-17.0,0.0,0.0
4237,2016,2,5,28,6,DL,N375NC,785,MSP,ATL,1300,1259.0,-1.0,0.0,1631,1629.0,-2.0,0.0,0.0
4197,2016,2,5,28,6,DL,N718TW,1109,SEA,JFK,1450,1448.0,-2.0,0.0,2325,2306.0,-19.0,0.0,0.0
605,2016,1,1,26,2,DL,N960DN,945,DTW,ATL,1345,1340.0,-5.0,0.0,1558,1533.0,-25.0,0.0,0.0
3791,2016,2,5,14,6,DL,N699DL,939,MSP,ATL,730,730.0,0.0,0.0,1053,1038.0,-15.0,0.0,0.0
1735,2016,1,3,4,5,DL,N675DL,1888,MSP,ATL,1515,1510.0,-5.0,0.0,1840,1835.0,-5.0,0.0,0.0
1366,2016,1,2,22,1,DL,N6708D,629,ATL,DTW,915,927.0,12.0,0.0,1112,1109.0,-3.0,0.0,0.0
2524,2016,1,3,16,3,DL,N360NB,2468,DTW,MSP,1350,1346.0,-4.0,0.0,1443,1422.0,-21.0,0.0,0.0
4635,2016,2,6,10,5,DL,N948AT,490,JFK,MSP,1105,1058.0,-7.0,0.0,1312,1245.0,-27.0,0.0,0.0
2217,2016,1,3,20,7,DL,N810DN,1598,SEA,ATL,630,631.0,1.0,0.0,1418,1408.0,-10.0,0.0,0.0
1727,2016,1,3,2,3,DL,N964DN,2515,ATL,DTW,1650,1709.0,19.0,1.0,1851,1902.0,11.0,0.0,0.0
3997,2016,2,5,20,5,DL,N696DL,888,MSP,ATL,1620,1620.0,0.0,0.0,1953,1946.0,-7.0,0.0,0.0
1530,2016,1,2,28,7,DL,N974DL,1734,MSP,DTW,1152,1154.0,2.0,0.0,1437,1440.0,3.0,0.0,0.0
174,2016,1,1,9,6,DL,N960DN,2382,ATL,MSP,1930,1956.0,26.0,1.0,2120,2118.0,-2.0,0.0,0.0
3328,2016,2,4,17,7,DL,N911DA,1520,ATL,MSP,2210,2208.0,-2.0,0.0,2352,2330.0,-22.0,0.0,0.0
245,2016,1,1,12,2,DL,N583NW,1403,ATL,SEA,1350,1348.0,-2.0,0.0,1625,1626.0,1.0,0.0,0.0
1750,2016,1,3,5,6,DL,N584NW,1640,DTW,ATL,720,720.0,0.0,0.0,923,925.0,2.0,0.0,0.0
356,2016,1,1,18,1,DL,N590NW,1291,SEA,ATL,830,837.0,7.0,0.0,1614,1559.0,-15.0,0.0,0.0
1303,2016,1,2,19,5,DL,N950DL,1156,ATL,JFK,1740,1752.0,12.0,0.0,2007,2008.0,1.0,0.0,0.0
3120,2016,2,4,24,7,DL,N3732J,822,SEA,DTW,600,554.0,-6.0,0.0,1315,1300.0,-15.0,0.0,0.0
2925,2016,2,4,18,1,DL,N540US,762,ATL,SEA,1650,1709.0,19.0,1.0,1931,1854.0,-37.0,0.0,0.0
4165,2016,2,5,26,4,DL,N6716C,1357,MSP,DTW,1755,1753.0,-2.0,0.0,2040,2027.0,-13.0,0.0,0.0
1626,2016,1,2,2,2,DL,N940DN,780,MSP,DTW,1020,1029.0,9.0,0.0,1305,1303.0,-2.0,0.0,0.0
2604,2016,2,4,5,2,DL,N930DN,2324,DTW,ATL,959,954.0,-5.0,0.0,1204,1136.0,-28.0,0.0,0.0
2008,2016,1,3,13,7,DL,N911DA,325,DTW,ATL,1452,1447.0,-5.0,0.0,1656,1646.0,-10.0,0.0,0.0
2846,2016,2,4,15,5,DL,N994DL,87,DTW,MSP,1725,1724.0,-1.0,0.0,1827,1757.0,-30.0,0.0,0.0
875,2016,1,2,3,3,DL,N3756,589,MSP,SEA,910,919.0,9.0,0.0,1100,1135.0,35.0,1.0,0.0
4133,2016,2,5,25,3,DL,N396DA,1401,SEA,DTW,545,538.0,-7.0,0.0,1317,1242.0,-35.0,0.0,0.0
1567,2016,1,2,24,3,DL,N750AT,2508,SEA,DTW,710,756.0,46.0,1.0,1430,1511.0,41.0,1.0,0.0
2076,2016,1,3,15,2,DL,N815DN,2604,SEA,MSP,1305,1306.0,1.0,0.0,1825,1834.0,9.0,0.0,0.0
2703,2016,2,4,8,5,DL,N587NW,1630,MSP,SEA,920,917.0,-3.0,0.0,1117,1136.0,19.0,1.0,0.0
2718,2016,2,4,11,1,DL,N319NB,842,MSP,DTW,1020,1014.0,-6.0,0.0,1300,1240.0,-20.0,0.0,0.0
1490,2016,1,2,26,5,DL,N750AT,1055,DTW,MSP,1955,1950.0,-5.0,0.0,2103,2046.0,-17.0,0.0,0.0
3849,2016,2,5,15,7,DL,N682DA,303,MSP,DTW,620,616.0,-4.0,0.0,903,842.0,-21.0,0.0,0.0
3525,2016,2,5,5,4,DL,N373DA,87,DTW,MSP,1725,1726.0,1.0,0.0,1825,1803.0,-22.0,0.0,0.0
3333,2016,2,4,23,6,DL,N908DA,1476,MSP,DTW,1405,1358.0,-7.0,0.0,1645,1625.0,-20.0,0.0,0.0
3678,2016,2,5,9,1,DL,N991DL,1448,ATL,DTW,1905,1905.0,0.0,0.0,2107,2100.0,-7.0,0.0,0.0
962,2016,1,2,5,5,DL,N354NW,1173,MSP,DTW,830,826.0,-4.0,0.0,1114,1110.0,-4.0,0.0,0.0
1231,2016,1,2,17,3,DL,N705TW,1473,SEA,JFK,1120,1125.0,5.0,0.0,1938,1914.0,-24.0,0.0,0.0
1526,2016,1,2,28,7,DL,N963DN,1401,DTW,MSP,1000,958.0,-2.0,0.0,1111,1049.0,-22.0,0.0,0.0
1440,2016,1,2,26,5,DL,N723TW,721,ATL,MSP,1635,1630.0,-5.0,0.0,1826,1804.0,-22.0,0.0,0.0
3844,2016,2,5,14,6,DL,N981AT,2369,MSP,JFK,900,900.0,0.0,0.0,1245,1226.0,-19.0,0.0,0.0
3901,2016,2,5,17,2,DL,N582NW,325,DTW,ATL,1505,1503.0,-2.0,0.0,1703,1700.0,-3.0,0.0,0.0
4034,2016,2,5,21,6,DL,N904DE,1915,DTW,ATL,2000,1958.0,-2.0,0.0,2202,2136.0,-26.0,0.0,0.0
3798,2016,2,5,12,4,DL,N822DN,902,ATL,DTW,1455,1455.0,0.0,0.0,1654,1655.0,1.0,0.0,0.0
3378,2016,2,4,2,6,DL,N810DN,902,ATL,DTW,1454,1503.0,9.0,0.0,1650,1647.0,-3.0,0.0,0.0
2822,2016,2,4,13,3,DL,N624AG,499,JFK,SEA,700,700.0,0.0,0.0,1025,956.0,-29.0,0.0,0.0
3351,2016,2,4,29,5,DL,N848DN,2482,SEA,DTW,2345,2345.0,0.0,0.0,656,651.0,-5.0,0.0,0.0
1950,2016,1,3,3,4,DL,N6716C,2005,ATL,DTW,725,722.0,-3.0,0.0,917,911.0,-6.0,0.0,0.0
3556,2016,2,5,6,5,DL,N357NW,630,DTW,ATL,1750,1753.0,3.0,0.0,1953,1938.0,-15.0,0.0,0.0
3204,2016,2,4,26,2,DL,N917DN,2515,ATL,DTW,1620,1616.0,-4.0,0.0,1822,1753.0,-29.0,0.0,0.0
2185,2016,1,3,20,7,DL,N320NB,2032,MSP,JFK,655,654.0,-1.0,0.0,1037,1044.0,7.0,0.0,0.0
3215,2016,2,4,28,4,DL,N366NB,1096,DTW,MSP,1200,1157.0,-3.0,0.0,1257,1232.0,-25.0,0.0,0.0
3946,2016,2,5,19,4,DL,N548US,1337,SEA,DTW,726,720.0,-6.0,0.0,1455,1441.0,-14.0,0.0,0.0
4017,2016,2,5,21,6,DL,N928AT,2802,JFK,MSP,1120,1111.0,-9.0,0.0,1331,1255.0,-36.0,0.0,0.0
779,2016,1,1,6,3,DL,N915DN,557,MSP,DTW,625,619.0,-6.0,0.0,912,857.0,-15.0,0.0,0.0
1789,2016,1,3,4,5,DL,N342NB,2468,DTW,MSP,1350,1349.0,-1.0,0.0,1443,1448.0,5.0,0.0,0.0
1588,2016,1,2,10,3,DL,N1402A,2074,ATL,MSP,1735,1734.0,-1.0,0.0,1925,1915.0,-10.0,0.0,0.0
1773,2016,1,3,3,4,DL,N806NW,2814,SEA,ATL,1442,1437.0,-5.0,0.0,2225,2156.0,-29.0,0.0,0.0
367,2016,1,1,19,2,DL,N318NB,840,MSP,DTW,1951,1946.0,-5.0,0.0,2234,2210.0,-24.0,0.0,0.0
2322,2016,1,3,24,4,DL,N633DL,2835,JFK,SEA,1910,1910.0,0.0,0.0,2231,2159.0,-32.0,0.0,0.0
2164,2016,1,3,18,5,DL,N933DN,856,MSP,ATL,858,855.0,-3.0,0.0,1229,1224.0,-5.0,0.0,0.0
2471,2016,1,3,31,4,DL,N698DL,1453,DTW,MSP,2045,2039.0,-6.0,0.0,2145,2139.0,-6.0,0.0,0.0
2765,2016,2,4,12,2,DL,N341NB,52,DTW,MSP,830,825.0,-5.0,0.0,930,911.0,-19.0,0.0,0.0
4773,2016,2,6,15,3,DL,N984DL,1164,DTW,MSP,829,834.0,5.0,0.0,927,927.0,0.0,0.0,0.0
510,2016,1,1,23,6,DL,N3763D,789,SEA,MSP,1300,1252.0,-8.0,0.0,1822,1752.0,-30.0,0.0,0.0
4178,2016,2,5,26,4,DL,N801DZ,2796,SEA,DTW,1355,1352.0,-3.0,0.0,2130,2058.0,-32.0,0.0,0.0
742,2016,1,1,31,7,DL,N912DN,1715,DTW,ATL,1015,1010.0,-5.0,0.0,1229,1203.0,-26.0,0.0,0.0
4676,2016,2,6,12,7,DL,N176DZ,43,JFK,ATL,1525,1525.0,0.0,0.0,1815,1842.0,27.0,1.0,0.0
2652,2016,2,4,7,4,DL,N956DN,2501,ATL,DTW,1341,1350.0,9.0,0.0,1542,1542.0,0.0,0.0,0.0
1184,2016,1,2,14,7,DL,N356NW,1474,DTW,ATL,1200,1320.0,80.0,1.0,1416,1506.0,50.0,1.0,0.0
1055,2016,1,2,9,2,DL,N385DN,2440,SEA,MSP,35,29.0,-6.0,0.0,550,536.0,-14.0,0.0,0.0
857,2016,1,1,2,6,DL,N596NW,1768,SEA,MSP,819,826.0,7.0,0.0,1335,1331.0,-4.0,0.0,0.0
1753,2016,1,3,5,6,DL,N942AT,433,JFK,MSP,1120,1109.0,-11.0,0.0,1335,1256.0,-39.0,0.0,0.0
3113,2016,2,4,24,7,DL,N814DN,1363,DTW,SEA,1220,1218.0,-2.0,0.0,1425,1413.0,-12.0,0.0,0.0
3074,2016,2,4,22,5,DL,N709TW,2413,SEA,JFK,1127,1136.0,9.0,0.0,1950,1950.0,0.0,0.0,0.0
1346,2016,1,2,21,7,DL,N542US,744,MSP,ATL,1005,1002.0,-3.0,0.0,1335,1321.0,-14.0,0.0,0.0
2563,2016,2,4,4,1,DL,N947DN,1549,MSP,ATL,1735,1739.0,4.0,0.0,2114,2041.0,-33.0,0.0,0.0
2577,2016,2,4,6,3,DL,N841DN,589,MSP,SEA,1120,1118.0,-2.0,0.0,1306,1251.0,-15.0,0.0,0.0
2153,2016,1,3,19,6,DL,N3761R,629,ATL,DTW,910,911.0,1.0,0.0,1104,1050.0,-14.0,0.0,0.0
2631,2016,2,4,8,5,DL,N847DN,1056,SEA,ATL,1205,1201.0,-4.0,0.0,1949,1924.0,-25.0,0.0,0.0
2950,2016,2,4,19,2,DL,N178DZ,420,ATL,JFK,1205,1206.0,1.0,0.0,1430,1413.0,-17.0,0.0,0.0
918,2016,1,2,4,4,DL,N393DA,2287,ATL,MSP,2215,2222.0,7.0,0.0,2357,2351.0,-6.0,0.0,0.0
2804,2016,2,4,13,3,DL,N596NW,1357,MSP,DTW,1750,1752.0,2.0,0.0,2031,2035.0,4.0,0.0,0.0
852,2016,1,1,2,6,DL,N916DE,1357,MSP,DTW,1752,1752.0,0.0,0.0,2033,2032.0,-1.0,0.0,0.0
