flight_id,airline,aircraft_model,manufacture_year,flight_hours,cycles,passengers_capacity,actual_passengers,crew_count,fuel_capacity_gallons,fuel_used_gallons,distance_miles,incident_type,maintenance_score,delay_minutes,revenue_usd
FL00523,Southwest,Boeing 757,2005,26399,8299,180,180,6,25000,17269.7,4665.1,None,79.4,22,297920.65
FL00524,JetBlue,Boeing 757,2010,34557,17563,200,160,7,15000,14250.0,3986.1,None,97.3,-8,172187.94
FL00525,Spirit,Airbus A350,2012,30163,15197,350,259,4,20000,3812.0,2390.5,None,78.0,36,292742.13
FL00526,Hawaiian,Embraer E175,2010,4017,17787,150,50,7,20000,6851.7,1186.1,None,81.9,10,276811.79
FL00527,Spirit,Boeing 777,2017,3036,817,250,107,11,10000,9500.0,1198.8,None,95.2,-10,239925.42
FL00528,JetBlue,Boeing 737,2004,36730,3945,180,142,8,6000,5700.0,928.1,None,97.5,18,164125.01
FL00529,Allegiant,Airbus A330,2012,14606,19888,300,270,6,25000,19389.2,2823.9,None,92.1,10,106087.85
FL00530,Allegiant,Airbus A350,2000,28905,10250,300,260,9,8000,7600.0,4615.8,None,77.6,15,303389.43
FL00531,Spirit,Airbus A320,2013,14418,7379,150,150,6,15000,9429.1,4960.6,None,88.1,50,232277.78
FL00532,Allegiant,Boeing 737,1998,48168,15382,200,200,10,6000,5700.0,1579.0,None,89.3,0,282335.64
FL00533,JetBlue,Airbus A330,2021,26126,14671,200,152,5,6000,5700.0,3547.1,None,82.0,-10,199908.92
FL00534,American,Airbus A320,2007,27772,11384,350,99,11,25000,4162.2,3066.1,None,99.8,30,72575.26
FL00535,Spirit,Boeing 757,2018,38517,18224,150,150,5,15000,14250.0,2546.9,None,83.4,-10,343111.71
FL00536,United,Boeing 787,2008,27381,935,350,137,8,8000,7600.0,3395.7,None,80.3,-10,76217.48
FL00537,Hawaiian,Airbus A320,1997,48542,7784,350,69,9,6000,5700.0,1982.5,None,77.8,6,320265.9
FL00538,Allegiant,Boeing 777,2004,28191,3956,300,63,11,20000,14654.5,4733.5,Bird Strike,84.5,-10,84726.45
FL00539,Allegiant,Boeing 777,2000,38428,4542,350,182,10,20000,9200.9,3586.2,None,92.3,4,140206.06
FL00540,Delta,Boeing 787,1995,48319,9780,350,345,6,15000,7151.7,3820.2,None,80.8,2,162427.95
FL00541,Alaska,Boeing 737,2017,18710,2123,300,83,9,8000,7600.0,1363.6,None,94.2,36,323660.96
FL00542,Spirit,Airbus A330,2018,1179,16746,200,200,4,15000,14250.0,1009.2,None,78.4,-10,312546.52
FL00543,Frontier,Airbus A320,2021,29950,6319,180,180,7,6000,5700.0,2092.8,Ground Incident,86.0,7,290779.03
FL00544,Allegiant,Boeing 777,2008,46851,21751,250,129,6,20000,19000.0,3880.0,None,92.6,-10,141186.17
FL00545,Hawaiian,Boeing 737,2002,20690,17244,350,120,9,10000,9500.0,4706.2,None,78.4,-6,16505.24
FL00546,United,Boeing 787,2013,31051,6891,180,180,4,15000,5150.4,2251.2,None,89.9,19,243330.41
FL00547,Allegiant,Embraer E175,2008,15427,11005,300,127,4,10000,5762.0,3916.0,None,95.0,15,152669.53
FL00548,United,Airbus A350,2004,12855,2082,180,127,10,10000,9500.0,2458.0,None,89.9,12,268614.49
FL00549,JetBlue,Embraer E175,2011,7335,9749,250,221,10,25000,7846.1,1617.1,None,87.8,-10,281275.44
FL00550,JetBlue,Embraer E175,2003,17297,12787,180,180,7,20000,19000.0,3748.5,None,96.0,29,162307.34
FL00551,Alaska,Boeing 777,2023,21573,10812,180,82,4,15000,14250.0,4031.4,None,99.6,-10,265614.36
FL00552,American,Boeing 757,2000,2131,7179,180,180,11,10000,7826.4,1173.6,None,79.5,33,296378.99
FL00553,Frontier,Boeing 757,2005,41382,19139,180,180,8,6000,5700.0,1664.8,None,92.3,-8,326039.5
FL00554,Delta,Boeing 787,2019,41963,8838,150,56,4,25000,11527.6,2574.9,None,77.0,26,210122.54
FL00555,Alaska,Airbus A320,2001,14387,2197,350,209,9,8000,7600.0,1095.3,None,76.1,7,275790.39
FL00556,Southwest,Boeing 757,2011,38779,665,300,289,10,25000,3675.4,4658.4,None,82.0,-10,180679.23
FL00557,Delta,Embraer E175,2022,44563,997,250,73,8,8000,7600.0,3038.4,None,99.3,-2,28957.11
FL00558,Spirit,Boeing 757,2022,32330,5727,300,263,11,20000,16693.7,781.8,None,88.8,39,66999.18
FL00559,Hawaiian,Embraer E175,1995,19137,21085,150,119,10,15000,14250.0,1083.3,Technical,81.7,21,57955.21
FL00560,Southwest,Airbus A330,2016,27152,7916,150,150,11,15000,3054.8,4780.9,None,78.3,-4,72541.47
FL00561,Southwest,Boeing 777,1999,3440,2063,150,150,10,8000,7600.0,3743.2,None,98.0,31,18421.27
FL00562,Alaska,Boeing 777,2003,40744,20131,350,264,10,6000,5700.0,3725.1,None,84.1,11,302666.79
FL00563,American,Airbus A320,2012,48764,16924,150,103,4,8000,7600.0,548.0,None,82.7,38,202650.02
FL00564,Alaska,Boeing 757,2018,45303,20784,180,180,5,8000,7600.0,4497.4,None,96.4,3,143355.25
FL00565,Spirit,Boeing 757,2021,1241,18862,300,252,4,15000,14250.0,2329.9,None,90.1,-1,152275.92
FL00566,Allegiant,Airbus A350,2015,25525,5037,200,200,10,10000,9500.0,3366.6,None,79.2,25,170222.62
FL00567,Allegiant,Boeing 737,1996,19381,8783,250,94,8,6000,5700.0,4806.5,None,85.5,10,39750.97
FL00568,American,Airbus A330,2023,42149,9529,150,150,4,15000,14250.0,680.1,None,98.2,16,107012.91
FL00569,Spirit,Boeing 777,2020,20525,9875,300,265,10,25000,6765.6,2514.9,None,97.5,-10,300294.86
FL00570,American,Airbus A330,2005,34906,21354,150,150,10,8000,7600.0,438.1,None,76.8,28,264131.2
FL00571,United,Boeing 777,2021,32213,2976,350,76,4,10000,9500.0,2597.8,None,81.7,25,203740.86
FL00572,Allegiant,Airbus A330,2022,4370,7332,150,150,4,6000,5700.0,1410.8,None,78.9,32,176035.83
FL00573,Southwest,Boeing 787,2000,42914,15685,150,150,8,20000,14127.6,4573.1,None,88.3,-10,101756.02
FL00574,Frontier,Embraer E175,2020,4783,15897,150,150,11,6000,5700.0,2112.8,None,93.7,-10,172870.41
FL00575,Hawaiian,Boeing 777,2002,49746,20810,150,150,4,6000,4668.9,3242.6,Ground Incident,82.4,-10,215281.52
FL00576,Spirit,Airbus A330,1998,39984,9540,250,250,7,8000,7600.0,4329.4,None,93.9,0,253733.71
FL00577,Delta,Boeing 757,2012,29909,21302,300,218,9,8000,7600.0,4921.7,None,91.7,-10,70824.46
FL00578,American,Boeing 737,2022,34652,7036,350,165,7,20000,19000.0,2618.3,None,93.2,18,287391.94
FL00579,Hawaiian,Boeing 787,2005,3886,6912,150,150,8,20000,19000.0,2387.6,None,98.7,-4,130846.78
FL00580,Delta,Boeing 787,1999,21750,12209,150,150,5,20000,17716.4,563.6,None,85.6,30,183591.46
FL00581,Hawaiian,Boeing 737,2009,28806,4473,150,74,7,15000,14250.0,261.1,None,83.6,47,218647.95
FL00582,Frontier,Airbus A330,2022,9290,10500,150,150,11,15000,14250.0,3122.3,None,92.1,-7,178511.88
FL00583,Delta,Boeing 757,2012,38296,23304,180,149,10,8000,7600.0,514.2,None,95.2,-10,206605.56
FL00584,Alaska,Airbus A320,1996,39549,8209,180,54,9,8000,7600.0,2025.8,None,79.8,20,52360.36
FL00585,JetBlue,Boeing 737,2016,39761,2123,200,68,6,20000,14627.8,217.3,Weather,96.2,7,159772.08
FL00586,Alaska,Airbus A330,2005,29809,22604,150,150,9,15000,14250.0,3153.1,None,76.4,12,108956.6
FL00587,Allegiant,Boeing 737,2020,45529,17135,200,200,7,10000,9500.0,2242.0,None,75.2,32,43818.76
FL00588,JetBlue,Boeing 737,2019,14992,10161,250,250,6,15000,14250.0,809.7,None,79.0,0,79202.49
FL00589,Alaska,Boeing 777,2007,9743,24547,200,170,8,8000,7600.0,1622.6,None,99.5,-10,216818.93
FL00590,JetBlue,Airbus A330,1998,10043,6875,300,81,11,15000,10788.7,2934.4,None,88.1,-10,80889.94
FL00591,JetBlue,Airbus A320,2016,43340,10702,180,180,9,8000,7600.0,3352.2,None,76.2,1,75656.44
FL00592,Southwest,Embraer E175,2001,45860,12504,180,180,5,20000,11624.2,2419.2,None,99.9,-2,200198.19
FL00593,American,Boeing 777,2023,21142,24301,150,86,6,20000,8872.9,4059.0,None,93.6,22,318075.34
FL00594,American,Boeing 737,2005,43994,20698,150,150,6,20000,15804.2,739.7,None,96.0,33,279212.1
FL00595,Southwest,Embraer E175,2016,6969,8018,250,62,9,10000,9500.0,605.8,None,80.3,33,318204.85
FL00596,Hawaiian,Airbus A350,2018,40537,24580,350,232,7,10000,9500.0,412.4,None,77.6,-9,210298.37
FL00597,United,Embraer E175,1998,44406,12566,250,194,6,8000,7600.0,2772.0,None,87.9,-10,152326.4
FL00598,Hawaiian,Boeing 737,2022,42933,14340,300,300,8,6000,5700.0,3589.9,None,94.3,-10,259429.86
FL00599,Delta,Boeing 737,2009,21018,7826,150,137,9,25000,19121.9,826.5,None,90.9,5,102556.95
FL00600,Delta,Boeing 757,1995,28479,8608,150,95,8,10000,9500.0,3266.9,None,90.8,23,41148.08
FL00601,JetBlue,Airbus A330,2017,43039,8769,250,168,9,8000,7600.0,2489.3,None,93.9,-9,130445.96
FL00602,Alaska,Airbus A330,1997,25374,4936,250,68,8,15000,14250.0,4939.3,None,80.7,-10,115244.29
FL00603,Alaska,Boeing 777,2008,17796,20369,250,250,7,20000,16382.9,3643.9,None,91.5,43,241305.54
FL00604,American,Airbus A320,2000,3062,4669,180,180,9,20000,19000.0,3355.9,None,84.8,-9,199706.5
FL00605,Spirit,Boeing 777,2012,13951,21625,200,143,11,20000,17695.1,2938.2,Weather,76.7,3,61318.1
FL00606,Hawaiian,Boeing 787,2019,45847,14006,200,200,10,8000,7317.0,4987.4,None,80.1,-4,319348.9
FL00607,Allegiant,Boeing 737,1995,5396,10395,150,150,5,20000,4500.2,4906.2,None,94.9,-10,213768.55
FL00608,Frontier,Embraer E175,2000,14845,6925,180,180,7,10000,9500.0,2783.0,None,97.4,23,168324.22
FL00609,Alaska,Airbus A350,2000,5830,10150,250,250,8,15000,13732.1,2384.9,None,82.1,-10,328960.3
FL00610,Frontier,Boeing 737,2015,14021,7906,150,95,11,20000,17746.5,2418.2,None,79.8,27,47596.12
FL00611,JetBlue,Boeing 737,2010,32994,5451,180,95,9,8000,7600.0,2256.0,None,75.7,10,279513.63
FL00612,Frontier,Boeing 777,2023,5702,3072,300,63,7,15000,9556.9,2750.7,None,98.7,0,137162.94
FL00613,Allegiant,Airbus A350,1999,17675,11725,350,134,8,20000,8985.4,1513.2,None,92.1,0,247955.57
FL00614,Southwest,Airbus A350,2011,19123,10962,180,52,4,6000,5700.0,4648.6,None,98.9,14,326793.02
FL00615,Allegiant,Airbus A350,2004,45449,5788,150,77,4,20000,8812.4,2553.1,None,96.6,-8,188433.88
FL00616,Frontier,Boeing 777,2022,16097,15176,200,200,6,25000,18008.2,4241.6,None,83.5,9,22584.01
FL00617,Allegiant,Boeing 737,2015,17850,22418,250,224,5,10000,9500.0,2481.5,None,77.8,-10,24664.16
FL00618,United,Boeing 777,2012,42079,1820,350,163,4,15000,14250.0,3647.8,None,87.5,-10,125737.87
FL00619,JetBlue,Airbus A330,2001,22937,12355,300,299,10,10000,5999.0,1817.0,None,75.7,17,276855.5
FL00620,Hawaiian,Airbus A330,1997,15097,10019,350,108,8,6000,5700.0,3199.1,Technical,78.7,54,111567.55
FL00621,Southwest,Boeing 777,2007,39539,12454,350,252,7,6000,5700.0,2592.2,None,80.8,16,127046.98
FL00622,Alaska,Airbus A350,2009,23167,9039,180,180,9,25000,14764.9,1962.1,None,91.6,4,277794.34
FL00623,Delta,Boeing 757,2014,45139,3265,150,150,7,10000,7281.4,4431.5,None,87.7,-3,53923.37
FL00624,Hawaiian,Boeing 737,2013,21023,12030,150,144,6,15000,14250.0,741.0,None,82.6,-2,298682.34
FL00625,Delta,Boeing 777,1997,8976,6744,350,190,11,6000,5700.0,2537.2,None,89.1,-3,104040.49
FL00626,JetBlue,Boeing 777,1998,2987,19410,250,162,7,6000,5700.0,1133.0,None,78.1,9,32159.73
FL00627,Southwest,Boeing 777,1999,42522,20171,150,150,4,20000,7248.0,4333.1,None,93.9,-10,54309.81
FL00628,American,Boeing 757,1995,36954,17186,350,338,7,25000,11148.6,1416.7,None,92.8,-10,334105.89
FL00629,Alaska,Boeing 757,1998,37048,10711,150,146,4,8000,7600.0,3240.5,None,80.4,14,166193.52
FL00630,United,Boeing 787,2006,2941,1442,250,65,4,6000,5700.0,994.7,None,90.2,1,100906.77
FL00631,American,Airbus A330,2022,28856,6839,300,93,5,15000,14250.0,2143.6,None,87.6,-10,189625.77
FL00632,JetBlue,Embraer E175,2021,6140,14435,350,279,6,15000,11272.6,4516.9,None,76.5,-10,243586.13
FL00633,Hawaiian,Airbus A350,2018,10404,17111,200,157,10,20000,18319.7,997.1,None,82.0,-6,121797.47
FL00634,United,Airbus A320,2004,30441,155,200,200,10,15000,7348.5,3383.3,None,100.0,-3,257965.85
FL00635,Allegiant,Boeing 757,2017,4858,11529,350,309,8,20000,10917.7,1181.6,Ground Incident,77.5,33,99504.44
FL00636,Frontier,Embraer E175,2019,17110,21187,180,180,10,6000,3169.2,2195.6,None,87.7,-10,52632.97
FL00637,United,Boeing 757,2015,31758,1996,300,144,4,6000,5700.0,2795.0,None,96.2,20,199152.25
FL00638,JetBlue,Airbus A350,2023,49102,5594,180,105,9,6000,5700.0,2971.1,None,82.5,17,65624.76
FL00639,Spirit,Airbus A320,2020,37882,17529,200,81,6,6000,5700.0,3092.1,None,81.5,1,330062.43
FL00640,Frontier,Boeing 787,2014,1475,13325,250,250,8,8000,7600.0,3272.6,None,97.3,20,15150.42
FL00641,Delta,Boeing 777,2018,34049,7035,350,58,10,25000,19794.6,1504.5,None,82.6,14,268158.19
FL00642,Alaska,Boeing 787,2019,22192,1832,150,150,10,25000,16599.2,2126.6,None,91.3,-10,108623.52
FL00643,Delta,Boeing 757,2007,590,20975,200,200,9,8000,3075.9,379.1,None,93.5,-7,298439.1
FL00644,United,Boeing 787,2017,3829,19691,300,210,7,6000,5700.0,3890.0,None,94.7,13,35150.55
FL00645,Delta,Embraer E175,2008,6074,6263,200,136,6,15000,13371.7,4218.1,None,99.9,-7,334255.2
FL00646,JetBlue,Boeing 737,2017,19780,14535,300,70,9,20000,15992.4,1156.3,Bird Strike,95.1,17,48967.29
FL00647,Allegiant,Boeing 757,1999,18424,15655,300,125,10,25000,4377.4,1166.9,None,91.4,28,278940.72
FL00648,Hawaiian,Boeing 757,1998,31434,4919,350,190,6,10000,9500.0,401.8,None,97.4,4,188309.64
FL00649,Alaska,Embraer E175,2008,21498,17995,300,175,6,20000,14414.3,4857.8,None,97.6,-7,159182.26
FL00650,Delta,Airbus A330,2004,34750,20440,180,180,10,10000,9500.0,4074.5,None,99.3,-9,108852.19
FL00651,Delta,Airbus A320,2011,21392,9917,250,133,7,10000,9133.0,1931.4,None,94.4,-2,296858.79
FL00652,United,Boeing 777,2004,35855,4031,200,97,7,6000,5700.0,2513.2,Bird Strike,79.9,-4,81916.72
FL00653,Hawaiian,Embraer E175,2020,38453,9543,250,127,10,10000,3577.4,1601.4,None,92.7,22,256615.83
FL00654,American,Airbus A320,2001,3259,5732,150,79,6,6000,4358.7,3066.8,None,76.9,-7,164340.2
FL00655,Delta,Airbus A350,2010,32726,5832,200,200,9,8000,7600.0,3643.1,Ground Incident,82.9,1,349495.83
FL00656,JetBlue,Airbus A320,1995,29451,17377,250,185,5,15000,9759.7,2347.4,None,77.9,21,219818.67
FL00657,Spirit,Airbus A350,2011,37398,20984,250,189,4,10000,9500.0,4393.3,None,98.7,-2,49903.52
FL00658,Alaska,Embraer E175,2015,17165,9187,350,90,7,15000,7376.1,2681.7,None,83.5,-4,155539.6
FL00659,Delta,Boeing 757,2023,21738,17034,350,331,10,6000,5700.0,892.4,None,92.8,22,37210.16
FL00660,JetBlue,Boeing 757,2003,1173,13062,150,99,11,10000,4091.9,3187.0,None,89.3,28,110694.64
FL00661,JetBlue,Airbus A330,2000,46611,22810,300,300,5,20000,9307.6,2418.7,None,77.7,6,130011.13
FL00662,Alaska,Embraer E175,2013,18871,1574,200,200,7,8000,7600.0,4691.2,None,89.0,38,300814.16
FL00663,American,Airbus A350,2007,35561,20200,350,183,11,25000,12778.3,2081.1,None,91.5,8,295725.8
FL00664,JetBlue,Airbus A320,1997,42430,16684,200,200,6,8000,7600.0,2133.8,None,97.0,23,18871.67
FL00665,Spirit,Airbus A320,2001,29420,128,150,150,10,10000,9500.0,3323.7,None,76.8,44,193313.34
FL00666,JetBlue,Airbus A350,2016,4440,3173,350,153,5,8000,7600.0,2729.5,None,82.4,-8,89887.16
FL00667,JetBlue,Boeing 787,2003,35024,7114,350,303,10,25000,13575.2,1997.4,None,92.3,-5,122231.19
FL00668,JetBlue,Airbus A330,2016,16284,13118,300,144,9,20000,6996.4,4950.9,None,75.9,21,22253.18
FL00669,Allegiant,Boeing 737,1999,40834,8467,200,200,9,15000,14250.0,1650.5,None,80.1,2,266164.86
FL00670,Allegiant,Boeing 757,2004,2680,13412,200,110,8,20000,15017.6,1532.1,None,80.5,-10,333447.57
FL00671,American,Boeing 777,2017,40125,1259,200,200,4,8000,7034.3,4349.3,None,91.7,-2,88454.46
FL00672,Delta,Airbus A320,2011,29067,5203,300,290,4,25000,19662.3,216.2,None,82.1,-10,129493.91
FL00673,JetBlue,Boeing 777,2006,2259,4948,350,62,7,15000,3721.0,1166.0,None,90.0,5,84155.39
FL00674,Hawaiian,Boeing 737,2017,49040,18612,150,150,4,25000,23633.8,3034.1,None,99.1,8,326566.3
FL00675,Delta,Embraer E175,2010,14000,10921,200,200,10,20000,19000.0,979.8,Bird Strike,94.8,27,18134.25
FL00676,American,Boeing 777,1997,11540,7660,250,138,10,6000,5700.0,4931.9,None,83.3,29,210593.86
FL00677,Southwest,Boeing 737,2019,14778,11127,300,144,8,6000,5337.2,2428.1,None,86.8,-1,306705.93
FL00678,Delta,Boeing 757,2016,47304,15841,180,180,11,15000,7520.7,3067.3,None,80.0,47,77412.9
FL00679,Delta,Airbus A350,2003,12121,2594,150,74,9,15000,8868.1,969.8,None,75.4,-10,212648.42
FL00680,Frontier,Boeing 787,2023,6872,5572,250,250,11,15000,8061.7,1589.0,None,82.2,-10,31967.12
FL00681,United,Boeing 757,2009,1727,2420,200,200,11,6000,5700.0,3150.2,None,84.2,-10,287886.02
FL00682,Frontier,Airbus A320,1999,44532,19715,180,180,5,20000,19000.0,2837.9,None,89.1,-10,106933.76
FL00683,Spirit,Boeing 737,2017,8319,4760,150,136,5,15000,12327.6,3964.9,None,98.6,20,346232.39
FL00684,Allegiant,Boeing 777,2007,23564,378,300,191,9,6000,5700.0,1492.3,None,98.7,39,323873.22
FL00685,Allegiant,Airbus A320,2008,30332,13733,180,180,6,15000,14250.0,3337.0,None,76.8,39,260392.85
FL00686,United,Boeing 787,2014,42581,5629,350,328,9,15000,14250.0,1596.7,Bird Strike,90.4,-10,181442.28
FL00687,Alaska,Airbus A350,2009,8588,20662,180,175,5,25000,3710.2,3016.4,None,76.1,22,271807.35
FL00688,Alaska,Embraer E175,2010,35049,13172,250,190,11,15000,11490.9,3104.1,Bird Strike,91.2,36,58754.03
FL00689,American,Airbus A320,2017,44462,6844,150,150,7,6000,5700.0,784.8,None,77.9,25,118916.88
FL00690,United,Embraer E175,2007,40032,170,250,250,8,20000,19000.0,2833.4,None,98.7,-8,24010.29
FL00691,Delta,Boeing 737,2011,19081,6799,250,112,11,6000,5700.0,257.3,None,96.6,8,231083.25
FL00692,Alaska,Boeing 787,2017,1001,13813,200,200,9,6000,5700.0,2605.8,None,75.6,-10,284855.11
FL00693,JetBlue,Boeing 777,2002,22544,17398,300,300,6,15000,8148.2,3548.1,None,94.6,20,332005.66
FL00694,Hawaiian,Boeing 787,2015,42158,20658,180,180,11,25000,13619.0,549.6,None,90.9,-10,244979.91
FL00695,Delta,Boeing 787,1996,18161,15500,150,89,7,10000,3679.3,4705.8,None,87.4,19,260250.57
FL00696,Spirit,Airbus A330,1999,2981,3725,350,313,9,10000,9500.0,2402.0,None,90.1,-9,314977.69
FL00697,JetBlue,Boeing 787,2000,29963,22128,300,238,7,10000,9500.0,4704.4,None,92.0,12,328686.64
FL00698,JetBlue,Boeing 787,2006,45926,18510,300,57,11,6000,5700.0,715.5,None,97.1,0,179584.68
FL00699,United,Boeing 757,2012,5722,23299,150,150,9,15000,14250.0,4759.5,None,94.2,-2,51778.78
FL00700,American,Airbus A320,2016,1478,5693,300,274,7,10000,9500.0,724.1,Technical,89.4,24,171249.8
FL00701,Spirit,Boeing 777,2016,17732,24958,200,83,10,8000,7600.0,2415.2,None,95.6,36,201284.74
FL00702,Alaska,Boeing 757,1995,28411,11610,300,285,4,8000,7173.5,4702.4,None,99.7,-10,226567.5
FL00703,United,Boeing 757,2011,5750,21683,200,200,7,8000,7600.0,1317.0,Bird Strike,82.5,9,346410.33
FL00704,Alaska,Airbus A320,2005,45301,17750,180,180,10,20000,7081.0,367.0,None,78.0,-10,322383.68
FL00705,United,Airbus A320,2004,42324,17630,180,71,11,15000,6393.8,4006.9,None,93.3,-4,147782.01
FL00706,United,Boeing 737,2013,7136,15433,250,89,4,6000,5700.0,3060.2,None,99.5,-10,53006.98
FL00707,United,Airbus A320,2008,39355,3220,200,200,5,6000,5700.0,2666.8,None,77.9,-10,86955.19
FL00708,American,Airbus A330,2020,22599,405,350,228,4,15000,5607.9,364.8,None,85.8,26,73222.87
FL00709,United,Airbus A330,2004,37116,9768,180,135,7,25000,22700.5,3335.5,None,76.6,7,134264.26
FL00710,Southwest,Boeing 757,2009,4703,78,300,182,8,25000,23291.3,1023.8,None,94.4,-6,308623.91
FL00711,Hawaiian,Embraer E175,2022,27873,14881,150,62,8,20000,19000.0,4669.7,None,98.7,4,161719.45
FL00712,Alaska,Boeing 737,2013,20037,17447,150,77,5,15000,3821.6,3491.5,None,87.5,29,205037.92
FL00713,Delta,Embraer E175,1998,12732,10944,200,133,7,25000,22870.1,3593.8,None,85.2,26,75020.9
FL00714,Frontier,Embraer E175,1996,30707,9069,350,329,4,20000,19000.0,1316.4,None,97.7,16,180104.17
FL00715,Spirit,Boeing 757,2003,26437,12688,250,250,8,10000,9500.0,4427.6,None,78.3,-8,307665.29
FL00716,Allegiant,Airbus A350,2004,320,14939,300,215,9,10000,9500.0,2781.1,None,97.3,7,274110.19
FL00717,American,Boeing 757,2022,47094,2074,200,200,6,20000,17725.8,4314.0,None,84.8,-10,42198.89
FL00718,Delta,Boeing 777,2005,4918,24924,150,117,7,15000,5567.3,1500.5,None,89.0,3,303794.21
FL00719,JetBlue,Boeing 777,2008,7449,5889,200,200,10,10000,9500.0,3826.2,None,88.2,25,106732.41
FL00720,Southwest,Airbus A320,2001,5718,13553,300,219,10,15000,4252.4,2957.9,None,90.4,28,238014.94
FL00721,Allegiant,Airbus A320,2017,27564,22225,350,135,9,25000,9672.3,432.4,None,98.6,-8,64038.27
FL00722,Frontier,Airbus A350,2009,42724,10353,350,182,9,10000,9500.0,2145.6,None,98.8,22,241005.86
FL00723,Delta,Airbus A320,2016,37444,17188,180,180,7,25000,11868.9,1082.8,None,95.8,18,26959.98
FL00724,Allegiant,Boeing 777,2013,18355,20169,300,300,6,15000,5754.3,1924.0,None,79.8,0,216215.97
FL00725,Delta,Embraer E175,2016,24399,17672,180,64,8,15000,14250.0,2040.1,None,83.3,20,231389.96
FL00726,Southwest,Boeing 757,2009,48075,1956,180,180,6,8000,7600.0,2479.7,None,87.2,30,96906.4
FL00727,Frontier,Boeing 787,2022,1562,7449,180,180,5,20000,6927.9,3081.4,None,97.6,22,328886.99
FL00728,JetBlue,Airbus A330,2018,16005,8011,200,156,4,6000,5700.0,2940.7,None,88.0,-10,30400.75
FL00729,United,Boeing 787,2002,25020,21035,150,150,4,20000,11198.9,387.2,None,99.4,-1,313722.62
FL00730,Alaska,Boeing 787,2005,16352,12081,350,138,9,15000,11008.7,3803.3,None,99.6,13,142935.66
FL00731,JetBlue,Boeing 777,2023,41104,15178,200,174,8,15000,8516.7,4756.1,None,90.0,-10,254161.44
FL00732,United,Boeing 787,2003,40681,15713,150,150,6,20000,3938.9,1873.7,None,96.9,36,233268.72
FL00733,American,Boeing 757,2009,34936,1510,350,186,9,15000,8628.2,1062.8,None,100.0,11,71362.48
FL00734,Hawaiian,Airbus A350,1995,5853,15732,300,296,7,25000,4129.3,2792.0,None,96.2,-4,121864.76
FL00735,Spirit,Boeing 737,1995,40105,24103,350,215,9,10000,9500.0,3583.6,None,91.4,-5,192440.62
FL00736,Spirit,Airbus A320,2013,14275,15243,350,199,7,15000,14250.0,3458.7,None,96.1,-9,298580.94
FL00737,Alaska,Boeing 737,1997,6291,17850,350,117,7,20000,19000.0,3138.1,None,77.1,19,334878.13
FL00738,Frontier,Embraer E175,2004,17998,11095,250,250,5,20000,18063.1,901.9,None,90.9,21,21896.52
FL00739,Southwest,Boeing 757,2002,19082,7816,300,300,5,20000,5757.0,4216.8,None,80.4,-8,133107.02
FL00740,Frontier,Boeing 757,2009,14722,17862,200,69,7,8000,7600.0,2243.0,Ground Incident,77.9,34,238828.21
FL00741,Southwest,Airbus A330,2004,1101,4428,200,200,11,25000,21897.8,1263.0,None,97.3,-3,191789.36
FL00742,Frontier,Boeing 757,1995,47745,7579,150,149,8,25000,10309.6,614.1,Technical,91.0,-10,330912.41
FL00743,Hawaiian,Airbus A320,2023,43100,20908,200,200,5,8000,5342.2,2200.3,None,81.1,15,20684.76
FL00744,American,Boeing 757,2012,23383,3121,180,126,5,25000,17787.2,3166.3,None,84.7,-10,161642.7
FL00745,American,Boeing 787,1996,21535,16989,350,184,4,8000,7600.0,3393.8,None,99.3,-10,239049.29
FL00746,United,Airbus A330,2013,27323,24981,200,200,9,25000,21833.4,4821.1,None,96.6,-10,87890.54
FL00747,Allegiant,Airbus A320,2007,37344,17997,150,150,4,8000,4105.8,935.1,None,75.4,-10,258166.91
FL00748,American,Airbus A350,2016,30124,11742,150,150,8,8000,5975.8,4931.7,None,99.5,20,42211.59
FL00749,American,Airbus A350,1995,49730,1090,180,180,5,25000,15563.2,3342.4,Bird Strike,84.2,-10,166097.91
FL00750,JetBlue,Airbus A350,1996,30834,2736,150,123,10,8000,7600.0,2380.3,None,92.4,12,241538.71
FL00751,JetBlue,Airbus A350,2023,615,12716,250,60,11,25000,3705.8,4463.3,None,92.8,22,104363.64
FL00752,United,Boeing 787,2010,45346,2603,350,336,5,8000,7600.0,3533.5,None,97.8,34,39738.55
FL00753,Allegiant,Boeing 757,2009,1291,1829,350,305,6,20000,15267.4,1873.8,None,97.1,-5,335602.24
FL00754,Alaska,Boeing 737,2007,32364,13236,350,61,8,6000,5700.0,4443.6,None,82.0,-3,321130.71
FL00755,JetBlue,Airbus A320,2010,43728,16509,300,127,10,25000,9639.2,3399.8,None,91.1,46,325333.92
FL00756,Alaska,Boeing 787,2011,46316,20760,200,200,9,8000,7600.0,3554.4,None,84.8,32,342798.3
FL00757,Delta,Airbus A350,2015,6397,22269,250,145,9,20000,19000.0,4502.7,None,88.1,0,76873.85
FL00758,JetBlue,Embraer E175,2023,27956,5107,200,200,10,6000,5700.0,2352.4,None,88.9,28,67854.96
FL00759,Hawaiian,Boeing 757,2023,49523,18783,250,228,9,8000,7600.0,3353.1,None,84.9,10,26461.89
FL00760,Allegiant,Boeing 737,2001,8434,19207,200,113,11,6000,5700.0,3774.5,Technical,86.6,5,313760.63
