Origin,Destination,Marketing_Airline,Operating_Airline,Flight_Duration,Distance
FMO,NUE,LH,IQ,75,199.0
DCA,YYZ,AC,AC,89,313.0
BHX,EDI,JY,JY,60,223.0
MAD,ZAZ,IB,YW,55,140.0
BYU,HOQ,LH,IQ,15,
BHX,GLA,JY,JY,60,223.0
RIX,KBP,BT,BT,135,470.0
LPI,CPH,JZ,JZ,70,198.0
HAM,LEJ,LH,IQ,60,156.0
HAM,FRA,LH,LH,75,228.0
LYP,PEW,PK,PK,60,178.0
EAS,BCN,IB,3D,70,217.0
YUL,YUY,AC,QK,95,265.0
CPQ,CWB,SL,SL,45,198.0
YUL,CLE,CO,CO,110,429.0
BRU,BHX,BD,BD,70,256.0
MEM,EWR,CO,CO,165,826.0
MAD,REU,IB,YW,80,226.0
BRU,EMA,BD,JZ,70,253.0
BRU,EMA,BD,BD,70,253.0
LAX,HNL,PR,PR,365,2222.0
BHX,BFS,BA,VB,60,206.0
CHC,SIN,SQ,SQ,630,4559.0
HAM,BHX,BA,VB,90,437.0
MAD,TLS,IB,YW,105,295.0
HAM,AGB,IQ,IQ,100,320.0
MLA,FRA,LH,LH,170,895.0
BYU,HOQ,LH,IQ,20,
GRZ,MUC,VO,VO,60,170.0
GRZ,SZG,VO,VO,35,111.0
DCA,BNA,US,YV,110,492.0
BIO,LCG,IB,YW,75,241.0
BHX,BRU,BD,BD,70,256.0
GRZ,MUC,VO,VO,55,170.0
AMS,LYS,AF,VM,100,398.0
HAM,FDH,LH,WE,85,368.0
BHX,ORK,JY,JY,95,249.0
EAS,BCN,IB,YW,80,217.0
YUL,YOW,AC,AC,38,78.0
BRU,MAD,IB,IB,135,715.0
DCA,HSV,US,YV,107,535.0
BHX,DUS,LH,C9,80,328.0
CPQ,SDU,SL,SL,51,220.0
AMS,LOS,B3,B3,405,2765.0
LYP,KHI,PK,PK,100,500.0
MAD,GRO,IB,YW,90,308.0
AMS,EMA,BD,BD,70,234.0
BHX,ORK,JY,JY,95,249.0
HAM,TXL,LH,WE,55,139.0
FMO,STR,LH,WE,70,214.0
BHX,GLA,JY,JY,60,223.0
BLL,FRA,DM,DM,75,345.0
MAD,ZAZ,IB,YW,55,140.0
PPB,CGH,P8,P8,97,278.0
GRZ,LNZ,VO,VO,35,88.0
DCA,YUL,AC,AC,96,426.0
MAD,BRU,IB,IB,135,715.0
RVD,UBA,P8,P8,60,209.0
CPQ,SDU,SL,SL,51,220.0
MPL,TLS,AF,DB,25,117.0
MAD,PNA,IB,YW,65,163.0
HAM,FRA,LH,LH,75,228.0
STL,EWR,CO,CO,155,756.0
AMS,ABV,B3,B3,405,2626.0
MAD,TNG,AT,IB,105,303.0
PAD,FRA,LH,IQ,55,100.0
BRU,DJE,TU,TU,180,1063.0
TVC,ORD,AA,MQ,60,194.0
HAM,LEJ,LH,IQ,60,156.0
HAM,DRS,LH,IQ,70,209.0
HAM,DRS,LH,IQ,70,209.0
FMO,LCY,LH,IQ,100,285.0
BIO,VGO,IB,YW,95,260.0
YAM,YYZ,AC,GX,85,279.0
BHX,GLA,JY,JY,60,223.0
LYP,KHI,PK,PK,100,500.0
MAD,VIT,IB,YW,65,157.0
CAY,OYP,GG,GG,25,
JNB,GRJ,SA,YB,115,564.0
JNB,ERS,SA,YB,120,652.0
MVS,GVR,P8,P8,45,
CFE,BIQ,VM,VM,60,247.0
LNZ,GRZ,VO,VO,30,88.0
CFE,NTE,VM,VM,60,218.0
CGK,SIN,SQ,SQ,90,484.0
PLU,IPN,JH,JH,29,84.0
ELS,DUR,SA,YB,75,264.0
PLZ,CPT,SA,YB,75,355.0
ALH,PER,AN,OO,65,203.0
PER,ALH,AN,OO,65,203.0
JKG,ARN,JZ,F3,55,167.0
PER,GET,AN,OO,65,205.0
ELS,JNB,SA,YB,85,419.0
PLU,SDU,SL,SL,45,189.0
TSA,TXG,AE,AE,35,75.0
TSA,TXG,AE,AE,35,75.0
ATH,JMK,OA,OA,45,75.0
PLU,SDU,SL,SL,45,189.0
BAH,DOH,PK,PK,45,81.0
FDH,TXL,LH,WE,95,335.0
TUL,LAS,DL,OH,170,933.0
FDH,HAM,LH,WE,80,368.0
LNZ,DUS,VO,VO,80,347.0
LNZ,BRU,VO,VO,75,413.0
TSA,TXG,AE,AE,35,75.0
CFE,RNS,VM,VM,65,250.0
ATH,FRA,LH,LH,190,988.0
ROC,EWR,CO,CO,85,211.0
ORY,BZR,AF,DB,75,332.0
MST,MUC,KL,XT,70,283.0
SZG,LNZ,VO,VO,20,52.0
SZG,ZRH,SR,LX,65,178.0
ADD,DIR,ET,ET,60,177.0
EGS,RKV,FI,FI,60,205.0
MYR,CVG,DL,OH,100,425.0
LNZ,VIE,VO,VO,50,95.0
ANR,LCY,VG,VG,60,168.0
FDH,CGN,LH,WE,70,222.0
KSU,MOL,BU,BU,20,29.0
FDH,CGN,LH,WE,70,222.0
PLU,SDU,SL,SL,45,189.0
PLU,SDU,SL,SL,45,189.0
ORY,BVE,IJ,IJ,80,218.0
ELS,JNB,SA,YB,85,419.0
CFE,NCE,VM,VM,65,212.0
PLU,SDU,SL,SL,45,189.0
CFE,BOD,VM,VM,50,178.0
PLU,SDU,SL,SL,43,189.0
LNZ,GRZ,VO,VO,35,88.0
MYR,RDU,JI,JI,45,131.0
ELS,DUR,SA,YB,75,264.0
LNZ,ZRH,VO,VO,55,227.0
ANR,LCY,VG,VG,60,168.0
LNZ,SZG,VO,VO,30,52.0
TUL,CVG,DL,OH,110,562.0
ELS,JNB,SA,YB,85,419.0
LNZ,DUS,VO,VO,80,347.0
KRF,ARN,JZ,JZ,65,206.0
KRF,ARN,JZ,JZ,65,206.0
BNA,DCA,US,YV,99,492.0
PLZ,DUR,SA,YB,105,382.0
FOR,NAT,JH,JH,83,216.0
FOR,JDO,JH,JH,75,209.0
SIP,IEV,UR,UR,130,359.0
ELS,DUR,SA,YB,75,264.0
OYP,CAY,GG,GG,25,
GCI,BHX,JY,JY,70,185.0
LCY,JER,JY,JY,70,162.0
BED,LGA,S5,S5,75,153.0
BED,TTN,S5,S5,80,206.0
BED,BUF,S5,S5,105,
SAQ,ASD,UP,UP,15,
PUU,NVA,4C,4C,50,162.0
SCN,HAM,LH,C9,90,292.0
NTE,BES,AF,DB,35,139.0
BCN,VLC,IB,YW,60,171.0
KRP,CPH,QI,QI,45,128.0
BCN,IBZ,IB,YW,60,154.0
YYZ,YQG,AC,GX,67,172.0
IAH,DAL,CO,CO,65,193.0
YYZ,YQG,AC,GX,65,172.0
NTE,LEH,VM,VM,45,161.0
IOM,BHD,JY,JY,35,53.0
HOQ,FRA,LH,IQ,55,128.0
KRP,CPH,QI,QI,50,128.0
BCN,SDR,IB,YW,105,300.0
CMH,PHL,HP,YV,86,354.0
YYZ,YAM,AC,GX,95,279.0
HOQ,BYU,LH,IQ,20,
CLT,CLE,CO,CO,100,383.0
EXT,GCI,JY,JY,40,84.0
BGO,ARN,JZ,JZ,110,383.0
IAH,GSP,CO,CO,140,726.0
KRP,CPH,QI,QI,50,128.0
THF,OSL,WF,WF,135,479.0
KRP,CPH,QI,QI,50,128.0
CLT,CVG,DL,OH,90,298.0
NWI,ABZ,9C,9C,95,299.0
IAH,PNS,CO,CO,90,425.0
NTE,MRS,AF,DB,75,374.0
YYZ,YXU,AC,GX,42,73.0
AJR,SQO,JZ,JZ,25,
YYB,YYZ,AC,GX,65,170.0
KLR,ARN,SK,SK,60,192.0
KRP,CPH,QI,QI,45,128.0
CMH,PHL,HP,YV,75,354.0
NTE,TLS,IJ,FU,65,251.0
TUC,COR,A4,A4,55,277.0
MOB,IAH,CO,CO,95,368.0
MCO,BHM,DL,OH,90,416.0
CGH,BSB,JH,JH,98,476.0
THF,LUX,LG,LG,100,316.0
CLT,IAH,CO,CO,160,794.0
BGO,HAU,BU,BU,30,57.0
BGO,SVG,WF,WF,35,87.0
IOM,LCY,JY,JY,80,232.0
BKI,BTU,MH,MH,75,246.0
TUC,COR,A4,A4,55,277.0
BCN,LYS,AF,DB,75,296.0
CMH,BOS,AA,MQ,120,558.0
CPV,REC,JH,JH,35,79.0
NTE,TLS,AF,DB,55,251.0
NTE,TLS,IJ,FU,65,251.0
BGO,TRF,WF,WF,55,169.0
DMM,KHI,PK,PK,145,948.0
LBA,BHD,JY,JY,65,152.0
KRP,CPH,QI,QI,50,128.0
CLT,CLE,CO,CO,95,383.0
LJU,BRU,JP,JP,105,487.0
BCN,VLL,IB,YW,115,318.0
YYZ,YSB,AC,GX,68,191.0
YYZ,YQG,AC,GX,68,172.0
CLT,EWR,CO,CO,115,464.0
LJU,SJJ,JP,JP,55,221.0
KRP,CPH,QI,QI,50,128.0
NTE,TLS,IJ,FU,65,251.0
IAH,ICT,CO,CO,105,474.0
NCL,BHD,9C,9C,60,146.0
NCL,BHD,9C,9C,60,146.0
BCN,EAS,IB,YW,90,217.0
BGO,TRF,WF,WF,55,169.0
LDB,CWB,SL,SL,41,171.0
TPA,RIC,CO,CO,122,631.0
LBA,LCY,JY,JY,70,156.0
CGH,RAO,SL,SL,51,165.0
LJU,MUC,JP,JP,60,169.0
EXT,DUB,JY,JY,75,195.0
YYZ,YXU,AC,GX,40,73.0
IAH,DAL,CO,CO,65,193.0
YYZ,YQG,AC,GX,66,172.0
IOM,LCY,JY,JY,75,232.0
BKI,SBW,MH,MH,95,330.0
BGO,MOL,BU,BU,60,161.0
IST,FRA,LH,LH,195,996.0
LBA,BHD,JY,JY,65,152.0
LJU,ZRH,JP,JP,75,253.0
CGH,GVR,P8,P8,114,388.0
CLO,IPI,4C,4C,50,177.0
BGO,KSU,BU,BU,65,189.0
SCN,LUX,LG,LG,25,47.0
NTE,SXB,AF,DB,75,387.0
NTE,LYS,AF,DB,70,298.0
HOQ,BYU,LH,IQ,15,
IAH,DAL,CO,CO,60,193.0
KCH,BTU,MH,MH,60,191.0
IAH,CLT,CO,CO,145,794.0
NTE,LEH,VM,VM,45,161.0
DMM,LHE,PK,PK,200,1329.0
IAH,CVG,CO,CO,145,764.0
BKI,LDU,MH,MH,55,153.0
YYZ,YXU,AC,GX,40,73.0
KRP,CPH,QI,QI,50,128.0
CGH,UBA,P8,P8,83,243.0
THF,AGB,IQ,IQ,85,256.0
LHR,RTM,KL,WA,75,190.0
LBA,CDG,BD,BD,85,334.0
BKI,LDU,MH,MH,55,153.0
BCN,LYS,IB,YW,75,296.0
IAH,OKC,CO,CO,85,347.0
IAH,MAF,CO,CO,90,372.0
IAH,BHM,CO,CO,105,489.0
CGH,PPB,P8,P8,95,278.0
NTE,MRS,FU,FU,80,374.0
THF,LUX,LG,LG,100,316.0
CGH,CCM,SL,SL,65,343.0
NTE,BES,AF,DB,35,139.0
IAH,DAL,CO,CO,65,193.0
SCN,MUC,LG,LG,65,189.0
MAF,IAH,CO,CO,90,372.0
KCH,BTU,MH,MH,60,191.0
CMH,LGA,US,13,100,416.0
BGO,ARN,JZ,JZ,110,383.0
NTE,CFE,VM,VM,60,218.0
BGO,SVG,WF,WF,35,87.0
BGO,SVG,WF,WF,35,87.0
IAH,LBB,CO,CO,95,402.0
IOM,LCY,JY,JY,80,232.0
JMK,ATH,OA,OA,45,75.0
VNO,VIE,OS,NG,105,509.0
BNX,VIE,VO,VO,90,196.0
IOM,BRS,JY,JY,65,170.0
EXT,JER,JY,JY,45,99.0
IAH,DAL,CO,CO,65,193.0
NCL,BHD,9C,9C,60,146.0
BCN,EAS,IB,3D,80,217.0
YYZ,CLE,AC,AC,60,167.0
KLR,ARN,SK,SK,60,192.0
BCN,VIT,IB,YW,90,242.0
IOM,BHD,JY,JY,35,53.0
IAH,DAL,CO,CO,65,193.0
BGO,SVG,WF,WF,35,87.0
YYZ,MKE,AC,AC,96,369.0
YYZ,YQG,AC,GX,70,172.0
NTE,SXB,AF,DB,75,387.0
BGO,TRF,WF,WF,55,169.0
SCN,LUX,LG,LG,25,47.0
BGO,TRF,WF,WF,55,169.0
CGH,LDB,SL,SL,61,250.0
IAH,MEM,CO,CO,95,408.0
IAH,TRC,CO,CO,120,511.0
YYZ,YXU,AC,GX,43,73.0
IOM,BHD,JY,JY,35,53.0
NTE,LGW,AF,DB,65,251.0
IOM,LCY,JY,JY,75,232.0
SCN,MUC,LG,LG,65,189.0
YYZ,YXU,AC,GX,44,73.0
IAH,LFT,CO,CO,72,174.0
IAH,HSV,CO,CO,110,515.0
LBA,LCY,JY,JY,65,156.0
LBA,CDG,BD,BD,85,334.0
THF,MHG,LH,C9,90,253.0
YYZ,YAM,AC,GX,95,279.0
BGO,TRF,WF,WF,55,169.0
TUC,COR,A4,A4,55,277.0
BCN,SDR,IB,YW,105,300.0
SQO,AJR,JZ,JZ,20,
VIE,OSL,VO,VO,145,755.0
VIE,CGN,VO,OS,90,403.0
VXO,ARN,SK,SK,55,192.0
VIE,ACH,WE,WE,65,284.0
EWR,PIT,CO,CO,105,282.0
PRG,VIE,OS,VO,65,145.0
AUH,LHE,PK,PK,175,1132.0
FRA,BYU,LH,IQ,45,119.0
TLS,MRS,IJ,FU,50,174.0
CLE,GRR,CO,CO,65,184.0
TLV,TAS,LY,LY,300,1743.0
VIE,LNZ,VO,VO,45,95.0
CLE,CLT,CO,CO,91,383.0
VIE,VNO,OS,NG,105,509.0
FRA,BYU,LH,IQ,45,119.0
FRA,BLL,DM,DM,80,345.0
EWR,MKE,CO,CO,160,633.0
TLS,LIL,AF,YS,100,432.0
VIE,KLU,VO,VO,50,126.0
TLS,NCE,FU,FU,60,255.0
VIE,GRZ,VO,VO,45,82.0
FRA,MUC,LH,LH,55,163.0
YSB,YYZ,AC,GX,65,191.0
TLL,RIX,BT,BT,55,157.0
EMA,BRU,BD,JZ,75,253.0
BTR,IAH,CO,CO,65,222.0
AUH,PEW,PK,PK,175,1052.0
DAL,IAH,CO,CO,65,193.0
FRA,BHX,BD,BD,100,421.0
VIE,PRG,OS,VO,65,145.0
DAL,IAH,CO,CO,65,193.0
TLV,ETH,6H,6H,55,149.0
GVR,MVS,P8,P8,50,
FRA,CDG,LH,LH,70,239.0
TLS,MRS,IJ,FU,50,174.0
VXO,ARN,SK,SK,55,192.0
EWR,YOW,CO,CO,100,284.0
CLE,YYZ,AC,AC,60,167.0
DAL,CLE,CO,CO,165,880.0
VIE,KLU,VO,VO,40,126.0
EWR,PIT,CO,CO,105,282.0
TLV,TAS,LY,LY,300,1743.0
MOL,TRD,BU,BU,40,107.0
FRA,LIS,LH,LH,175,1014.0
WVB,JNB,SA,YB,145,764.0
EMA,BRU,BD,JZ,70,253.0
ABV,AMS,B3,B3,395,2626.0
BIQ,LYS,AF,YS,70,323.0
FRA,TXL,LH,LH,65,238.0
DRS,HAM,LH,IQ,70,209.0
DRS,HAM,LH,IQ,70,209.0
EMA,DUB,BD,BD,55,178.0
VIE,CGN,VO,OS,80,403.0
EWR,CVG,CO,CO,140,493.0
OVD,BCN,IB,YW,120,390.0
CLE,PVD,CO,CO,110,469.0
EMA,EDI,BD,BD,55,201.0
POS,GEO,C2,C2,65,307.0
SYD,MEL,AN,AN,80,381.0
CHC,AKL,NZ,NZ,80,405.0
CHC,AKL,NZ,NZ,80,405.0
CHC,AKL,NZ,NZ,80,405.0
BOS,PIT,US,US,112,434.0
UIO,PTY,CO,CO,107,569.0
PPT,RAR,NZ,NZ,115,612.0
ABQ,IAH,CO,CO,121,649.0
ATL,EWR,CO,CO,141,656.0
EWR,ATL,CO,CO,152,656.0
ORD,IAH,CO,CO,153,811.0
DRW,DPS,GA,GA,155,955.0
CWB,POA,JJ,JJ,60,288.0
CWB,CGH,KK,KK,47,180.0
LGA,IAH,CO,CO,235,1233.0
BPS,PLU,KK,KK,80,339.0
BPS,SSA,KK,KK,45,215.0
LGA,CLT,US,US,124,476.0
IAH,SJC,CO,CO,253,1401.0
IAH,ABQ,CO,CO,133,649.0
POS,GEO,C2,C2,65,307.0
POS,BGI,C2,C2,45,180.0
IAH,ORD,CO,CO,144,811.0
IAH,DFW,CO,CO,76,200.0
CGH,CWB,KK,KK,44,180.0
BWI,BOS,US,US,82,323.0
DPS,DRW,GA,GA,160,955.0
CGH,PLU,KK,KK,61,280.0
GEO,POS,C2,C2,65,307.0
APW,AKL,NZ,NZ,240,1573.0
APW,AKL,NZ,NZ,240,1573.0
EWR,SEA,CO,CO,377,2088.0
SYD,AKL,NZ,NZ,180,1167.0
PPT,AKL,NZ,NZ,345,2210.0
RIC,PHL,US,US,58,172.0
HNL,NAN,NZ,NZ,400,2775.0
RAR,AKL,NZ,NZ,255,1633.0
NAN,HNL,NZ,NZ,1825,2775.0
TBU,HNL,NZ,NZ,385,2774.0
NAN,AKL,NZ,NZ,185,1177.0
BNE,AKL,NZ,NZ,190,1246.0
LAX,PPT,NZ,NZ,555,3601.0
CNS,AKL,NZ,NZ,280,1968.0
PPT,LAX,NZ,NZ,525,3601.0
PPT,AKL,NZ,NZ,345,2210.0
HKG,MEL,AN,AN,550,4035.0
MEL,HKG,AN,AN,555,4035.0
EWR,PVD,CO,CO,73,134.0
EWR,ATL,CO,CO,145,656.0
MSP,PHX,HP,HP,200,1119.0
TBU,AKL,NZ,NZ,175,1088.0
SJU,CLE,CO,CO,282,1616.0
SFO,BWI,US,US,305,2135.0
CLE,SJU,CO,CO,263,1616.0
CLE,MCO,CO,CO,143,784.0
MEL,SYD,AN,AN,80,381.0
NAN,HNL,NZ,NZ,385,2775.0
NAN,RAR,NZ,NZ,1635,1299.0
NAN,AKL,NZ,NZ,185,1177.0
SYD,AKL,NZ,NZ,180,1167.0
RAR,LAX,NZ,NZ,570,4094.0
RAR,NAN,NZ,NZ,205,1299.0
HNL,TBU,NZ,NZ,395,2774.0
HNL,LAX,NZ,NZ,325,2222.0
PHL,RIC,US,US,66,172.0
RAR,PPT,NZ,NZ,105,612.0
HNL,LAX,NZ,NZ,325,2222.0
ATL,EWR,CO,CO,139,656.0
POA,CWB,JJ,JJ,60,288.0
LAX,APW,NZ,NZ,625,4213.0
LAX,HNL,NZ,NZ,360,2222.0
DCA,EWR,CO,CO,65,177.0
CHC,AKL,NZ,NZ,80,405.0
CHC,AKL,NZ,NZ,80,405.0
CHC,AKL,NZ,NZ,80,405.0
LAX,PPT,NZ,NZ,555,3601.0
CHC,AKL,NZ,NZ,80,405.0
BGI,POS,C2,C2,45,180.0
LAX,PPT,NZ,NZ,555,3601.0
CNS,AKL,NZ,NZ,280,1968.0
LAX,HNL,NZ,NZ,360,2222.0
AKL,TPE,NZ,NZ,690,4833.0
TPE,AKL,NZ,NZ,670,4833.0
TPE,AKL,NZ,NZ,670,4833.0
AKL,KIX,NZ,NZ,685,4860.0
SSA,BPS,KK,KK,45,215.0
PLU,BPS,KK,KK,78,339.0
AKL,SYD,NZ,NZ,210,1167.0
PTY,UIO,CO,CO,107,569.0
AKL,KIX,NZ,NZ,685,4860.0
AKL,KIX,NZ,NZ,685,4860.0
AKL,PPT,NZ,NZ,1744,2210.0
AKL,TPE,NZ,NZ,690,4833.0
AKL,CNS,NZ,NZ,315,1968.0
AKL,SYD,NZ,NZ,210,1167.0
AKL,RAR,NZ,NZ,1670,1633.0
PLU,CGH,KK,KK,63,280.0
AKL,KIX,NZ,NZ,685,4860.0
AKL,NAN,NZ,NZ,185,1177.0
PER,DPS,GA,GA,220,1404.0
AKL,TBU,NZ,NZ,170,1088.0
AKL,RAR,NZ,NZ,1670,1633.0
AKL,BNE,NZ,NZ,220,1246.0
AKL,NAN,NZ,NZ,185,1177.0
AKL,KIX,NZ,NZ,685,4860.0
AKL,KIX,NZ,NZ,685,4860.0
AKL,KIX,NZ,NZ,685,4860.0
AKL,NAN,NZ,NZ,185,1177.0
TUL,IAH,CO,CO,91,381.0
AKL,CNS,NZ,NZ,315,1968.0
AKL,SYD,NZ,NZ,210,1167.0
AKL,APW,NZ,NZ,1670,1573.0
KIX,CHC,NZ,NZ,695,5139.0
KIX,AKL,NZ,NZ,650,4860.0
KIX,CHC,NZ,NZ,695,5139.0
KIX,CHC,NZ,NZ,695,5139.0
KIX,CHC,NZ,NZ,695,5139.0
KTM,CCU,IC,IC,80,356.0
BKK,HKT,TG,TG,80,370.0
HKT,BKK,TG,TG,85,370.0
HKT,BKK,TG,TG,85,370.0
HKT,BKK,TG,TG,85,370.0
BKK,CEI,TG,TG,80,376.0
CEI,BKK,TG,TG,75,376.0
BKK,SIN,TG,TG,140,772.0
BKK,HKG,TG,TG,170,914.0
MIA,DFW,AA,AA,192,975.0
HKG,SEL,TG,TG,190,1136.0
BKK,MNL,TG,TG,190,1177.0
KIX,MNL,TG,TG,250,1434.0
SIN,BKK,TG,TG,135,772.0
MNL,KIX,TG,TG,215,1434.0
MNL,BKK,TG,TG,195,1177.0
LHR,ORD,AA,AA,525,3434.0
MIA,LHR,AA,AA,505,3849.0
FDH,FRA,LH,LH,60,152.0
MUC,MXP,LH,LH,80,202.0
ZRH,DUS,SR,LX,75,242.0
MUC,GVA,LH,LH,70,262.0
MUC,FMO,LH,LH,80,277.0
MUC,GVA,LH,LH,70,262.0
CPH,ZRH,SR,LX,120,508.0
MXP,ZRH,SR,LX,60,112.0
SOF,ZRH,SR,LX,150,689.0
ZRH,SOF,SR,LX,140,689.0
ZRH,MXP,SR,LX,50,112.0
DUS,ZRH,SR,LX,80,242.0
AKL,APW,PH,PH,1670,1573.0
FDH,FRA,LH,LH,60,152.0
APW,AKL,PH,PH,250,1573.0
MXP,SEZ,HM,HM,520,3944.0
MXP,MUC,LH,LH,70,202.0
SEZ,MXP,HM,HM,575,3944.0
SEZ,MRU,HM,HM,155,966.0
FRA,SEZ,HM,HM,565,4110.0
FRA,BSL,LH,LH,55,147.0
SEZ,FRA,HM,HM,610,4110.0
FMO,MUC,LH,LH,70,277.0
MRU,SEZ,HM,HM,150,966.0
SEZ,CDG,HM,HM,630,4263.0
FMO,FRA,LH,LH,60,129.0
YCD,YVR,8P,8P,20,30.0
YVR,YYJ,8P,8P,25,34.0
MCY,BNE,QF,QF,30,53.0
BCN,PMI,EA,EA,40,115.0
YQQ,YVR,8P,8P,35,75.0
DLC,TAO,SC,SC,80,163.0
BFS,ABZ,BA,TH,60,204.0
BRU,SOU,BA,TH,70,224.0
DLC,TNA,SC,SC,90,234.0
VIT,BCN,EA,EA,50,242.0
BRS,CDG,BA,BA,75,256.0
LUX,GVA,LG,LG,55,208.0
GLA,BRS,BA,BA,75,269.0
BFS,MAN,BA,TH,60,159.0
GLA,BHX,BA,BA,70,223.0
CWL,CDG,BA,TH,75,278.0
CWL,BFS,BA,TH,60,217.0
TRN,LUX,LG,LG,70,280.0
MCY,BNE,QF,QF,30,53.0
CWL,BRU,BA,TH,75,303.0
BGY,LUX,LG,LG,70,281.0
MUB,GBE,BP,BP,90,305.0
GLA,SOU,BA,TH,75,316.0
BFS,MAN,BA,TH,60,159.0
STN,LUX,LG,LG,65,264.0
FNC,PXO,2B,2B,20,27.0
GLA,BRS,BA,BA,75,269.0
BFS,CWL,BA,TH,60,217.0
FNC,PXO,2B,2B,20,27.0
GLA,SOU,BA,TH,75,316.0
TAO,CGO,SC,SC,135,347.0
NCE,LUX,LG,LG,85,361.0
ABZ,BFS,BA,TH,60,204.0
EDI,SOU,BA,TH,75,318.0
EDI,BHX,BA,TH,60,223.0
HAJ,DUS,LT,LT,50,129.0
EDI,BRS,BA,BA,75,277.0
CDG,BRS,BA,BA,75,256.0
LUX,VIE,LG,LG,85,419.0
BRS,EDI,BA,BA,75,277.0
LUX,VIE,LG,LG,85,419.0
LUX,CDG,LG,LG,60,145.0
MAN,FRA,BA,TH,105,455.0
GVA,LUX,LG,LG,60,208.0
DUS,HAJ,LT,LT,50,129.0
MAN,EDI,BA,EZ,50,164.0
SHE,YNT,SC,SC,120,276.0
BCN,LCG,EA,EA,100,488.0
BCN,VIT,EA,EA,50,242.0
BCN,LCG,EA,EA,100,488.0
BCN,PMI,EA,EA,40,115.0
LCG,BCN,EA,EA,100,488.0
BNE,MCY,QF,QF,30,53.0
VIE,LUX,LG,LG,90,419.0
YCD,YVR,8P,8P,20,30.0
YVR,YYJ,8P,8P,25,34.0
BNE,HVB,QF,QF,55,131.0
FRA,BRS,BA,BA,105,442.0
LCG,BCN,EA,EA,100,488.0
BNE,MBH,QF,QF,45,121.0
YVR,YCD,8P,8P,20,30.0
TAO,DLC,SC,SC,55,163.0
YVR,YBL,8P,8P,45,92.0
YVR,YCD,8P,8P,20,30.0
BNE,MCY,QF,QF,30,53.0
VIE,LUX,LG,LG,90,419.0
YVR,YCD,8P,8P,20,30.0
YCD,YVR,8P,8P,20,30.0
YVR,YYJ,8P,8P,25,34.0
FRA,MAN,BA,TH,110,455.0
TAO,TSN,SC,SC,75,222.0
LYS,MAN,BA,TH,120,546.0
YYJ,YVR,8P,8P,25,34.0
TSN,TAO,SC,SC,80,222.0
DUB,CFN,RE,RE,60,126.0
YYJ,YVR,8P,8P,25,34.0
PXO,FNC,2B,2B,20,27.0
DUB,SOU,BA,TH,75,236.0
PXO,FNC,2B,2B,20,27.0
DUB,LUX,LG,LG,95,521.0
YYJ,YVR,8P,8P,25,34.0
FCO,LUX,LG,LG,120,541.0
DUB,SOU,BA,TH,75,236.0
BRS,MUC,BA,BA,130,596.0
LUX,BGY,LG,LG,70,281.0
SOU,EDI,BA,TH,75,318.0
LUX,DUB,LG,LG,105,521.0
SOU,EDI,BA,TH,75,318.0
SOU,GLA,BA,TH,75,316.0
LUX,STN,LG,LG,70,264.0
BRS,GLA,BA,BA,75,269.0
MAD,LUX,LG,LG,130,698.0
HVB,BNE,QF,QF,50,131.0
BHX,EDI,BA,BA,60,223.0
TNA,DLC,SC,SC,105,234.0
HVB,MBH,QF,QF,15,14.0
BHX,GLA,BA,BA,65,223.0
HAM,LUX,LG,LG,70,281.0
AMS,MAN,BA,TH,75,270.0
BHX,GLA,BA,TH,60,223.0
BRU,CWL,BA,TH,80,303.0
BRU,BHX,BA,BA,70,256.0
TNA,YNT,SC,SC,65,197.0
BHX,EDI,BA,BA,60,223.0
BHX,BRU,BA,BA,70,256.0
ARN,LUX,LG,LG,135,728.0
CDG,CWL,BA,TH,80,278.0
EDI,SOU,BA,TH,75,318.0
EDI,BRS,BA,BA,75,277.0
EDI,BRS,BA,BA,75,277.0
EDI,BRS,BA,BA,75,277.0
EDI,SOU,BA,TH,75,318.0
EDI,BHX,BA,BA,60,223.0
EDI,MAN,BA,TH,55,164.0
LUX,ARN,LG,LG,135,728.0
MBH,BNE,QF,QF,45,121.0
YNT,TNA,SC,SC,75,197.0
YNT,SHE,SC,SC,80,276.0
SOU,EDI,BA,TH,75,318.0
LUX,NCE,LG,LG,85,361.0
MBH,HVB,QF,QF,15,14.0
SOU,BRU,BA,TH,65,224.0
LUX,HAM,LG,LG,75,281.0
SOU,DUB,BA,TH,75,236.0
LUX,TRN,LG,LG,70,280.0
LUX,MAD,LG,LG,135,698.0
YBL,YQQ,8P,8P,10,19.0
BRS,FRA,BA,BA,105,442.0
SOU,DUB,BA,TH,75,236.0
CPH,LUX,LG,LG,85,427.0
SOU,GLA,BA,TH,75,316.0
LUX,CPH,LG,LG,90,427.0
BRS,EDI,BA,BA,75,277.0
LUX,MAN,LG,LG,90,392.0
LUX,FCO,LG,LG,110,541.0
BRS,EDI,BA,BA,75,277.0
BRS,GLA,BA,BA,75,269.0
ARN,GVA,SK,SK,160,917.0
CDG,LUX,LG,LG,55,145.0
GVA,ARN,SK,SK,165,917.0
MAN,LUX,LG,LG,80,392.0
ZRH,ARN,SK,SK,150,804.0
MAN,AMS,BA,TH,70,270.0
CFN,DUB,RE,RE,55,126.0
MAN,BFS,BA,TH,60,159.0
MAN,LYS,BA,TH,120,546.0
ZRH,ARN,SK,SK,150,804.0
PMI,BCN,EA,EA,40,115.0
