id,Airline,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
13581,AS,Female,Loyal Customer,12,Personal Travel,Eco,214,2,4,2,3,2,3,3,2,3,3,3,3,2,3,135,119,neutral or dissatisfied
13582,B441,Male,Loyal Customer,7,Personal Travel,Eco,106,2,1,2,2,5,2,2,5,2,1,2,4,3,5,0,0,neutral or dissatisfied
13583,DL,Male,Loyal Customer,17,Personal Travel,Eco,106,2,3,0,2,2,0,2,2,2,3,1,4,5,2,0,0,neutral or dissatisfied
13584,EV,Female,Loyal Customer,26,Personal Travel,Eco,106,3,4,0,4,4,0,4,4,4,5,4,4,5,4,47,36,neutral or dissatisfied
13585,F444,Male,Loyal Customer,46,Personal Travel,Eco,227,3,4,3,3,1,3,1,1,4,4,3,3,4,1,0,0,neutral or dissatisfied
13586,HA,Male,Loyal Customer,62,Personal Travel,Eco,227,2,5,0,3,4,0,1,4,3,1,1,3,3,4,0,0,neutral or dissatisfied
13587,MQ,Female,Loyal Customer,24,Personal Travel,Eco,106,2,4,2,2,3,2,3,3,5,1,2,4,3,3,0,0,neutral or dissatisfied
13588,NK,Female,Loyal Customer,31,Personal Travel,Eco,227,2,5,2,4,4,2,4,4,3,3,5,4,5,4,0,35,neutral or dissatisfied
13589,OO,Male,Loyal Customer,61,Personal Travel,Eco,227,1,5,1,2,5,1,4,5,2,2,2,1,3,5,0,2,neutral or dissatisfied
13591,AA,Male,Loyal Customer,47,Personal Travel,Eco,227,3,1,3,2,5,3,5,5,2,2,2,3,3,5,0,4,neutral or dissatisfied
13592,AS,Female,Loyal Customer,42,Personal Travel,Eco,106,3,4,3,2,2,4,5,4,4,3,2,3,4,5,0,0,neutral or dissatisfied
13593,B442,Female,Loyal Customer,57,Personal Travel,Eco,106,5,4,5,1,4,5,4,5,5,5,5,3,5,5,0,0,satisfied
13595,DL,Female,Loyal Customer,65,Personal Travel,Eco,106,2,4,2,5,4,4,4,5,5,2,5,5,5,4,0,0,neutral or dissatisfied
13596,EV,Male,Loyal Customer,10,Personal Travel,Eco,106,2,4,2,4,3,2,3,3,3,5,4,4,5,3,0,0,neutral or dissatisfied
13597,F445,Male,Loyal Customer,35,Personal Travel,Eco,227,1,5,0,1,5,0,5,5,5,4,4,5,5,5,0,18,neutral or dissatisfied
13599,HA,Female,Loyal Customer,54,Personal Travel,Eco,214,2,1,2,3,4,3,3,1,1,2,1,3,1,4,52,46,neutral or dissatisfied
13600,MQ,Female,Loyal Customer,57,Business travel,Eco Plus,152,3,4,4,4,2,1,2,4,4,3,4,5,4,1,0,0,satisfied
13603,NK,Male,Loyal Customer,30,Business travel,Eco Plus,152,5,5,5,5,5,5,5,5,3,1,1,3,3,5,0,0,satisfied
13605,OO,Male,Loyal Customer,30,Business travel,Eco Plus,106,5,3,3,3,5,5,5,5,1,3,5,3,3,5,0,0,satisfied
13606,AA,Female,Loyal Customer,57,Business travel,Eco Plus,227,2,3,3,3,1,4,3,2,2,2,2,1,2,4,3,27,neutral or dissatisfied
13608,AS,Female,disloyal Customer,33,Business travel,Eco Plus,152,3,3,3,3,3,3,3,3,2,1,3,4,3,3,98,84,neutral or dissatisfied
13609,B443,Male,Loyal Customer,35,Business travel,Eco Plus,106,5,4,4,4,5,5,5,5,2,1,5,4,4,5,130,121,satisfied
13611,DL,Female,disloyal Customer,23,Business travel,Eco Plus,152,2,3,2,3,3,2,3,3,1,1,4,4,4,3,0,20,neutral or dissatisfied
13612,EV,Male,Loyal Customer,53,Business travel,Eco Plus,152,5,5,5,5,5,5,5,5,1,5,2,3,2,5,0,4,satisfied
13613,F446,Female,Loyal Customer,37,Business travel,Eco Plus,106,4,3,3,3,4,4,4,4,4,4,5,2,3,4,0,0,satisfied
13614,HA,Male,disloyal Customer,23,Business travel,Eco,152,1,3,1,3,5,1,5,5,2,2,4,4,3,5,84,84,neutral or dissatisfied
13616,MQ,Female,Loyal Customer,60,Personal Travel,Eco Plus,214,3,0,3,3,4,4,5,4,4,3,4,5,4,5,0,0,neutral or dissatisfied
13644,NK,Male,Loyal Customer,54,Business travel,Business,196,1,1,1,1,4,4,4,4,5,4,5,4,3,4,152,138,satisfied
13646,OO,Female,Loyal Customer,45,Business travel,Business,196,4,4,4,4,2,3,5,5,5,5,5,1,5,5,0,0,satisfied
13648,AA,Female,Loyal Customer,43,Business travel,Eco,196,5,3,3,3,2,5,1,5,5,5,5,2,5,3,0,0,satisfied
13649,AS,Male,Loyal Customer,32,Business travel,Eco,196,4,4,4,4,4,4,4,4,5,3,4,1,4,4,0,0,satisfied
13650,B444,Female,disloyal Customer,23,Business travel,Eco,196,5,0,5,1,5,1,3,5,2,4,4,3,4,3,154,154,satisfied
13654,DL,Female,Loyal Customer,24,Business travel,Business,196,2,1,1,1,4,3,2,4,4,5,4,4,3,4,0,0,neutral or dissatisfied
13656,EV,Male,Loyal Customer,39,Personal Travel,Eco,196,3,4,3,1,4,3,4,4,5,4,4,4,5,4,26,15,neutral or dissatisfied
13687,F447,Female,Loyal Customer,62,Business travel,Business,300,2,2,2,2,2,1,3,4,4,4,4,1,4,4,0,0,satisfied
13694,HA,Male,Loyal Customer,27,Business travel,Eco,300,3,5,5,5,3,3,3,3,2,4,4,3,3,3,0,0,neutral or dissatisfied
13697,MQ,Male,Loyal Customer,68,Personal Travel,Eco,300,1,2,1,3,3,1,3,3,1,1,4,4,3,3,0,0,neutral or dissatisfied
13700,NK,Male,Loyal Customer,69,Personal Travel,Eco,300,3,5,3,1,4,3,4,4,3,2,2,5,3,4,0,0,neutral or dissatisfied
13702,OO,Female,Loyal Customer,61,Personal Travel,Eco,300,3,1,3,2,2,2,1,3,3,3,3,1,3,1,5,28,neutral or dissatisfied
13704,AA,Male,Loyal Customer,21,Personal Travel,Eco,300,1,4,1,1,2,1,2,2,5,4,5,3,4,2,0,0,neutral or dissatisfied
13708,AS,Male,Loyal Customer,48,Business travel,Business,401,4,4,4,4,4,5,5,5,5,5,5,5,5,5,7,12,satisfied
13712,B445,Male,Loyal Customer,35,Personal Travel,Business,401,1,4,1,3,5,5,4,2,2,1,2,4,2,4,57,46,neutral or dissatisfied
13718,DL,Female,Loyal Customer,41,Business travel,Eco,401,2,2,5,2,2,2,2,2,1,5,2,4,4,2,6,0,satisfied
13719,EV,Male,Loyal Customer,55,Business travel,Business,384,5,5,5,5,3,5,3,5,5,5,5,5,5,5,21,19,satisfied
13720,F448,Male,Loyal Customer,46,Business travel,Eco,401,5,3,3,3,5,5,5,5,5,4,3,2,5,5,0,0,satisfied
13723,HA,Male,disloyal Customer,26,Business travel,Eco,401,0,0,0,4,0,2,2,1,1,3,3,2,4,2,177,163,satisfied
13725,MQ,Male,disloyal Customer,42,Business travel,Eco,401,4,4,4,3,5,4,5,5,4,5,3,3,2,5,30,21,neutral or dissatisfied
13728,NK,Female,disloyal Customer,34,Business travel,Eco,401,2,0,1,4,5,1,5,5,4,2,4,4,3,5,116,105,neutral or dissatisfied
13732,OO,Female,Loyal Customer,33,Business travel,Eco,384,4,5,5,5,4,4,4,4,3,1,1,1,4,4,0,6,satisfied
13733,AA,Female,disloyal Customer,24,Business travel,Eco,384,2,3,2,4,2,2,2,2,2,3,4,4,5,2,0,0,neutral or dissatisfied
13734,AS,Male,Loyal Customer,53,Business travel,Eco,401,4,3,3,3,4,4,4,2,2,3,5,4,2,4,242,242,satisfied
13738,B446,Female,Loyal Customer,51,Business travel,Eco,401,5,1,1,1,5,5,5,4,4,5,4,2,4,1,117,97,satisfied
13740,DL,Female,disloyal Customer,37,Business travel,Eco,401,2,1,2,4,5,2,3,5,2,3,3,4,3,5,0,0,neutral or dissatisfied
13741,EV,Male,disloyal Customer,27,Business travel,Eco,401,1,4,2,4,3,2,3,3,1,3,5,3,1,3,0,0,neutral or dissatisfied
13743,F449,Male,Loyal Customer,52,Business travel,Eco,401,2,1,1,1,2,2,2,2,2,1,3,4,3,2,26,12,neutral or dissatisfied
13744,HA,Female,disloyal Customer,30,Business travel,Eco,384,3,3,4,4,1,4,1,1,1,5,3,2,4,1,30,15,neutral or dissatisfied
13747,MQ,Male,disloyal Customer,34,Business travel,Eco,401,2,3,3,5,4,3,2,4,2,3,3,4,2,4,0,0,neutral or dissatisfied
13749,NK,Male,Loyal Customer,62,Personal Travel,Eco,401,2,4,3,3,5,3,5,5,3,3,5,5,5,5,0,0,neutral or dissatisfied
13750,OO,Female,Loyal Customer,26,Personal Travel,Eco,384,2,4,4,3,4,2,2,3,5,5,4,2,4,2,209,200,neutral or dissatisfied
13753,AA,Male,Loyal Customer,46,Personal Travel,Eco,384,2,5,2,3,4,2,4,4,3,2,4,5,4,4,0,0,neutral or dissatisfied
13754,AS,Male,Loyal Customer,13,Personal Travel,Eco,401,2,5,2,1,2,2,1,2,3,4,5,4,5,2,116,100,neutral or dissatisfied
13755,B447,Female,Loyal Customer,24,Personal Travel,Eco,401,1,2,1,4,1,3,3,1,1,4,4,3,1,3,214,201,neutral or dissatisfied
13757,DL,Female,Loyal Customer,20,Personal Travel,Eco,401,3,5,3,2,1,3,1,1,5,2,4,4,4,1,0,0,neutral or dissatisfied
13758,EV,Male,Loyal Customer,23,Personal Travel,Eco,384,2,4,2,3,5,2,5,5,1,3,3,4,3,5,37,37,neutral or dissatisfied
13759,F450,Female,Loyal Customer,60,Personal Travel,Eco,401,2,4,2,3,3,2,3,5,5,2,5,3,5,2,0,0,neutral or dissatisfied
13762,HA,Female,Loyal Customer,51,Business travel,Eco Plus,401,5,2,2,2,5,5,5,2,2,5,2,5,3,5,296,276,satisfied
13763,MQ,Female,disloyal Customer,30,Business travel,Eco Plus,401,3,3,3,4,3,3,3,3,3,3,3,1,4,3,0,0,neutral or dissatisfied
13764,NK,Male,Loyal Customer,19,Business travel,Eco Plus,401,4,3,3,3,4,4,5,4,1,2,2,5,2,4,0,0,satisfied
13766,OO,Female,disloyal Customer,36,Business travel,Eco Plus,401,2,1,1,3,1,1,1,1,5,1,5,2,4,1,0,0,neutral or dissatisfied
13767,AA,Female,Loyal Customer,70,Personal Travel,Eco Plus,401,3,5,3,4,4,4,4,1,1,3,1,3,1,5,34,14,neutral or dissatisfied
13816,AS,Male,Loyal Customer,51,Business travel,Business,228,3,3,3,3,3,4,5,4,4,4,4,3,4,3,0,3,satisfied
13897,B448,Female,Loyal Customer,51,Business travel,Business,317,4,4,4,4,3,5,4,4,4,4,4,4,4,4,0,0,satisfied
13898,DL,Male,Loyal Customer,58,Business travel,Business,153,0,4,0,1,5,4,5,3,3,3,3,3,3,4,0,0,satisfied
13899,EV,Female,disloyal Customer,21,Business travel,Eco,153,1,3,1,4,2,1,2,2,4,4,3,2,3,2,0,0,neutral or dissatisfied
13902,F451,Female,disloyal Customer,57,Business travel,Eco,192,4,3,4,1,1,4,1,1,2,1,4,5,2,1,0,0,neutral or dissatisfied
13904,HA,Female,Loyal Customer,44,Business travel,Eco,192,2,4,5,5,4,1,1,1,1,2,1,5,1,1,23,13,satisfied
13905,MQ,Female,Loyal Customer,47,Business travel,Business,153,1,1,1,1,3,4,2,5,5,5,5,5,5,3,29,11,satisfied
13906,NK,Female,Loyal Customer,37,Business travel,Eco,192,4,3,3,3,4,4,4,4,5,4,1,3,5,4,0,0,satisfied
13907,OO,Female,disloyal Customer,44,Business travel,Eco,192,3,4,3,1,3,3,3,3,1,5,4,2,3,3,0,0,neutral or dissatisfied
13909,AA,Male,Loyal Customer,38,Business travel,Eco,192,4,1,4,1,4,4,4,4,5,3,3,5,5,4,0,0,satisfied
13913,AS,Female,Loyal Customer,39,Business travel,Eco,192,2,5,5,5,2,2,2,2,5,4,5,4,2,2,0,0,satisfied
13914,B449,Male,Loyal Customer,33,Business travel,Business,192,3,3,3,3,5,5,4,5,1,3,5,2,5,5,0,0,satisfied
13915,DL,Female,Loyal Customer,48,Business travel,Business,192,2,2,2,2,2,2,2,4,4,4,5,2,4,2,0,0,satisfied
13917,EV,Male,Loyal Customer,38,Business travel,Eco,192,3,1,4,1,3,3,3,3,4,1,4,3,3,3,0,0,neutral or dissatisfied
13918,F452,Male,Loyal Customer,60,Business travel,Business,192,3,3,4,3,4,1,2,5,5,5,5,5,5,4,61,40,satisfied
13920,HA,Female,disloyal Customer,54,Business travel,Eco,153,2,3,2,3,1,2,1,1,1,5,3,4,5,1,53,44,neutral or dissatisfied
13921,MQ,Male,disloyal Customer,32,Business travel,Eco,192,3,0,2,4,5,2,5,5,5,4,2,2,4,5,40,32,neutral or dissatisfied
13924,NK,Male,disloyal Customer,24,Business travel,Eco,317,3,4,3,1,3,3,3,3,2,1,5,4,4,3,27,17,neutral or dissatisfied
13925,OO,Male,Loyal Customer,43,Business travel,Eco,192,4,4,4,4,4,4,4,4,2,2,1,3,2,4,45,29,satisfied
13926,AA,Female,Loyal Customer,53,Business travel,Business,153,1,4,4,4,2,4,4,2,2,2,1,4,2,4,35,29,neutral or dissatisfied
13927,AS,Male,Loyal Customer,66,Business travel,Eco,317,4,2,2,2,4,4,4,4,1,3,2,3,1,4,0,0,satisfied
13928,B450,Male,Loyal Customer,37,Business travel,Eco,192,5,5,5,5,5,4,5,5,1,1,5,5,4,5,0,0,satisfied
13929,DL,Male,disloyal Customer,26,Business travel,Eco,192,2,2,2,2,5,2,5,5,4,3,2,3,1,5,0,9,neutral or dissatisfied
13930,EV,Female,Loyal Customer,54,Business travel,Eco,192,5,4,4,4,2,5,2,5,5,5,5,3,5,2,0,0,satisfied
13931,F453,Male,disloyal Customer,20,Business travel,Eco,192,4,5,4,1,4,4,5,4,1,3,4,3,5,4,0,0,satisfied
13932,HA,Male,disloyal Customer,24,Business travel,Eco,259,3,0,3,3,5,3,5,5,2,1,4,4,4,5,90,78,neutral or dissatisfied
13933,MQ,Female,Loyal Customer,57,Business travel,Eco,192,5,2,5,2,4,1,5,5,5,5,5,3,5,4,0,0,satisfied
13934,NK,Male,Loyal Customer,50,Business travel,Eco,192,3,3,3,3,3,3,3,3,3,2,2,2,1,3,41,47,neutral or dissatisfied
13935,OO,Male,disloyal Customer,26,Business travel,Eco,192,2,5,2,4,4,2,2,4,3,1,1,1,4,4,0,3,neutral or dissatisfied
13938,AA,Female,Loyal Customer,47,Business travel,Business,317,3,1,1,1,4,4,3,3,3,3,3,4,3,4,19,6,neutral or dissatisfied
13941,AS,Male,Loyal Customer,32,Business travel,Eco,192,4,3,3,3,4,3,4,4,1,2,3,3,3,4,7,0,neutral or dissatisfied
13942,B451,Female,Loyal Customer,23,Business travel,Business,153,2,2,2,2,5,5,3,5,2,4,3,2,4,5,55,67,satisfied
13943,DL,Male,Loyal Customer,17,Business travel,Eco,153,4,3,3,3,4,4,3,4,4,5,4,2,5,4,0,0,satisfied
13944,EV,Female,disloyal Customer,27,Business travel,Eco,192,2,3,2,4,2,2,2,2,3,1,4,1,4,2,0,6,neutral or dissatisfied
13946,F454,Male,Loyal Customer,41,Business travel,Eco,153,5,4,4,4,5,5,5,5,2,2,2,3,2,5,0,0,satisfied
13948,HA,Female,Loyal Customer,71,Business travel,Eco,153,5,1,1,1,5,5,4,5,5,5,5,4,5,2,0,0,satisfied
13949,MQ,Female,Loyal Customer,40,Personal Travel,Eco,192,5,5,5,4,5,5,5,5,3,4,4,5,4,5,0,0,satisfied
13950,NK,Female,Loyal Customer,44,Personal Travel,Eco,192,1,5,0,3,0,3,4,5,5,4,4,4,5,4,151,136,neutral or dissatisfied
13952,OO,Male,Loyal Customer,15,Personal Travel,Eco,192,1,4,1,4,1,1,1,1,3,4,5,4,4,1,0,3,neutral or dissatisfied
13953,AA,Female,Loyal Customer,13,Personal Travel,Eco,192,3,5,0,3,4,0,4,4,3,2,4,4,5,4,0,0,neutral or dissatisfied
13954,AS,Male,Loyal Customer,54,Personal Travel,Eco,153,2,4,2,3,3,2,3,3,3,2,5,5,4,3,0,0,neutral or dissatisfied
13955,B452,Female,Loyal Customer,41,Personal Travel,Eco,153,3,4,3,1,4,3,4,4,3,5,5,4,5,4,0,5,neutral or dissatisfied
13956,DL,Male,Loyal Customer,41,Personal Travel,Eco,192,2,5,2,3,4,2,3,4,5,5,5,3,4,4,2,0,neutral or dissatisfied
13957,EV,Male,Loyal Customer,33,Personal Travel,Eco,153,3,4,0,1,5,0,4,5,5,3,5,4,4,5,0,0,neutral or dissatisfied
13958,F455,Male,Loyal Customer,61,Personal Travel,Eco,192,1,4,1,2,3,1,3,3,4,2,5,4,4,3,0,0,neutral or dissatisfied
13959,HA,Male,Loyal Customer,15,Personal Travel,Eco,192,2,1,2,3,4,2,4,4,4,3,2,4,2,4,49,50,neutral or dissatisfied
13960,MQ,Male,Loyal Customer,41,Personal Travel,Eco,192,1,5,1,1,3,1,4,3,4,4,5,3,4,3,0,0,neutral or dissatisfied
13961,NK,Female,Loyal Customer,67,Personal Travel,Eco,153,2,2,2,4,2,3,3,2,2,2,2,3,2,3,0,0,neutral or dissatisfied
13962,OO,Female,Loyal Customer,9,Personal Travel,Eco,153,2,5,2,3,2,2,2,2,4,4,5,5,5,2,0,0,neutral or dissatisfied
13963,AA,Female,Loyal Customer,40,Personal Travel,Eco,192,3,5,3,1,3,3,3,3,4,3,5,4,5,3,0,0,neutral or dissatisfied
13964,AS,Male,Loyal Customer,34,Personal Travel,Eco,153,3,5,3,1,3,3,3,3,3,5,4,5,4,3,0,0,neutral or dissatisfied
13965,B453,Male,Loyal Customer,46,Personal Travel,Eco,317,3,2,3,3,2,3,2,2,3,5,3,2,4,2,110,118,neutral or dissatisfied
13966,DL,Male,Loyal Customer,29,Personal Travel,Eco,317,3,1,1,4,2,1,2,2,4,3,4,3,4,2,0,0,neutral or dissatisfied
13967,EV,Male,Loyal Customer,41,Personal Travel,Eco,192,3,5,3,1,3,3,5,3,3,5,5,5,4,3,0,0,neutral or dissatisfied
13968,F456,Male,Loyal Customer,60,Personal Travel,Eco,192,3,5,0,4,3,0,3,3,3,2,5,3,5,3,26,24,neutral or dissatisfied
13969,HA,Female,Loyal Customer,33,Personal Travel,Eco,192,2,4,2,3,2,2,2,2,4,2,5,5,5,2,0,1,neutral or dissatisfied
13971,MQ,Female,Loyal Customer,32,Personal Travel,Eco,153,2,5,0,4,1,0,1,1,3,5,4,5,4,1,0,10,neutral or dissatisfied
13972,NK,Male,Loyal Customer,64,Personal Travel,Eco,317,2,2,2,4,4,2,5,4,1,3,4,3,3,4,0,0,neutral or dissatisfied
13973,OO,Female,Loyal Customer,48,Business travel,Eco Plus,192,5,5,5,5,3,1,4,5,5,5,5,4,5,4,0,0,satisfied
13974,AA,Female,disloyal Customer,59,Business travel,Eco Plus,192,3,4,4,4,2,3,2,2,1,5,3,3,3,2,16,18,neutral or dissatisfied
13975,AS,Female,Loyal Customer,30,Business travel,Eco Plus,153,5,2,4,4,5,5,5,5,4,5,5,5,3,5,23,7,satisfied
13976,B454,Male,Loyal Customer,34,Business travel,Eco Plus,259,5,5,5,5,5,5,5,5,4,4,1,5,3,5,39,37,satisfied
13977,DL,Female,Loyal Customer,28,Personal Travel,Eco Plus,192,2,4,0,2,2,0,2,2,4,3,4,3,5,2,0,0,neutral or dissatisfied
13978,EV,Female,Loyal Customer,18,Personal Travel,Eco Plus,317,4,2,4,3,3,4,3,3,2,2,3,1,3,3,68,85,neutral or dissatisfied
13979,F457,Female,Loyal Customer,69,Business travel,Eco Plus,317,5,3,4,4,1,2,1,4,4,5,4,3,4,4,0,0,satisfied
13980,HA,Male,Loyal Customer,33,Business travel,Eco Plus,153,4,2,1,2,4,4,4,4,2,3,4,3,4,4,0,9,neutral or dissatisfied
13982,MQ,Male,disloyal Customer,24,Business travel,Eco,372,3,3,3,2,3,3,3,3,1,4,5,4,3,3,0,0,neutral or dissatisfied
13983,NK,Female,Loyal Customer,56,Business travel,Eco,372,4,1,1,1,2,2,3,3,3,4,3,5,3,2,2,8,satisfied
13986,OO,Male,Loyal Customer,57,Personal Travel,Eco,372,3,0,3,4,4,3,4,4,3,3,4,5,5,4,0,0,neutral or dissatisfied
13990,AA,Male,Loyal Customer,39,Personal Travel,Business,160,3,1,3,4,1,3,3,2,2,3,4,4,2,2,0,0,neutral or dissatisfied
13991,AS,Male,disloyal Customer,37,Business travel,Eco,160,4,0,3,2,3,3,3,3,5,4,3,2,5,3,55,51,neutral or dissatisfied
13992,B455,Male,Loyal Customer,37,Business travel,Eco,160,5,3,3,3,5,5,5,5,2,1,1,4,4,5,0,0,satisfied
13998,DL,Female,disloyal Customer,39,Business travel,Eco,160,2,5,2,3,5,2,5,5,3,3,4,3,3,5,11,0,neutral or dissatisfied
14000,EV,Female,Loyal Customer,16,Personal Travel,Eco,160,2,4,2,3,3,2,3,3,3,4,4,1,4,3,0,17,neutral or dissatisfied
14001,F458,Female,Loyal Customer,29,Personal Travel,Eco,160,3,4,3,3,1,3,1,1,3,3,5,4,4,1,0,0,neutral or dissatisfied
14003,HA,Female,Loyal Customer,11,Personal Travel,Eco Plus,160,3,3,3,3,3,3,3,3,3,3,4,4,3,3,55,37,neutral or dissatisfied
14012,MQ,Female,Loyal Customer,35,Business travel,Eco,182,4,3,3,3,4,4,4,4,3,2,4,3,2,4,0,0,satisfied
14013,NK,Female,Loyal Customer,45,Business travel,Eco,182,4,5,5,5,5,1,5,4,4,4,4,2,4,3,0,0,satisfied
14014,OO,Female,Loyal Customer,56,Business travel,Business,182,1,1,1,1,5,2,3,3,3,4,1,2,3,1,0,6,neutral or dissatisfied
14015,AA,Male,Loyal Customer,69,Business travel,Business,182,4,4,4,4,1,4,3,5,5,5,3,3,5,1,0,0,satisfied
14016,AS,Male,Loyal Customer,63,Business travel,Eco,182,5,5,5,5,5,5,5,5,4,2,3,3,4,5,7,2,satisfied
14017,B456,Male,Loyal Customer,34,Business travel,Business,182,2,2,2,2,4,3,4,2,2,2,2,2,2,2,0,0,neutral or dissatisfied
14018,DL,Male,Loyal Customer,52,Personal Travel,Eco,182,2,5,0,3,2,0,1,2,5,2,5,3,5,2,67,76,neutral or dissatisfied
14019,EV,Female,Loyal Customer,50,Personal Travel,Eco,182,1,3,0,3,2,2,3,5,5,0,3,3,5,2,0,0,neutral or dissatisfied
14020,F459,Male,Loyal Customer,49,Personal Travel,Eco,182,2,5,0,2,2,0,2,2,4,3,2,3,3,2,0,18,neutral or dissatisfied
14021,HA,Male,Loyal Customer,60,Personal Travel,Eco,182,3,3,3,4,2,3,4,2,2,3,1,4,4,2,0,0,neutral or dissatisfied
14042,MQ,Male,disloyal Customer,34,Business travel,Business,363,3,4,4,1,1,4,1,1,1,5,5,3,2,1,0,0,neutral or dissatisfied
14043,NK,Male,disloyal Customer,43,Business travel,Eco,106,2,4,2,2,5,2,5,5,2,1,2,2,5,5,0,0,neutral or dissatisfied
14044,OO,Male,Loyal Customer,35,Business travel,Business,363,4,4,4,4,5,3,1,2,2,2,2,3,2,5,6,0,satisfied
14047,AA,Female,Loyal Customer,19,Personal Travel,Eco,363,3,5,3,3,5,3,5,5,5,3,5,5,5,5,0,0,neutral or dissatisfied
14048,AS,Female,Loyal Customer,61,Personal Travel,Eco Plus,106,2,4,0,4,4,5,5,1,1,0,1,4,1,5,0,0,neutral or dissatisfied
14050,B457,Female,disloyal Customer,21,Business travel,Eco,335,4,0,3,2,4,3,4,4,4,2,2,1,5,4,0,0,satisfied
14051,DL,Female,Loyal Customer,32,Personal Travel,Eco,335,3,4,3,2,5,3,4,5,3,4,4,4,5,5,0,16,neutral or dissatisfied
14053,EV,Female,Loyal Customer,69,Personal Travel,Eco,335,4,5,2,4,5,4,4,2,2,2,2,4,2,4,0,0,neutral or dissatisfied
14055,F460,Female,Loyal Customer,24,Business travel,Eco,319,3,2,2,2,3,4,4,3,1,5,2,1,1,3,0,0,satisfied
14056,HA,Male,Loyal Customer,42,Business travel,Business,141,2,2,2,2,3,2,2,5,5,5,5,3,5,1,0,0,satisfied
14057,MQ,Female,Loyal Customer,39,Business travel,Business,319,4,4,4,4,5,4,4,4,4,4,4,3,4,2,0,0,satisfied
14058,NK,Male,Loyal Customer,45,Business travel,Business,319,0,0,0,1,2,4,2,1,1,1,1,5,1,5,108,82,satisfied
14060,OO,Male,Loyal Customer,42,Business travel,Eco,319,4,2,2,2,4,4,4,4,5,2,3,1,2,4,14,6,satisfied
14062,AA,Female,Loyal Customer,53,Personal Travel,Eco,319,3,2,3,3,3,3,3,3,3,3,2,3,4,3,113,158,neutral or dissatisfied
14063,AS,Female,Loyal Customer,11,Personal Travel,Eco,319,3,2,3,4,2,3,2,2,3,4,4,1,3,2,30,4,neutral or dissatisfied
14064,B458,Male,Loyal Customer,37,Personal Travel,Eco Plus,319,3,4,3,3,1,3,1,1,1,4,4,4,2,1,0,0,neutral or dissatisfied
14069,DL,Male,disloyal Customer,35,Business travel,Business,201,1,1,1,5,3,1,3,3,5,4,4,5,5,3,0,0,neutral or dissatisfied
14070,EV,Female,Loyal Customer,58,Personal Travel,Business,371,3,5,5,1,2,3,5,1,1,5,1,3,1,3,0,0,neutral or dissatisfied
14071,F461,Female,Loyal Customer,55,Business travel,Eco,371,5,1,1,1,2,1,5,5,5,5,5,5,5,5,14,5,satisfied
14072,HA,Male,disloyal Customer,39,Business travel,Eco,425,3,3,3,5,5,3,1,5,4,2,4,2,2,5,0,0,neutral or dissatisfied
14075,MQ,Male,Loyal Customer,59,Business travel,Eco,371,4,2,2,2,4,4,4,4,5,3,5,3,3,4,0,9,satisfied
14076,NK,Female,disloyal Customer,20,Business travel,Eco,425,0,0,0,2,0,4,4,4,4,2,2,4,1,4,197,198,satisfied
14080,OO,Female,disloyal Customer,39,Business travel,Business,399,3,3,3,1,3,3,3,3,2,3,5,1,5,3,0,0,neutral or dissatisfied
14082,AA,Female,disloyal Customer,50,Business travel,Eco,201,3,0,3,1,5,3,5,5,5,2,5,2,4,5,3,0,neutral or dissatisfied
14083,AS,Female,Loyal Customer,39,Business travel,Eco,399,5,3,3,3,5,5,5,5,3,4,2,1,2,5,0,0,satisfied
14087,B459,Female,Loyal Customer,34,Business travel,Eco,371,1,4,4,4,1,1,1,1,3,3,2,3,3,1,0,0,neutral or dissatisfied
14088,DL,Male,Loyal Customer,65,Business travel,Business,425,3,4,4,4,3,3,4,3,3,3,3,4,3,2,0,2,neutral or dissatisfied
14089,EV,Female,Loyal Customer,34,Business travel,Business,425,4,4,4,4,2,3,5,5,5,5,5,1,5,5,0,1,satisfied
14090,F462,Female,disloyal Customer,20,Business travel,Eco,201,0,5,0,4,3,0,3,3,2,1,3,4,2,3,0,0,satisfied
14091,HA,Male,Loyal Customer,45,Business travel,Eco,201,2,2,2,2,1,2,1,1,4,3,4,3,4,1,0,0,neutral or dissatisfied
14092,MQ,Male,Loyal Customer,57,Business travel,Business,201,0,5,0,3,2,1,4,5,5,3,3,4,5,5,15,1,satisfied
14093,NK,Male,Loyal Customer,30,Business travel,Business,371,4,4,3,4,5,5,5,5,5,5,4,2,5,5,6,0,satisfied
14096,OO,Female,Loyal Customer,24,Business travel,Business,399,1,1,1,1,5,5,5,5,2,1,3,2,1,5,0,0,satisfied
14097,AA,Male,Loyal Customer,31,Personal Travel,Eco,399,3,5,3,2,2,3,2,2,4,2,4,4,5,2,20,0,neutral or dissatisfied
14098,AS,Female,Loyal Customer,45,Personal Travel,Eco,201,3,5,0,3,2,2,3,1,1,0,4,5,1,5,0,0,neutral or dissatisfied
14099,B460,Male,Loyal Customer,63,Personal Travel,Eco,371,4,3,4,4,3,4,3,3,1,4,3,4,3,3,0,32,satisfied
