FlightID,Date,Time,Marketing Airline,FlightNumber,Origin Airport,Destination Airport,Price
2421,2023-01-18,09:15:00,BA,841,JFK,DFW,367.03
2422,2023-01-18,09:30:00,SW,728,JFK,ATL,368.41
2423,2023-01-18,09:45:00,BA,576,SFO,DEN,482.92
2424,2023-01-18,10:00:00,DL,282,JFK,LAX,198.51
2425,2023-01-18,10:15:00,UA,951,LAX,ORD,211.85
2426,2023-01-18,10:30:00,AA,956,LAX,DEN,363.08
2427,2023-01-18,10:45:00,DL,477,DEN,ATL,217.97
2428,2023-01-18,11:00:00,AA,787,ATL,DEN,422.86
2429,2023-01-18,11:15:00,SW,699,LAX,ATL,90.39
2430,2023-01-18,11:30:00,BA,162,DEN,LAX,362.45
2431,2023-01-18,11:45:00,SW,366,DFW,DEN,119.96
2432,2023-01-19,12:00:00,AA,706,LAX,JFK,297.76
2433,2023-01-19,12:15:00,BA,196,DEN,JFK,277.78
2434,2023-01-19,12:30:00,BA,972,JFK,DFW,355.04
2435,2023-01-19,12:45:00,SW,154,SFO,DEN,302.65
2436,2023-01-19,13:00:00,AA,962,DFW,DFW,293.99
2437,2023-01-19,13:15:00,UA,746,LAX,ATL,280.19
2438,2023-01-19,13:30:00,SW,617,SFO,DEN,400.41
2439,2023-01-19,13:45:00,DL,795,ORD,LAX,170.88
2440,2023-01-19,14:00:00,DL,835,ATL,ORD,122.42
2441,2023-01-19,14:15:00,DL,147,DFW,ORD,55.67
2442,2023-01-19,14:30:00,AA,594,SFO,DFW,109.34
2443,2023-01-19,14:45:00,DL,511,DFW,JFK,340.28
2444,2023-01-19,15:00:00,DL,445,DEN,SFO,374.47
2445,2023-01-19,15:15:00,BA,517,LAX,SFO,333.31
2446,2023-01-19,15:30:00,BA,831,DEN,ATL,80.88
2447,2023-01-19,15:45:00,BA,756,DFW,DEN,397.67
2448,2023-01-19,16:00:00,AA,435,JFK,ORD,282.3
2449,2023-01-19,16:15:00,DL,834,LAX,DFW,158.04
2450,2023-01-19,16:30:00,SW,518,LAX,DEN,313.96
2451,2023-01-19,16:45:00,DL,543,SFO,LAX,237.17
2452,2023-01-19,17:00:00,BA,169,SFO,DFW,363.81
2453,2023-01-19,17:15:00,DL,172,ATL,JFK,273.06
2454,2023-01-19,17:30:00,BA,756,LAX,DEN,66.19
2455,2023-01-19,17:45:00,DL,330,SFO,DEN,340.08
2456,2023-01-20,18:00:00,AA,919,JFK,ATL,370.12
2457,2023-01-20,18:15:00,UA,587,DFW,ATL,341.18
2458,2023-01-20,18:30:00,UA,704,ORD,ORD,461.6
2459,2023-01-20,18:45:00,DL,745,DFW,ORD,199.9
2460,2023-01-20,19:00:00,SW,100,JFK,ATL,152.62
2461,2023-01-20,19:15:00,DL,823,DEN,SFO,279.63
2462,2023-01-20,19:30:00,DL,635,DEN,DFW,413.08
2463,2023-01-20,19:45:00,UA,608,SFO,SFO,359.06
2464,2023-01-20,20:00:00,DL,258,ORD,JFK,241.14
2465,2023-01-20,20:15:00,DL,856,DEN,SFO,125.41
2466,2023-01-20,20:30:00,BA,722,JFK,ORD,126.09
2467,2023-01-20,20:45:00,DL,906,ORD,DEN,246.54
2468,2023-01-20,21:00:00,BA,780,JFK,SFO,453.81
2469,2023-01-20,21:15:00,AA,838,LAX,DFW,241.29
2470,2023-01-20,21:30:00,SW,693,DEN,DFW,470.68
2471,2023-01-20,21:45:00,DL,739,SFO,JFK,260.82
2472,2023-01-20,22:00:00,BA,174,ATL,ORD,66.52
2473,2023-01-20,22:15:00,BA,374,LAX,ORD,167.56
2474,2023-01-20,22:30:00,DL,588,DFW,SFO,55.36
2475,2023-01-20,22:45:00,UA,383,ATL,ATL,139.49
2476,2023-01-20,23:00:00,UA,407,ATL,JFK,257.35
2477,2023-01-20,23:15:00,DL,992,LAX,DEN,263.65
2478,2023-01-20,23:30:00,DL,526,DEN,DFW,495.82
2479,2023-01-20,23:45:00,UA,586,DFW,JFK,112.7
2480,2023-01-21,00:00:00,DL,818,DEN,LAX,314.06
2481,2023-01-21,00:15:00,DL,915,DEN,JFK,100.47
2482,2023-01-21,00:30:00,UA,437,DEN,DFW,208.74
2483,2023-01-21,00:45:00,BA,352,JFK,DEN,345.87
2484,2023-01-21,01:00:00,AA,475,SFO,ATL,306.43
2485,2023-01-21,01:15:00,DL,269,ATL,LAX,198.77
2486,2023-01-21,01:30:00,UA,336,DEN,LAX,352.03
2487,2023-01-21,01:45:00,DL,596,DFW,SFO,357.9
2488,2023-01-21,02:00:00,DL,217,DFW,LAX,147.0
2489,2023-01-21,02:15:00,BA,316,ORD,ATL,227.43
2490,2023-01-21,02:30:00,AA,976,DEN,DFW,232.16
2491,2023-01-21,02:45:00,DL,315,JFK,SFO,446.47
2492,2023-01-21,03:00:00,AA,435,DEN,SFO,342.72
2493,2023-01-21,03:15:00,UA,121,SFO,JFK,364.97
2494,2023-01-21,03:30:00,UA,160,ATL,SFO,128.37
2495,2023-01-21,03:45:00,SW,129,DFW,SFO,494.3
2496,2023-01-21,04:00:00,BA,634,LAX,ORD,189.16
2497,2023-01-21,04:15:00,UA,124,ATL,SFO,278.49
2498,2023-01-21,04:30:00,DL,167,DEN,DFW,99.22
2499,2023-01-21,04:45:00,DL,749,JFK,DFW,161.24
2500,2023-01-21,05:00:00,UA,650,DFW,SFO,125.38
2501,2023-01-21,05:15:00,SW,932,DEN,DFW,401.28
2502,2023-01-21,05:30:00,BA,435,SFO,ORD,467.02
2503,2023-01-21,05:45:00,SW,592,ATL,ATL,354.81
2504,2023-01-22,06:00:00,AA,242,ATL,SFO,406.97
2505,2023-01-22,06:15:00,BA,681,ORD,DFW,123.9
2506,2023-01-22,06:30:00,BA,181,LAX,ORD,247.99
2507,2023-01-22,06:45:00,DL,798,ATL,LAX,96.35
2508,2023-01-22,07:00:00,BA,461,DFW,JFK,465.92
2509,2023-01-22,07:15:00,BA,679,ORD,ATL,358.78
2510,2023-01-22,07:30:00,DL,340,DFW,DFW,95.45
2511,2023-01-22,07:45:00,BA,311,SFO,ORD,382.09
2512,2023-01-22,08:00:00,SW,182,LAX,ATL,186.54
2513,2023-01-22,08:15:00,BA,463,ORD,LAX,464.16
2514,2023-01-22,08:30:00,UA,789,ORD,DEN,78.64
2515,2023-01-22,08:45:00,BA,725,LAX,JFK,190.11
2516,2023-01-22,09:00:00,BA,485,SFO,SFO,433.65
2517,2023-01-22,09:15:00,AA,747,LAX,ATL,96.49
2518,2023-01-22,09:30:00,AA,620,SFO,DEN,173.22
2519,2023-01-22,09:45:00,SW,643,LAX,JFK,128.63
2520,2023-01-22,10:00:00,AA,736,DFW,DFW,451.64
2521,2023-01-22,10:15:00,SW,370,SFO,SFO,265.94
2522,2023-01-22,10:30:00,AA,306,DFW,ATL,435.22
2523,2023-01-22,10:45:00,AA,504,JFK,ORD,196.9
2524,2023-01-22,11:00:00,DL,246,ORD,JFK,351.07
2525,2023-01-22,11:15:00,SW,851,ORD,ATL,95.28
2526,2023-01-22,11:30:00,BA,263,ATL,DFW,243.67
2527,2023-01-22,11:45:00,AA,912,SFO,LAX,166.02
2528,2023-01-23,12:00:00,SW,459,DEN,DFW,172.27
2529,2023-01-23,12:15:00,BA,771,ORD,SFO,103.63
2530,2023-01-23,12:30:00,AA,293,JFK,DEN,224.74
2531,2023-01-23,12:45:00,UA,830,JFK,SFO,127.66
2532,2023-01-23,13:00:00,BA,349,LAX,JFK,357.44
2533,2023-01-23,13:15:00,AA,508,ORD,ORD,282.82
2534,2023-01-23,13:30:00,AA,394,JFK,DEN,256.25
2535,2023-01-23,13:45:00,BA,141,LAX,LAX,443.3
2536,2023-01-23,14:00:00,SW,835,ATL,DFW,133.39
2537,2023-01-23,14:15:00,DL,284,SFO,JFK,364.64
2538,2023-01-23,14:30:00,AA,687,JFK,ATL,133.32
2539,2023-01-23,14:45:00,SW,596,ORD,LAX,332.84
2540,2023-01-23,15:00:00,UA,671,ATL,ORD,67.58
2541,2023-01-23,15:15:00,BA,903,ATL,DEN,65.48
2542,2023-01-23,15:30:00,SW,431,ATL,JFK,236.32
2543,2023-01-23,15:45:00,SW,853,ORD,LAX,496.94
2544,2023-01-23,16:00:00,SW,659,LAX,ORD,116.37
2545,2023-01-23,16:15:00,DL,533,ORD,DFW,388.95
2546,2023-01-23,16:30:00,DL,853,LAX,ORD,308.24
2547,2023-01-23,16:45:00,UA,470,ORD,DEN,176.35
2548,2023-01-23,17:00:00,AA,339,DEN,LAX,395.67
2549,2023-01-23,17:15:00,DL,982,LAX,ORD,182.92
2550,2023-01-23,17:30:00,DL,465,DEN,JFK,125.93
2551,2023-01-23,17:45:00,DL,385,SFO,DEN,137.35
2552,2023-01-24,18:00:00,DL,918,ORD,JFK,134.76
2553,2023-01-24,18:15:00,UA,221,ATL,ORD,391.35
2554,2023-01-24,18:30:00,SW,654,SFO,ORD,287.8
2555,2023-01-24,18:45:00,BA,638,DFW,DEN,344.1
2556,2023-01-24,19:00:00,BA,303,ORD,DEN,452.44
2557,2023-01-24,19:15:00,SW,797,SFO,DFW,125.71
2558,2023-01-24,19:30:00,AA,205,SFO,ORD,240.06
2559,2023-01-24,19:45:00,UA,555,ATL,SFO,356.04
2560,2023-01-24,20:00:00,UA,993,ATL,SFO,207.4
2561,2023-01-24,20:15:00,DL,472,DFW,ATL,347.72
2562,2023-01-24,20:30:00,SW,836,ORD,ORD,211.88
2563,2023-01-24,20:45:00,DL,319,LAX,JFK,130.42
2564,2023-01-24,21:00:00,BA,363,JFK,SFO,290.32
2565,2023-01-24,21:15:00,BA,539,LAX,DFW,56.92
2566,2023-01-24,21:30:00,SW,312,SFO,JFK,223.29
2567,2023-01-24,21:45:00,BA,501,DFW,ORD,358.41
2568,2023-01-24,22:00:00,UA,174,ORD,JFK,168.98
2569,2023-01-24,22:15:00,DL,810,ORD,LAX,376.77
2570,2023-01-24,22:30:00,UA,668,ORD,DEN,271.88
2571,2023-01-24,22:45:00,SW,512,JFK,JFK,179.5
2572,2023-01-24,23:00:00,SW,355,JFK,JFK,244.11
2573,2023-01-24,23:15:00,BA,756,LAX,ORD,79.53
2574,2023-01-24,23:30:00,AA,161,SFO,SFO,266.67
2575,2023-01-24,23:45:00,AA,936,LAX,DFW,234.32
2576,2023-01-25,00:00:00,SW,297,DFW,SFO,257.51
2577,2023-01-25,00:15:00,UA,572,JFK,JFK,95.95
2578,2023-01-25,00:30:00,DL,784,DEN,LAX,62.41
2579,2023-01-25,00:45:00,AA,410,LAX,ORD,109.16
2580,2023-01-25,01:00:00,AA,722,SFO,DFW,189.63
2581,2023-01-25,01:15:00,UA,816,ATL,JFK,98.61
2582,2023-01-25,01:30:00,SW,539,DEN,ATL,395.3
2583,2023-01-25,01:45:00,BA,549,LAX,DEN,438.54
2584,2023-01-25,02:00:00,UA,851,SFO,DEN,312.2
2585,2023-01-25,02:15:00,SW,368,DEN,ATL,332.57
2586,2023-01-25,02:30:00,DL,509,ATL,DEN,482.02
2587,2023-01-25,02:45:00,SW,676,ATL,ORD,298.14
2588,2023-01-25,03:00:00,BA,425,DEN,DEN,440.91
2589,2023-01-25,03:15:00,SW,176,LAX,DFW,377.28
2590,2023-01-25,03:30:00,SW,780,JFK,ORD,299.4
2591,2023-01-25,03:45:00,UA,512,LAX,LAX,280.15
2592,2023-01-25,04:00:00,BA,600,JFK,LAX,63.43
2593,2023-01-25,04:15:00,BA,384,ORD,DEN,183.88
2594,2023-01-25,04:30:00,AA,111,SFO,SFO,156.74
2595,2023-01-25,04:45:00,AA,705,SFO,ATL,181.62
2596,2023-01-25,05:00:00,DL,677,ORD,ATL,349.72
2597,2023-01-25,05:15:00,DL,204,ORD,ORD,282.22
2598,2023-01-25,05:30:00,BA,484,ATL,ATL,232.02
2599,2023-01-25,05:45:00,SW,208,SFO,DEN,343.87
2600,2023-01-26,06:00:00,AA,790,ORD,ATL,130.71
2601,2023-01-26,06:15:00,DL,862,DFW,DEN,156.42
2602,2023-01-26,06:30:00,BA,511,ATL,SFO,266.58
2603,2023-01-26,06:45:00,SW,284,DFW,LAX,367.6
2604,2023-01-26,07:00:00,UA,179,LAX,SFO,99.12
2605,2023-01-26,07:15:00,SW,975,ATL,LAX,430.71
2606,2023-01-26,07:30:00,AA,792,DEN,ORD,390.79
2607,2023-01-26,07:45:00,SW,372,DFW,ATL,339.02
2608,2023-01-26,08:00:00,AA,446,DFW,DEN,249.32
2609,2023-01-26,08:15:00,UA,689,DEN,ORD,416.41
2610,2023-01-26,08:30:00,SW,637,DFW,DFW,221.19
2611,2023-01-26,08:45:00,UA,416,DEN,DFW,139.31
2612,2023-01-26,09:00:00,AA,503,DFW,SFO,138.93
2613,2023-01-26,09:15:00,AA,586,ORD,JFK,460.73
2614,2023-01-26,09:30:00,AA,677,SFO,LAX,317.06
2615,2023-01-26,09:45:00,BA,207,ATL,ORD,158.46
2616,2023-01-26,10:00:00,AA,546,DEN,DEN,154.48
2617,2023-01-26,10:15:00,DL,268,ATL,JFK,265.89
2618,2023-01-26,10:30:00,SW,424,ORD,DFW,301.99
2619,2023-01-26,10:45:00,BA,243,LAX,ATL,453.48
2620,2023-01-26,11:00:00,UA,121,DEN,DEN,165.05
2621,2023-01-26,11:15:00,UA,375,DEN,JFK,347.06
2622,2023-01-26,11:30:00,DL,768,JFK,JFK,376.76
2623,2023-01-26,11:45:00,SW,837,DFW,DFW,446.9
2624,2023-01-27,12:00:00,DL,750,ATL,ATL,443.89
2625,2023-01-27,12:15:00,SW,124,DEN,ATL,307.16
2626,2023-01-27,12:30:00,UA,253,ATL,SFO,196.92
2627,2023-01-27,12:45:00,DL,281,JFK,DEN,180.18
2628,2023-01-27,13:00:00,UA,619,SFO,DEN,359.62
2629,2023-01-27,13:15:00,SW,504,JFK,JFK,409.0
2630,2023-01-27,13:30:00,DL,967,JFK,SFO,235.09
2631,2023-01-27,13:45:00,DL,315,SFO,SFO,375.87
2632,2023-01-27,14:00:00,BA,802,ORD,LAX,92.74
2633,2023-01-27,14:15:00,BA,546,JFK,LAX,104.77
2634,2023-01-27,14:30:00,SW,243,DEN,LAX,237.24
2635,2023-01-27,14:45:00,SW,744,LAX,JFK,375.82
2636,2023-01-27,15:00:00,DL,463,DFW,LAX,461.7
2637,2023-01-27,15:15:00,BA,712,SFO,DFW,352.54
2638,2023-01-27,15:30:00,SW,322,ORD,JFK,130.76
2639,2023-01-27,15:45:00,DL,196,SFO,SFO,239.04
2640,2023-01-27,16:00:00,SW,971,JFK,LAX,172.95
2641,2023-01-27,16:15:00,AA,590,JFK,ATL,80.35
2642,2023-01-27,16:30:00,BA,697,ORD,ORD,421.6
2643,2023-01-27,16:45:00,SW,727,SFO,DEN,204.59
2644,2023-01-27,17:00:00,UA,997,ORD,JFK,282.95
2645,2023-01-27,17:15:00,DL,790,SFO,ATL,309.51
2646,2023-01-27,17:30:00,DL,123,DEN,DEN,464.34
2647,2023-01-27,17:45:00,BA,164,DEN,DEN,95.14
2648,2023-01-28,18:00:00,BA,370,ATL,LAX,487.59
2649,2023-01-28,18:15:00,DL,575,LAX,ORD,250.71
2650,2023-01-28,18:30:00,SW,600,DEN,LAX,283.79
2651,2023-01-28,18:45:00,BA,305,DEN,SFO,496.16
2652,2023-01-28,19:00:00,BA,393,SFO,ORD,129.09
2653,2023-01-28,19:15:00,DL,664,ATL,ORD,380.87
2654,2023-01-28,19:30:00,DL,454,ORD,SFO,357.38
2655,2023-01-28,19:45:00,SW,816,ORD,DEN,150.87
2656,2023-01-28,20:00:00,DL,486,DFW,DEN,484.82
2657,2023-01-28,20:15:00,AA,214,ORD,ORD,66.46
2658,2023-01-28,20:30:00,SW,453,ORD,SFO,347.27
2659,2023-01-28,20:45:00,UA,603,DEN,ORD,443.1
2660,2023-01-28,21:00:00,SW,306,SFO,ORD,230.16
2661,2023-01-28,21:15:00,AA,400,ATL,DEN,249.46
2662,2023-01-28,21:30:00,UA,811,DEN,SFO,79.59
2663,2023-01-28,21:45:00,SW,127,ORD,SFO,168.48
2664,2023-01-28,22:00:00,DL,507,ORD,DFW,372.47
2665,2023-01-28,22:15:00,UA,199,DFW,DFW,492.03
2666,2023-01-28,22:30:00,BA,851,JFK,SFO,205.26
2667,2023-01-28,22:45:00,DL,677,ORD,JFK,116.66
2668,2023-01-28,23:00:00,SW,171,LAX,DFW,91.8
2669,2023-01-28,23:15:00,DL,157,DFW,LAX,131.17
2670,2023-01-28,23:30:00,DL,603,ATL,ATL,99.97
2671,2023-01-28,23:45:00,DL,943,JFK,DEN,423.43
2672,2023-01-29,00:00:00,BA,285,SFO,DFW,222.54
2673,2023-01-29,00:15:00,DL,331,DEN,ORD,229.07
2674,2023-01-29,00:30:00,BA,366,ORD,ORD,429.65
2675,2023-01-29,00:45:00,SW,108,LAX,LAX,383.92
2676,2023-01-29,01:00:00,AA,882,DEN,JFK,287.12
2677,2023-01-29,01:15:00,BA,707,ORD,ORD,275.0
2678,2023-01-29,01:30:00,DL,894,JFK,SFO,363.47
2679,2023-01-29,01:45:00,BA,919,ORD,ATL,314.31
2680,2023-01-29,02:00:00,UA,525,SFO,ATL,134.82
2681,2023-01-29,02:15:00,SW,141,ORD,DFW,106.6
2682,2023-01-29,02:30:00,DL,859,LAX,SFO,232.63
2683,2023-01-29,02:45:00,UA,353,DFW,ORD,272.34
2684,2023-01-29,03:00:00,UA,913,DEN,JFK,86.99
2685,2023-01-29,03:15:00,BA,451,SFO,LAX,291.05
2686,2023-01-29,03:30:00,UA,766,DEN,JFK,485.47
2687,2023-01-29,03:45:00,DL,857,ORD,JFK,364.19
2688,2023-01-29,04:00:00,UA,201,ATL,DEN,114.16
2689,2023-01-29,04:15:00,UA,867,LAX,ORD,306.31
2690,2023-01-29,04:30:00,BA,689,DFW,SFO,411.99
2691,2023-01-29,04:45:00,DL,877,ORD,ORD,204.65
2692,2023-01-29,05:00:00,AA,377,DEN,DFW,243.02
2693,2023-01-29,05:15:00,SW,102,ORD,JFK,51.02
2694,2023-01-29,05:30:00,AA,339,ATL,LAX,441.3
2695,2023-01-29,05:45:00,AA,516,JFK,ORD,261.58
2696,2023-01-30,06:00:00,DL,680,SFO,ATL,164.1
2697,2023-01-30,06:15:00,DL,224,ATL,ATL,138.92
2698,2023-01-30,06:30:00,UA,874,ATL,ORD,242.23
2699,2023-01-30,06:45:00,SW,293,ATL,SFO,150.55
2700,2023-01-30,07:00:00,BA,409,DFW,LAX,453.55
2701,2023-01-30,07:15:00,DL,474,ATL,SFO,152.03
2702,2023-01-30,07:30:00,DL,459,ORD,SFO,231.1
2703,2023-01-30,07:45:00,UA,152,LAX,ATL,113.35
2704,2023-01-30,08:00:00,SW,674,SFO,DEN,103.49
2705,2023-01-30,08:15:00,BA,334,DEN,ATL,156.98
2706,2023-01-30,08:30:00,SW,931,SFO,DFW,51.34
2707,2023-01-30,08:45:00,SW,475,JFK,ORD,319.39
2708,2023-01-30,09:00:00,UA,304,LAX,SFO,150.03
2709,2023-01-30,09:15:00,AA,926,DEN,ORD,244.17
2710,2023-01-30,09:30:00,DL,529,JFK,DFW,413.88
2711,2023-01-30,09:45:00,AA,954,ATL,DFW,237.1
2712,2023-01-30,10:00:00,AA,688,DEN,ORD,394.3
2713,2023-01-30,10:15:00,AA,372,DFW,ATL,370.45
2714,2023-01-30,10:30:00,UA,423,ORD,DFW,437.73
2715,2023-01-30,10:45:00,BA,314,DEN,DFW,228.46
2716,2023-01-30,11:00:00,SW,867,JFK,LAX,384.23
2717,2023-01-30,11:15:00,AA,892,DFW,DFW,303.41
2718,2023-01-30,11:30:00,BA,233,ORD,LAX,284.38
2719,2023-01-30,11:45:00,UA,824,DFW,ATL,171.09
2720,2023-01-31,12:00:00,BA,865,LAX,JFK,278.83
2721,2023-01-31,12:15:00,UA,878,SFO,DFW,74.59
2722,2023-01-31,12:30:00,SW,204,LAX,SFO,101.95
2723,2023-01-31,12:45:00,DL,288,ORD,LAX,264.88
2724,2023-01-31,13:00:00,DL,445,ATL,JFK,184.4
2725,2023-01-31,13:15:00,SW,126,LAX,DFW,456.5
2726,2023-01-31,13:30:00,UA,765,ORD,DFW,479.22
2727,2023-01-31,13:45:00,DL,322,ATL,DEN,445.43
2728,2023-01-31,14:00:00,AA,381,SFO,ATL,68.58
2729,2023-01-31,14:15:00,UA,681,LAX,ORD,418.7
2730,2023-01-31,14:30:00,DL,383,SFO,SFO,257.09
2731,2023-01-31,14:45:00,DL,292,SFO,DEN,71.12
2732,2023-01-31,15:00:00,AA,901,LAX,ATL,103.1
2733,2023-01-31,15:15:00,SW,870,LAX,DFW,407.51
2734,2023-01-31,15:30:00,DL,557,ORD,DEN,267.78
2735,2023-01-31,15:45:00,AA,306,ATL,DEN,315.49
2736,2023-01-31,16:00:00,BA,545,DEN,DFW,59.15
2737,2023-01-31,16:15:00,SW,907,ATL,SFO,66.69
2738,2023-01-31,16:30:00,UA,507,DEN,ORD,242.73
2739,2023-01-31,16:45:00,SW,536,LAX,SFO,277.18
2740,2023-01-31,17:00:00,DL,297,DEN,JFK,121.51
2741,2023-01-31,17:15:00,DL,134,DFW,SFO,217.21
2742,2023-01-31,17:30:00,AA,579,LAX,DFW,51.63
2743,2023-01-31,17:45:00,DL,998,DFW,DFW,110.01
2744,2023-02-01,18:00:00,SW,456,DEN,LAX,61.25
2745,2023-02-01,18:15:00,AA,818,ORD,JFK,446.13
2746,2023-02-01,18:30:00,BA,895,SFO,DFW,77.62
2747,2023-02-01,18:45:00,BA,767,SFO,ORD,302.26
2748,2023-02-01,19:00:00,BA,292,ATL,JFK,313.34
2749,2023-02-01,19:15:00,AA,441,JFK,SFO,51.98
2750,2023-02-01,19:30:00,SW,348,ORD,LAX,325.52
2751,2023-02-01,19:45:00,AA,841,ORD,ATL,431.57
2752,2023-02-01,20:00:00,UA,885,SFO,JFK,309.7
2753,2023-02-01,20:15:00,AA,940,SFO,LAX,133.53
2754,2023-02-01,20:30:00,DL,236,DEN,DFW,297.79
2755,2023-02-01,20:45:00,BA,913,ORD,DFW,364.0
2756,2023-02-01,21:00:00,AA,881,SFO,JFK,357.85
2757,2023-02-01,21:15:00,UA,632,SFO,ORD,325.45
2758,2023-02-01,21:30:00,DL,724,DEN,DEN,222.16
2759,2023-02-01,21:45:00,SW,505,JFK,JFK,104.64
2760,2023-02-01,22:00:00,AA,443,DEN,SFO,82.13
2761,2023-02-01,22:15:00,BA,229,DFW,DEN,325.18
2762,2023-02-01,22:30:00,DL,850,ATL,DFW,213.14
2763,2023-02-01,22:45:00,AA,924,DEN,ORD,50.93
2764,2023-02-01,23:00:00,DL,687,DFW,SFO,117.24
2765,2023-02-01,23:15:00,DL,764,ORD,ATL,364.09
2766,2023-02-01,23:30:00,DL,961,ORD,JFK,391.15
2767,2023-02-01,23:45:00,UA,515,DFW,DEN,312.27
2768,2023-02-02,00:00:00,AA,761,ORD,SFO,322.27
2769,2023-02-02,00:15:00,DL,832,LAX,JFK,173.19
2770,2023-02-02,00:30:00,AA,816,JFK,JFK,269.85
2771,2023-02-02,00:45:00,DL,832,ATL,ORD,472.09
2772,2023-02-02,01:00:00,BA,588,SFO,DEN,223.15
2773,2023-02-02,01:15:00,AA,421,ATL,DFW,324.49
2774,2023-02-02,01:30:00,AA,707,DEN,DFW,214.38
2775,2023-02-02,01:45:00,BA,750,JFK,DFW,252.43
2776,2023-02-02,02:00:00,AA,832,ORD,LAX,402.28
2777,2023-02-02,02:15:00,DL,148,JFK,LAX,226.41
2778,2023-02-02,02:30:00,UA,974,LAX,ATL,246.87
2779,2023-02-02,02:45:00,AA,889,LAX,ORD,179.2
2780,2023-02-02,03:00:00,BA,815,DEN,DEN,420.01
2781,2023-02-02,03:15:00,UA,599,ORD,DEN,186.39
2782,2023-02-02,03:30:00,AA,232,ATL,ATL,378.92
2783,2023-02-02,03:45:00,DL,586,ORD,LAX,467.41
2784,2023-02-02,04:00:00,SW,223,LAX,ATL,395.9
2785,2023-02-02,04:15:00,SW,208,DFW,LAX,441.35
2786,2023-02-02,04:30:00,UA,306,JFK,LAX,113.78
2787,2023-02-02,04:45:00,BA,537,LAX,ORD,231.16
2788,2023-02-02,05:00:00,AA,583,JFK,SFO,61.54
2789,2023-02-02,05:15:00,SW,604,DEN,SFO,285.18
2790,2023-02-02,05:30:00,SW,795,LAX,JFK,499.43
2791,2023-02-02,05:45:00,AA,526,SFO,JFK,292.32
2792,2023-02-03,06:00:00,AA,860,DEN,SFO,437.75
2793,2023-02-03,06:15:00,BA,707,DFW,JFK,495.42
2794,2023-02-03,06:30:00,AA,655,DFW,ATL,199.14
2795,2023-02-03,06:45:00,SW,428,ORD,DEN,242.66
2796,2023-02-03,07:00:00,AA,863,DEN,SFO,296.05
2797,2023-02-03,07:15:00,DL,651,LAX,JFK,378.62
2798,2023-02-03,07:30:00,SW,134,JFK,ORD,279.4
2799,2023-02-03,07:45:00,UA,391,JFK,LAX,133.14
2800,2023-02-03,08:00:00,BA,600,DEN,DEN,276.02
2801,2023-02-03,08:15:00,SW,536,LAX,SFO,374.55
2802,2023-02-03,08:30:00,AA,323,ORD,JFK,388.89
2803,2023-02-03,08:45:00,BA,866,DFW,LAX,238.52
2804,2023-02-03,09:00:00,BA,799,ATL,DEN,323.69
2805,2023-02-03,09:15:00,UA,520,DFW,DFW,496.95
2806,2023-02-03,09:30:00,DL,661,ORD,ORD,202.35
2807,2023-02-03,09:45:00,DL,630,SFO,ORD,99.88
2808,2023-02-03,10:00:00,AA,537,LAX,ORD,113.5
2809,2023-02-03,10:15:00,DL,497,ATL,ORD,413.49
2810,2023-02-03,10:30:00,BA,410,JFK,ORD,337.37
2811,2023-02-03,10:45:00,AA,346,JFK,JFK,214.97
2812,2023-02-03,11:00:00,DL,291,SFO,JFK,73.8
2813,2023-02-03,11:15:00,AA,797,SFO,DFW,93.98
2814,2023-02-03,11:30:00,BA,147,JFK,DEN,310.79
2815,2023-02-03,11:45:00,BA,847,LAX,JFK,306.6
2816,2023-02-04,12:00:00,SW,342,LAX,ATL,301.53
2817,2023-02-04,12:15:00,DL,804,DEN,ORD,356.78
2818,2023-02-04,12:30:00,DL,994,ATL,SFO,434.12
2819,2023-02-04,12:45:00,UA,734,DEN,LAX,293.75
2820,2023-02-04,13:00:00,DL,781,ATL,LAX,261.33
2821,2023-02-04,13:15:00,AA,757,ORD,ATL,449.85
2822,2023-02-04,13:30:00,AA,245,ORD,DEN,405.07
2823,2023-02-04,13:45:00,BA,865,JFK,DFW,278.98
2824,2023-02-04,14:00:00,AA,517,LAX,DFW,85.31
2825,2023-02-04,14:15:00,UA,140,DEN,JFK,181.62
2826,2023-02-04,14:30:00,BA,327,JFK,DFW,436.48
2827,2023-02-04,14:45:00,BA,519,SFO,SFO,328.18
2828,2023-02-04,15:00:00,BA,390,DEN,DFW,73.47
2829,2023-02-04,15:15:00,DL,959,LAX,ATL,387.43
2830,2023-02-04,15:30:00,AA,583,LAX,ORD,260.71
2831,2023-02-04,15:45:00,DL,215,ORD,SFO,56.17
2832,2023-02-04,16:00:00,SW,644,SFO,SFO,344.43
2833,2023-02-04,16:15:00,BA,764,ATL,LAX,133.68
2834,2023-02-04,16:30:00,SW,735,ATL,JFK,90.03
2835,2023-02-04,16:45:00,DL,109,LAX,DFW,168.5
2836,2023-02-04,17:00:00,AA,703,LAX,DFW,153.55
2837,2023-02-04,17:15:00,BA,625,SFO,LAX,378.35
2838,2023-02-04,17:30:00,SW,264,SFO,DEN,431.6
2839,2023-02-04,17:45:00,SW,398,SFO,ATL,290.27
2840,2023-02-05,18:00:00,BA,864,JFK,JFK,202.8
2841,2023-02-05,18:15:00,UA,380,LAX,SFO,389.34
2842,2023-02-05,18:30:00,BA,916,ATL,DFW,392.91
